============ Start of Season ============
1946-11-01 | w: NYK | L: HUS
1946-11-02 | w: BOM | L: PIT
1946-11-02 | w: CHS | L: NYK
1946-11-02 | w: PRO | L: BOS
1946-11-02 | w: WAS | L: DEF
1946-11-03 | w: CLR | L: HUS
1946-11-04 | w: WAS | L: PIT
1946-11-05 | w: CHS | L: BOS
1946-11-05 | w: BOM | L: DEF
1946-11-07 | w: PHW | L: PIT
1946-11-07 | w: PRO | L: CHS
1946-11-07 | w: NYK | L: BOM
1946-11-08 | w: HUS | L: DEF
1946-11-09 | w: CHS | L: HUS
1946-11-09 | w: PRO | L: PIT
1946-11-09 | w: DEF | L: BOS
1946-11-09 | w: BOM | L: WAS
1946-11-10 | w: CLR | L: WAS
1946-11-11 | w: CHS | L: NYK
1946-11-11 | w: PIT | L: PRO
1946-11-13 | w: CHS | L: BOS
1946-11-13 | w: PRO | L: DEF
1946-11-14 | w: PHW | L: WAS
1946-11-14 | w: BOM | L: BOS
1946-11-15 | w: HUS | L: PRO
1946-11-16 | w: NYK | L: PIT
1946-11-16 | w: BOS | L: HUS
1946-11-16 | w: DEF | L: PRO
1946-11-16 | w: WAS | L: CHS
1946-11-16 | w: BOM | L: CLR
1946-11-17 | w: CHS | L: CLR
1946-11-18 | w: NYK | L: DEF
1946-11-18 | w: PIT | L: HUS
1946-11-19 | w: BOM | L: PHW
1946-11-19 | w: CLR | L: HUS
1946-11-20 | w: NYK | L: CHS
1946-11-20 | w: WAS | L: BOM
1946-11-20 | w: PIT | L: DEF
1946-11-21 | w: BOM | L: BOS
1946-11-21 | w: CHS | L: PHW
1946-11-21 | w: WAS | L: PRO
1946-11-22 | w: HUS | L: BOS
1946-11-23 | w: WAS | L: HUS
1946-11-23 | w: DEF | L: BOS
1946-11-23 | w: NYK | L: CLR
1946-11-23 | w: BOM | L: PRO
1946-11-24 | w: DEF | L: CHS
1946-11-24 | w: CLR | L: PIT
1946-11-25 | w: PRO | L: BOS
1946-11-25 | w: NYK | L: PIT
1946-11-26 | w: PHW | L: BOS
1946-11-26 | w: WAS | L: HUS
1946-11-26 | w: DEF | L: CLR
1946-11-27 | w: NYK | L: BOM
1946-11-27 | w: PIT | L: CLR
1946-11-27 | w: WAS | L: CHS
1946-11-28 | w: BOS | L: PIT
1946-11-28 | w: DEF | L: PHW
1946-11-28 | w: BOM | L: CHS
1946-11-28 | w: NYK | L: PRO
1946-11-29 | w: CLR | L: HUS
1946-11-30 | w: NYK | L: PHW
1946-11-30 | w: WAS | L: PIT
1946-11-30 | w: PRO | L: HUS
1946-11-30 | w: BOM | L: DEF
1946-12-01 | w: CHS | L: BOS
1946-12-01 | w: CLR | L: DEF
1946-12-02 | w: BOS | L: PIT
1946-12-03 | w: PHW | L: PRO
1946-12-04 | w: NYK | L: DEF
1946-12-04 | w: WAS | L: PRO
1946-12-04 | w: CHS | L: PIT
1946-12-05 | w: DEF | L: BOS
1946-12-05 | w: PHW | L: NYK
1946-12-05 | w: HUS | L: CHS
1946-12-05 | w: BOM | L: PIT
1946-12-07 | w: NYK | L: BOS
1946-12-07 | w: HUS | L: PRO
1946-12-07 | w: WAS | L: DEF
1946-12-07 | w: PHW | L: BOM
1946-12-07 | w: CHS | L: CLR
1946-12-08 | w: NYK | L: BOS
