============ Start of Season ============
1948-11-01 | w: JET | L: BOM
1948-11-03 | w: NYK | L: FTW
1948-11-03 | w: WAS | L: PHW
1948-11-04 | w: PHW | L: BOS
1948-11-04 | w: WAS | L: PRO
1948-11-04 | w: MNL | L: BAL
1948-11-05 | w: NYK | L: JET
1948-11-06 | w: ROC | L: JET
1948-11-06 | w: CHS | L: BAL
1948-11-06 | w: BOM | L: FTW
1948-11-06 | w: PHW | L: PRO
1948-11-06 | w: WAS | L: MNL
1948-11-07 | w: BOS | L: PHW
1948-11-07 | w: BAL | L: FTW
1948-11-09 | w: BOS | L: MNL
1948-11-09 | w: PHW | L: PRO
1948-11-09 | w: BOM | L: NYK
1948-11-09 | w: BAL | L: JET
1948-11-10 | w: WAS | L: ROC
1948-11-11 | w: MNL | L: NYK
1948-11-11 | w: ROC | L: PHW
1948-11-11 | w: WAS | L: BAL
1948-11-11 | w: PRO | L: FTW
1948-11-12 | w: BOS | L: FTW
1948-11-13 | w: NYK | L: BAL
1948-11-13 | w: ROC | L: BOS
1948-11-13 | w: CHS | L: JET
1948-11-13 | w: MNL | L: PRO
1948-11-13 | w: BOM | L: PHW
1948-11-13 | w: WAS | L: FTW
1948-11-14 | w: FTW | L: JET
1948-11-14 | w: ROC | L: MNL
1948-11-16 | w: ROC | L: NYK
1948-11-16 | w: BOM | L: BOS
1948-11-16 | w: PHW | L: JET
1948-11-17 | w: WAS | L: NYK
1948-11-17 | w: BOS | L: MNL
1948-11-17 | w: FTW | L: PHW
1948-11-18 | w: PHW | L: JET
1948-11-18 | w: ROC | L: PRO
1948-11-18 | w: NYK | L: BAL
1948-11-19 | w: BOS | L: JET
1948-11-19 | w: MNL | L: CHS
1948-11-19 | w: BOM | L: BAL
1948-11-20 | w: NYK | L: PHW
1948-11-20 | w: BAL | L: BOM
1948-11-20 | w: WAS | L: BOS
1948-11-20 | w: JET | L: PRO
1948-11-21 | w: MNL | L: BAL
1948-11-21 | w: CHS | L: FTW
1948-11-21 | w: WAS | L: ROC
1948-11-23 | w: WAS | L: BOS
1948-11-23 | w: FTW | L: PHW
1948-11-23 | w: ROC | L: BAL
1948-11-23 | w: MNL | L: JET
1948-11-24 | w: MNL | L: PRO
1948-11-25 | w: WAS | L: PHW
1948-11-25 | w: BAL | L: FTW
1948-11-25 | w: BOM | L: PRO
1948-11-25 | w: JET | L: BOS
1948-11-27 | w: NYK | L: FTW
1948-11-27 | w: ROC | L: CHS
1948-11-27 | w: MNL | L: BOM
1948-11-27 | w: WAS | L: JET
1948-11-27 | w: BAL | L: PRO
1948-11-28 | w: MNL | L: PHW
