============ Start of Season ============
1953-10-30 | w: MIH | L: MNL
1953-10-31 | w: NYK | L: MNL
1953-10-31 | w: PHW | L: SYR
1953-10-31 | w: ROC | L: BAL
1953-11-01 | w: MNL | L: BOS
1953-11-01 | w: FTW | L: MIH
1953-11-01 | w: SYR | L: PHW
1953-11-01 | w: ROC | L: BAL
1953-11-04 | w: NYK | L: MIH
1953-11-04 | w: MNL | L: BAL
1953-11-05 | w: FTW | L: BOS
1953-11-05 | w: MNL | L: SYR
1953-11-06 | w: NYK | L: MIH
1953-11-07 | w: BOS | L: PHW
1953-11-07 | w: MNL | L: NYK
1953-11-07 | w: SYR | L: BAL
1953-11-07 | w: ROC | L: FTW
1953-11-08 | w: SYR | L: ROC
1953-11-08 | w: NYK | L: FTW
1953-11-08 | w: PHW | L: BAL
1953-11-10 | w: FTW | L: MNL
1953-11-10 | w: PHW | L: ROC
1953-11-10 | w: SYR | L: MIH
1953-11-11 | w: PHW | L: BOS
1953-11-12 | w: NYK | L: PHW
1953-11-12 | w: FTW | L: SYR
1953-11-13 | w: MNL | L: MIH
1953-11-14 | w: BOS | L: SYR
1953-11-14 | w: PHW | L: FTW
1953-11-14 | w: BAL | L: NYK
1953-11-14 | w: ROC | L: MNL
1953-11-15 | w: NYK | L: BAL
1953-11-15 | w: MNL | L: BOS
1953-11-15 | w: SYR | L: MIH
1953-11-15 | w: FTW | L: ROC
1953-11-17 | w: MNL | L: FTW
1953-11-17 | w: ROC | L: BOS
1953-11-18 | w: NYK | L: PHW
1953-11-18 | w: BAL | L: MIH
1953-11-19 | w: NYK | L: BAL
1953-11-19 | w: MNL | L: PHW
1953-11-19 | w: SYR | L: FTW
1953-11-19 | w: ROC | L: MIH
1953-11-20 | w: ROC | L: MIH
1953-11-21 | w: NYK | L: SYR
1953-11-21 | w: BOS | L: FTW
1953-11-21 | w: MNL | L: ROC
1953-11-21 | w: PHW | L: BAL
1953-11-22 | w: MNL | L: MIH
1953-11-22 | w: FTW | L: ROC
1953-11-22 | w: NYK | L: SYR
1953-11-24 | w: NYK | L: BOS
1953-11-24 | w: PHW | L: BAL
1953-11-24 | w: SYR | L: ROC
1953-11-25 | w: BOS | L: NYK
1953-11-25 | w: MIH | L: FTW
1953-11-25 | w: BAL | L: SYR
1953-11-26 | w: MNL | L: PHW
1953-11-26 | w: FTW | L: MIH
1953-11-26 | w: SYR | L: BOS
1953-11-26 | w: ROC | L: BAL
1953-11-27 | w: MIH | L: PHW
1953-11-28 | w: BOS | L: SYR
1953-11-28 | w: MIH | L: PHW
1953-11-28 | w: FTW | L: BAL
1953-11-28 | w: NYK | L: ROC
1953-11-29 | w: MNL | L: BOS
1953-11-29 | w: SYR | L: BAL
1953-11-29 | w: FTW | L: PHW
1953-11-29 | w: NYK | L: ROC
1953-12-01 | w: ROC | L: FTW
1953-12-01 | w: BOS | L: PHW
1953-12-01 | w: SYR | L: MIH
1953-12-03 | w: MNL | L: SYR
1953-12-03 | w: PHW | L: NYK
1953-12-03 | w: FTW | L: BOS
1953-12-05 | w: BOS | L: MIH
1953-12-05 | w: FTW | L: NYK
1953-12-05 | w: MNL | L: SYR
