============ Start of Season ============
1958-10-19 | w: SYR | L: DET
1958-10-22 | w: MNL | L: CIN
1958-10-23 | w: STL | L: DET
1958-10-25 | w: DET | L: STL
1958-10-25 | w: PHW | L: SYR
1958-10-25 | w: CIN | L: MNL
1958-10-25 | w: NYK | L: BOS
1958-10-26 | w: MNL | L: DET
1958-10-26 | w: NYK | L: PHW
1958-10-29 | w: STL | L: MNL
1958-10-31 | w: DET | L: CIN
1958-11-01 | w: BOS | L: DET
1958-11-01 | w: PHW | L: NYK
1958-11-01 | w: SYR | L: CIN
1958-11-01 | w: MNL | L: STL
1958-11-02 | w: DET | L: PHW
1958-11-02 | w: STL | L: CIN
1958-11-05 | w: NYK | L: CIN
1958-11-05 | w: BOS | L: SYR
1958-11-06 | w: MNL | L: PHW
1958-11-07 | w: NYK | L: DET
1958-11-08 | w: NYK | L: MNL
1958-11-08 | w: SYR | L: PHW
1958-11-08 | w: STL | L: BOS
1958-11-09 | w: DET | L: BOS
1958-11-09 | w: SYR | L: MNL
1958-11-09 | w: PHW | L: CIN
1958-11-11 | w: BOS | L: MNL
1958-11-12 | w: SYR | L: CIN
1958-11-13 | w: NYK | L: STL
1958-11-13 | w: DET | L: MNL
1958-11-14 | w: SYR | L: DET
1958-11-14 | w: STL | L: PHW
1958-11-15 | w: BOS | L: CIN
1958-11-15 | w: PHW | L: MNL
1958-11-15 | w: NYK | L: SYR
1958-11-15 | w: STL | L: DET
1958-11-16 | w: NYK | L: MNL
1958-11-18 | w: BOS | L: DET
1958-11-18 | w: SYR | L: STL
1958-11-19 | w: CIN | L: BOS
1958-11-20 | w: MNL | L: SYR
1958-11-21 | w: NYK | L: BOS
1958-11-21 | w: PHW | L: CIN
1958-11-22 | w: NYK | L: SYR
1958-11-22 | w: BOS | L: PHW
1958-11-22 | w: DET | L: CIN
1958-11-22 | w: STL | L: MNL
1958-11-23 | w: DET | L: MNL
1958-11-23 | w: PHW | L: SYR
1958-11-23 | w: STL | L: CIN
1958-11-24 | w: BOS | L: MNL
1958-11-25 | w: CIN | L: NYK
1958-11-25 | w: PHW | L: STL
1958-11-25 | w: MNL | L: DET
1958-11-26 | w: BOS | L: NYK
1958-11-26 | w: STL | L: SYR
1958-11-26 | w: DET | L: CIN
1958-11-27 | w: BOS | L: PHW
1958-11-27 | w: STL | L: SYR
1958-11-28 | w: MNL | L: CIN
1958-11-28 | w: DET | L: SYR
1958-11-29 | w: NYK | L: PHW
1958-11-29 | w: BOS | L: DET
1958-11-29 | w: MNL | L: SYR
1958-11-29 | w: STL | L: CIN
1958-11-30 | w: PHW | L: NYK
1958-11-30 | w: MNL | L: CIN
1958-12-02 | w: BOS | L: NYK
1958-12-02 | w: DET | L: PHW
1958-12-02 | w: STL | L: CIN
1958-12-03 | w: STL | L: BOS
1958-12-03 | w: CIN | L: NYK
1958-12-04 | w: BOS | L: SYR
1958-12-04 | w: STL | L: PHW
1958-12-05 | w: NYK | L: DET
1958-12-06 | w: DET | L: NYK
1958-12-06 | w: SYR | L: BOS
1958-12-06 | w: STL | L: PHW
1958-12-06 | w: CIN | L: MNL
1958-12-07 | w: PHW | L: CIN
1958-12-07 | w: SYR | L: BOS
1958-12-09 | w: NYK | L: MNL
1958-12-09 | w: SYR | L: PHW
1958-12-10 | w: BOS | L: PHW
1958-12-10 | w: DET | L: STL
1958-12-10 | w: SYR | L: CIN
1958-12-11 | w: BOS | L: PHW
1958-12-11 | w: DET | L: STL
1958-12-11 | w: SYR | L: MNL
1958-12-12 | w: DET | L: PHW
1958-12-12 | w: NYK | L: STL
1958-12-12 | w: BOS | L: CIN
1958-12-13 | w: SYR | L: PHW
1958-12-13 | w: STL | L: NYK
1958-12-14 | w: SYR | L: DET
1958-12-14 | w: NYK | L: MNL
1958-12-16 | w: NYK | L: CIN
1958-12-16 | w: BOS | L: SYR
1958-12-17 | w: BOS | L: DET
1958-12-17 | w: STL | L: NYK
1958-12-18 | w: MNL | L: DET
1958-12-18 | w: BOS | L: CIN
1958-12-20 | w: BOS | L: NYK
1958-12-20 | w: MNL | L: PHW
1958-12-20 | w: STL | L: DET
1958-12-20 | w: CIN | L: SYR
1958-12-21 | w: NYK | L: SYR
1958-12-21 | w: STL | L: PHW
1958-12-25 | w: BOS | L: NYK
1958-12-25 | w: STL | L: CIN
1958-12-25 | w: DET | L: MNL
1958-12-26 | w: BOS | L: MNL
1958-12-26 | w: PHW | L: NYK
1958-12-26 | w: DET | L: CIN
