============ Start of Season ============
1967-10-13 | w: SFW | L: SEA
1967-10-14 | w: BOS | L: CHI
1967-10-14 | w: STL | L: SDR
1967-10-15 | w: STL | L: SFW
1967-10-17 | w: NYK | L: SFW
1967-10-17 | w: DET | L: CIN
1967-10-17 | w: STL | L: SDR
1967-10-17 | w: LAL | L: CHI
1967-10-18 | w: BLT | L: NYK
1967-10-18 | w: PHL | L: LAL
1967-10-18 | w: CIN | L: SFW
1967-10-19 | w: STL | L: LAL
1967-10-19 | w: SFW | L: CHI
1967-10-20 | w: SDR | L: SEA
1967-10-20 | w: STL | L: CHI
1967-10-21 | w: STL | L: SFW
1967-10-21 | w: LAL | L: NYK
1967-10-21 | w: BOS | L: BLT
1967-10-21 | w: PHL | L: DET
1967-10-21 | w: CIN | L: CHI
1967-10-21 | w: SEA | L: SDR
1967-10-22 | w: SFW | L: SDR
1967-10-22 | w: CIN | L: SEA
1967-10-24 | w: PHL | L: DET
1967-10-24 | w: SFW | L: CIN
1967-10-24 | w: BLT | L: SEA
1967-10-24 | w: STL | L: NYK
1967-10-25 | w: LAL | L: CIN
1967-10-25 | w: BOS | L: STL
1967-10-25 | w: DET | L: CHI
1967-10-25 | w: BLT | L: SDR
1967-10-25 | w: PHL | L: NYK
1967-10-27 | w: LAL | L: CHI
1967-10-27 | w: SFW | L: BLT
1967-10-27 | w: BOS | L: DET
1967-10-27 | w: CIN | L: SDR
1967-10-27 | w: PHL | L: SEA
1967-10-28 | w: STL | L: SEA
1967-10-28 | w: BOS | L: PHL
1967-10-28 | w: DET | L: NYK
1967-10-29 | w: LAL | L: BLT
1967-10-29 | w: SFW | L: CHI
1967-10-29 | w: CIN | L: SDR
1967-10-31 | w: STL | L: BLT
1967-10-31 | w: SFW | L: NYK
1967-10-31 | w: SEA | L: CHI
1967-11-01 | w: NYK | L: LAL
1967-11-01 | w: SFW | L: DET
1967-11-01 | w: SDR | L: SEA
1967-11-01 | w: PHL | L: BLT
1967-11-01 | w: STL | L: CIN
1967-11-02 | w: CHI | L: SEA
1967-11-03 | w: BOS | L: LAL
1967-11-03 | w: DET | L: BLT
