============ Start of Season ============
1968-10-15 | w: CHI | L: NYK
1968-10-16 | w: CIN | L: ATL
1968-10-16 | w: BLT | L: DET
1968-10-16 | w: CHI | L: MIL
1968-10-17 | w: SDR | L: SEA
1968-10-18 | w: SDR | L: SFW
1968-10-18 | w: BOS | L: DET
1968-10-18 | w: PHX | L: SEA
1968-10-18 | w: PHL | L: LAL
1968-10-19 | w: ATL | L: MIL
1968-10-19 | w: LAL | L: NYK
1968-10-19 | w: PHL | L: BLT
1968-10-19 | w: SFW | L: SEA
1968-10-19 | w: BOS | L: CHI
1968-10-19 | w: CIN | L: DET
1968-10-20 | w: BLT | L: PHX
1968-10-21 | w: BLT | L: SEA
1968-10-22 | w: SFW | L: PHX
1968-10-22 | w: NYK | L: PHL
1968-10-22 | w: CIN | L: LAL
1968-10-23 | w: ATL | L: CHI
1968-10-23 | w: BOS | L: CIN
1968-10-23 | w: DET | L: LAL
1968-10-23 | w: SEA | L: SDR
1968-10-23 | w: NYK | L: MIL
1968-10-24 | w: BLT | L: SDR
1968-10-24 | w: PHX | L: NYK
1968-10-25 | w: LAL | L: BLT
1968-10-25 | w: DET | L: PHL
1968-10-25 | w: SEA | L: ATL
1968-10-26 | w: BOS | L: MIL
1968-10-26 | w: SFW | L: BLT
1968-10-26 | w: NYK | L: CIN
1968-10-26 | w: PHL | L: CHI
1968-10-27 | w: LAL | L: SDR
1968-10-27 | w: BLT | L: SEA
1968-10-27 | w: ATL | L: PHX
1968-10-29 | w: CHI | L: BOS
1968-10-29 | w: LAL | L: ATL
1968-10-29 | w: BLT | L: MIL
1968-10-29 | w: NYK | L: SFW
1968-10-30 | w: DET | L: BOS
1968-10-30 | w: PHX | L: SEA
1968-10-30 | w: SDR | L: ATL
1968-10-30 | w: CIN | L: NYK
1968-10-30 | w: BLT | L: SFW
1968-10-31 | w: PHX | L: CHI
1968-10-31 | w: MIL | L: DET
1968-11-01 | w: CHI | L: LAL
1968-11-01 | w: ATL | L: SFW
1968-11-01 | w: BOS | L: PHL
1968-11-01 | w: BLT | L: NYK
1968-11-01 | w: CIN | L: MIL
1968-11-02 | w: DET | L: NYK
1968-11-02 | w: SEA | L: CHI
1968-11-02 | w: MIL | L: SFW
1968-11-02 | w: CIN | L: PHL
1968-11-03 | w: BOS | L: ATL
1968-11-03 | w: NYK | L: SEA
1968-11-03 | w: SDR | L: CHI
1968-11-03 | w: LAL | L: PHX
1968-11-04 | w: SFW | L: PHX
1968-11-05 | w: SDR | L: NYK
1968-11-05 | w: LAL | L: CHI
1968-11-06 | w: SFW | L: NYK
1968-11-06 | w: DET | L: SEA
1968-11-06 | w: BLT | L: ATL
1968-11-06 | w: LAL | L: MIL
