============ Start of Season ============
1970-10-13 | w: NYK | L: BOS
1970-10-13 | w: CHI | L: SDR
1970-10-14 | w: BLT | L: SDR
1970-10-14 | w: DET | L: SEA
1970-10-14 | w: PHL | L: CHI
1970-10-14 | w: NYK | L: CIN
1970-10-14 | w: BUF | L: CLE
1970-10-15 | w: PHX | L: BOS
1970-10-16 | w: DET | L: SFW
1970-10-16 | w: LAL | L: CHI
1970-10-16 | w: POR | L: CLE
1970-10-16 | w: PHL | L: SDR
1970-10-17 | w: MIL | L: ATL
1970-10-17 | w: SFW | L: CLE
1970-10-17 | w: CHI | L: NYK
1970-10-17 | w: SEA | L: BOS
1970-10-17 | w: DET | L: PHX
1970-10-17 | w: SDR | L: BUF
1970-10-17 | w: PHL | L: CIN
1970-10-17 | w: BLT | L: LAL
1970-10-18 | w: BOS | L: POR
1970-10-20 | w: DET | L: MIL
1970-10-20 | w: SFW | L: BLT
1970-10-20 | w: SDR | L: PHX
1970-10-20 | w: POR | L: CLE
1970-10-20 | w: PHL | L: BUF
1970-10-20 | w: NYK | L: LAL
1970-10-21 | w: ATL | L: SFW
1970-10-21 | w: DET | L: BOS
1970-10-21 | w: SEA | L: PHX
1970-10-21 | w: LAL | L: PHL
1970-10-21 | w: BLT | L: CIN
1970-10-22 | w: NYK | L: SFW
1970-10-22 | w: DET | L: ATL
1970-10-22 | w: SDR | L: CLE
1970-10-23 | w: PHL | L: LAL
1970-10-23 | w: BOS | L: CIN
1970-10-23 | w: BLT | L: NYK
1970-10-23 | w: SEA | L: POR
1970-10-23 | w: PHX | L: CLE
1970-10-24 | w: BOS | L: ATL
1970-10-24 | w: SFW | L: POR
1970-10-24 | w: SDR | L: PHL
1970-10-24 | w: DET | L: BUF
1970-10-24 | w: MIL | L: BLT
1970-10-24 | w: NYK | L: CIN
1970-10-25 | w: LAL | L: CLE
1970-10-25 | w: PHX | L: SDR
1970-10-25 | w: MIL | L: SEA
1970-10-25 | w: CHI | L: POR
1970-10-26 | w: DET | L: SEA
1970-10-26 | w: CIN | L: ATL
1970-10-27 | w: MIL | L: SDR
1970-10-27 | w: POR | L: BUF
1970-10-27 | w: NYK | L: SEA
1970-10-28 | w: NYK | L: BOS
1970-10-28 | w: PHL | L: SFW
1970-10-28 | w: DET | L: BLT
1970-10-28 | w: CHI | L: PHX
1970-10-28 | w: SDR | L: CLE
1970-10-28 | w: CIN | L: SEA
1970-10-29 | w: NYK | L: SDR
1970-10-30 | w: LAL | L: BUF
1970-10-30 | w: BOS | L: PHX
1970-10-30 | w: CHI | L: SFW
1970-10-30 | w: SEA | L: POR
1970-10-30 | w: BLT | L: PHL
1970-10-30 | w: CIN | L: CLE
1970-10-31 | w: SDR | L: ATL
1970-10-31 | w: NYK | L: DET
1970-10-31 | w: BLT | L: PHX
1970-10-31 | w: SEA | L: CHI
1970-10-31 | w: POR | L: BUF
1970-10-31 | w: BOS | L: PHL
1970-10-31 | w: MIL | L: CIN
1970-11-01 | w: ATL | L: CLE
1970-11-02 | w: NYK | L: SFW
1970-11-02 | w: PHX | L: BUF
1970-11-02 | w: PHL | L: CLE
1970-11-03 | w: DET | L: CIN
1970-11-03 | w: CHI | L: SEA
1970-11-03 | w: LAL | L: POR
1970-11-04 | w: DET | L: ATL
1970-11-04 | w: BOS | L: PHL
1970-11-04 | w: SFW | L: BLT
1970-11-04 | w: NYK | L: SDR
1970-11-04 | w: MIL | L: CLE
1970-11-04 | w: PHX | L: CIN
1970-11-04 | w: SEA | L: BUF
1970-11-05 | w: DET | L: BUF
1970-11-05 | w: POR | L: BLT
1970-11-06 | w: LAL | L: NYK
1970-11-06 | w: BOS | L: SEA
1970-11-06 | w: BLT | L: SDR
1970-11-06 | w: PHX | L: CHI
1970-11-06 | w: SFW | L: POR
1970-11-06 | w: PHL | L: ATL
1970-11-07 | w: PHX | L: ATL
1970-11-07 | w: SFW | L: SDR
1970-11-07 | w: CHI | L: DET
1970-11-07 | w: PHL | L: SEA
1970-11-07 | w: BOS | L: CIN
1970-11-07 | w: BUF | L: CLE
1970-11-08 | w: LAL | L: BLT
1970-11-08 | w: MIL | L: PHX
1970-11-08 | w: NYK | L: POR
1970-11-08 | w: SEA | L: CLE
1970-11-10 | w: ATL | L: PHL
1970-11-10 | w: SFW | L: CLE
1970-11-10 | w: SEA | L: NYK
1970-11-10 | w: CHI | L: LAL
1970-11-10 | w: CIN | L: POR
1970-11-11 | w: MIL | L: BOS
1970-11-11 | w: LAL | L: DET
1970-11-11 | w: PHL | L: BLT
1970-11-11 | w: SDR | L: CIN
1970-11-11 | w: PHX | L: POR
1970-11-11 | w: BUF | L: ATL
1970-11-12 | w: CIN | L: SFW
1970-11-12 | w: BLT | L: NYK
1970-11-12 | w: CLE | L: POR
1970-11-13 | w: LAL | L: DET
1970-11-13 | w: ATL | L: BOS
1970-11-13 | w: SEA | L: CLE
1970-11-13 | w: NYK | L: CHI
1970-11-13 | w: SFW | L: SDR
1970-11-13 | w: PHX | L: CIN
1970-11-13 | w: PHL | L: BUF
1970-11-14 | w: CHI | L: ATL
1970-11-14 | w: NYK | L: PHL
1970-11-14 | w: BLT | L: BOS
1970-11-14 | w: SDR | L: DET
1970-11-14 | w: POR | L: CLE
1970-11-14 | w: MIL | L: BUF
1970-11-15 | w: PHX | L: DET
1970-11-15 | w: MIL | L: BLT
1970-11-16 | w: BLT | L: CLE
1970-11-16 | w: MIL | L: SFW
1970-11-16 | w: SDR | L: POR
1970-11-16 | w: BUF | L: SEA
1970-11-17 | w: LAL | L: ATL
1970-11-17 | w: NYK | L: PHX
1970-11-17 | w: PHL | L: DET
1970-11-17 | w: SFW | L: CHI
1970-11-17 | w: BUF | L: POR
1970-11-18 | w: SFW | L: BOS
1970-11-18 | w: MIL | L: SDR
1970-11-18 | w: POR | L: ATL
1970-11-18 | w: PHL | L: NYK
1970-11-18 | w: BLT | L: CLE
1970-11-18 | w: CHI | L: CIN
1970-11-19 | w: CIN | L: NYK
1970-11-19 | w: DET | L: PHX
1970-11-19 | w: SEA | L: LAL
1970-11-20 | w: MIL | L: LAL
1970-11-20 | w: BOS | L: CLE
