============ Start of Season ============
1971-10-12 | w: DET | L: NYK
1971-10-12 | w: PHL | L: CHI
1971-10-12 | w: CIN | L: ATL
1971-10-12 | w: SEA | L: BUF
1971-10-14 | w: PHL | L: HOU
1971-10-14 | w: MIL | L: PHX
1971-10-15 | w: GOS | L: BOS
1971-10-15 | w: LAL | L: DET
1971-10-15 | w: CHI | L: BLT
1971-10-15 | w: SEA | L: POR
1971-10-15 | w: BUF | L: CLE
1971-10-16 | w: PHL | L: ATL
1971-10-16 | w: LAL | L: NYK
1971-10-16 | w: BLT | L: GOS
1971-10-16 | w: MIL | L: SEA
1971-10-16 | w: PHX | L: HOU
1971-10-16 | w: CLE | L: BUF
1971-10-17 | w: DET | L: HOU
1971-10-17 | w: MIL | L: POR
1971-10-17 | w: NYK | L: CLE
1971-10-19 | w: BOS | L: BLT
1971-10-19 | w: NYK | L: GOS
1971-10-19 | w: MIL | L: CLE
1971-10-19 | w: DET | L: POR
1971-10-19 | w: SEA | L: CIN
1971-10-19 | w: LAL | L: BUF
1971-10-20 | w: LAL | L: ATL
1971-10-20 | w: CHI | L: HOU
1971-10-20 | w: GOS | L: CLE
1971-10-20 | w: PHL | L: SEA
1971-10-22 | w: CHI | L: LAL
1971-10-22 | w: BOS | L: ATL
1971-10-22 | w: NYK | L: BLT
1971-10-22 | w: SEA | L: HOU
1971-10-22 | w: DET | L: PHX
1971-10-22 | w: MIL | L: BUF
1971-10-23 | w: ATL | L: NYK
1971-10-23 | w: CLE | L: BLT
1971-10-23 | w: POR | L: CIN
1971-10-23 | w: MIL | L: PHL
1971-10-23 | w: BOS | L: BUF
1971-10-23 | w: GOS | L: DET
1971-10-24 | w: SEA | L: CIN
1971-10-24 | w: LAL | L: HOU
1971-10-24 | w: CHI | L: PHX
1971-10-24 | w: PHL | L: CLE
1971-10-25 | w: BOS | L: ATL
1971-10-26 | w: BUF | L: GOS
1971-10-26 | w: NYK | L: BOS
1971-10-26 | w: HOU | L: DET
1971-10-26 | w: PHX | L: CIN
1971-10-26 | w: MIL | L: BLT
1971-10-26 | w: CHI | L: POR
1971-10-27 | w: ATL | L: NYK
1971-10-27 | w: BOS | L: HOU
1971-10-27 | w: BLT | L: DET
1971-10-27 | w: PHL | L: CLE
1971-10-28 | w: NYK | L: HOU
1971-10-28 | w: SEA | L: BUF
1971-10-29 | w: LAL | L: CIN
1971-10-29 | w: BOS | L: MIL
1971-10-29 | w: GOS | L: CHI
1971-10-29 | w: DET | L: BLT
1971-10-29 | w: BUF | L: POR
1971-10-29 | w: ATL | L: CLE
1971-10-29 | w: PHX | L: PHL
1971-10-30 | w: DET | L: ATL
1971-10-30 | w: GOS | L: CIN
1971-10-30 | w: PHL | L: NYK
1971-10-30 | w: BLT | L: PHX
1971-10-30 | w: SEA | L: LAL
1971-10-31 | w: GOS | L: LAL
1971-10-31 | w: HOU | L: BUF
1971-10-31 | w: MIL | L: CLE
1971-11-02 | w: GOS | L: BLT
1971-11-02 | w: CHI | L: PHX
1971-11-03 | w: CHI | L: ATL
1971-11-03 | w: NYK | L: HOU
1971-11-03 | w: CIN | L: PHL
1971-11-03 | w: PHX | L: BUF
1971-11-04 | w: GOS | L: SEA
1971-11-04 | w: POR | L: HOU
1971-11-05 | w: LAL | L: BLT
1971-11-05 | w: BOS | L: DET
1971-11-05 | w: SEA | L: NYK
1971-11-05 | w: MIL | L: CHI
1971-11-05 | w: PHX | L: CLE
1971-11-05 | w: BUF | L: ATL
1971-11-06 | w: BOS | L: POR
1971-11-06 | w: LAL | L: GOS
1971-11-06 | w: MIL | L: DET
1971-11-06 | w: PHL | L: ATL
1971-11-06 | w: BUF | L: CHI
1971-11-06 | w: CIN | L: PHX
1971-11-07 | w: LAL | L: NYK
1971-11-07 | w: GOS | L: SEA
1971-11-07 | w: BLT | L: HOU
1971-11-07 | w: CLE | L: POR
1971-11-08 | w: BOS | L: CIN
1971-11-09 | w: GOS | L: HOU
1971-11-09 | w: LAL | L: CHI
1971-11-09 | w: MIL | L: PHX
1971-11-09 | w: BUF | L: POR
1971-11-10 | w: MIL | L: ATL
1971-11-10 | w: DET | L: POR
1971-11-10 | w: CHI | L: BLT
1971-11-10 | w: BOS | L: HOU
1971-11-10 | w: LAL | L: PHL
1971-11-10 | w: CIN | L: NYK
1971-11-11 | w: GOS | L: NYK
1971-11-11 | w: SEA | L: CLE
1971-11-12 | w: LAL | L: SEA
1971-11-12 | w: ATL | L: GOS
1971-11-12 | w: PHX | L: BOS
1971-11-12 | w: MIL | L: HOU
