============ Start of Season ============
1975-10-23 | w: ATL | L: NOJ
1975-10-23 | w: LAL | L: NYK
1975-10-23 | w: WAS | L: KCK
1975-10-23 | w: GOS | L: CLE
1975-10-24 | w: BOS | L: HOU
1975-10-24 | w: SEA | L: POR
1975-10-24 | w: PHL | L: CHI
1975-10-24 | w: NOJ | L: DET
1975-10-25 | w: DET | L: ATL
1975-10-25 | w: NYK | L: CLE
1975-10-25 | w: CHI | L: MIL
1975-10-25 | w: PHX | L: POR
1975-10-25 | w: BUF | L: GOS
1975-10-26 | w: SEA | L: PHX
1975-10-26 | w: NOJ | L: NYK
1975-10-27 | w: PHL | L: LAL
1975-10-28 | w: GOS | L: NYK
1975-10-28 | w: CHI | L: SEA
1975-10-28 | w: LAL | L: MIL
1975-10-28 | w: NOJ | L: POR
1975-10-28 | w: BUF | L: HOU
1975-10-29 | w: BOS | L: GOS
1975-10-29 | w: DET | L: LAL
1975-10-29 | w: SEA | L: KCK
1975-10-30 | w: NYK | L: KCK
1975-10-30 | w: CLE | L: CHI
1975-10-31 | w: LAL | L: SEA
1975-10-31 | w: BOS | L: POR
1975-10-31 | w: DET | L: HOU
1975-10-31 | w: BUF | L: PHL
1975-10-31 | w: NOJ | L: MIL
1975-11-01 | w: GOS | L: WAS
1975-11-01 | w: NYK | L: PHL
1975-11-01 | w: CHI | L: BOS
1975-11-01 | w: POR | L: MIL
1975-11-01 | w: NOJ | L: CLE
1975-11-01 | w: KCK | L: PHX
1975-11-01 | w: BUF | L: DET
1975-11-02 | w: WAS | L: SEA
1975-11-02 | w: HOU | L: MIL
1975-11-02 | w: LAL | L: ATL
1975-11-04 | w: WAS | L: CLE
1975-11-04 | w: HOU | L: NYK
1975-11-04 | w: PHX | L: CHI
1975-11-04 | w: MIL | L: DET
1975-11-04 | w: ATL | L: POR
1975-11-04 | w: KCK | L: LAL
1975-11-04 | w: PHL | L: BUF
1975-11-05 | w: BOS | L: BUF
1975-11-05 | w: DET | L: SEA
1975-11-05 | w: PHL | L: CHI
1975-11-05 | w: NOJ | L: LAL
1975-11-06 | w: CLE | L: ATL
1975-11-06 | w: GOS | L: NYK
1975-11-06 | w: WAS | L: SEA
1975-11-07 | w: LAL | L: NYK
1975-11-07 | w: DET | L: CHI
1975-11-07 | w: MIL | L: BOS
1975-11-07 | w: POR | L: KCK
1975-11-07 | w: PHL | L: PHX
1975-11-07 | w: CLE | L: NOJ
1975-11-08 | w: ATL | L: SEA
1975-11-08 | w: GOS | L: LAL
1975-11-08 | w: BOS | L: DET
1975-11-08 | w: HOU | L: CLE
1975-11-08 | w: MIL | L: WAS
