============ Start of Season ============
1983-10-28 | w: DET | L: BOS
1983-10-28 | w: GOS | L: SEA
1983-10-28 | w: MIL | L: IND
1983-10-28 | w: POR | L: SDC
1983-10-28 | w: NYK | L: CLE
1983-10-28 | w: LAL | L: KCK
1983-10-28 | w: DEN | L: UTH
1983-10-28 | w: NJN | L: ATL
1983-10-28 | w: PHL | L: WAS
1983-10-29 | w: ATL | L: DET
1983-10-29 | w: GOS | L: POR
1983-10-29 | w: NYK | L: WAS
1983-10-29 | w: HOU | L: SAN
1983-10-29 | w: CHI | L: NJN
1983-10-29 | w: BOS | L: CLE
1983-10-29 | w: LAL | L: UTH
1983-10-29 | w: SDC | L: DEN
1983-10-29 | w: DAL | L: PHX
1983-10-29 | w: PHL | L: IND
1983-10-30 | w: SEA | L: KCK
1983-10-30 | w: SAN | L: DAL
1983-11-01 | w: ATL | L: WAS
1983-11-01 | w: DET | L: MIL
1983-11-01 | w: SEA | L: PHX
1983-11-01 | w: KCK | L: GOS
1983-11-01 | w: POR | L: SAN
1983-11-01 | w: DAL | L: DEN
1983-11-01 | w: IND | L: HOU
1983-11-01 | w: NJN | L: CLE
1983-11-01 | w: PHL | L: CHI
1983-11-02 | w: BOS | L: MIL
1983-11-02 | w: SEA | L: NYK
1983-11-02 | w: CLE | L: HOU
1983-11-02 | w: SDC | L: LAL
1983-11-02 | w: DAL | L: POR
1983-11-03 | w: WAS | L: DET
1983-11-03 | w: PHX | L: SAN
1983-11-03 | w: DEN | L: KCK
1983-11-03 | w: UTH | L: GOS
1983-11-03 | w: NJN | L: CHI
1983-11-04 | w: ATL | L: CHI
1983-11-04 | w: BOS | L: IND
1983-11-04 | w: HOU | L: DET
1983-11-04 | w: POR | L: NYK
1983-11-04 | w: CLE | L: DAL
1983-11-04 | w: SDC | L: SEA
1983-11-04 | w: MIL | L: PHL
1983-11-05 | w: GOS | L: NYK
1983-11-05 | w: BOS | L: WAS
1983-11-05 | w: KCK | L: HOU
1983-11-05 | w: UTH | L: SAN
1983-11-05 | w: IND | L: CLE
1983-11-05 | w: DEN | L: SDC
1983-11-05 | w: DAL | L: LAL
1983-11-05 | w: PHL | L: NJN
1983-11-06 | w: POR | L: PHX
1983-11-06 | w: MIL | L: ATL
1983-11-06 | w: SAN | L: SEA
1983-11-08 | w: GOS | L: ATL
1983-11-08 | w: MIL | L: NYK
1983-11-08 | w: WAS | L: SDC
1983-11-08 | w: POR | L: HOU
1983-11-08 | w: SEA | L: PHX
1983-11-08 | w: CHI | L: KCK
1983-11-08 | w: LAL | L: DEN
1983-11-08 | w: BOS | L: IND
1983-11-09 | w: LAL | L: DAL
1983-11-09 | w: BOS | L: SDC
1983-11-09 | w: SEA | L: CLE
1983-11-09 | w: MIL | L: KCK
1983-11-09 | w: SAN | L: UTH
1983-11-09 | w: NJN | L: WAS
1983-11-09 | w: DET | L: PHL
1983-11-10 | w: PHX | L: GOS
1983-11-10 | w: UTH | L: HOU
1983-11-10 | w: POR | L: CLE
1983-11-10 | w: NYK | L: IND
1983-11-11 | w: LAL | L: PHX
1983-11-11 | w: BOS | L: DET
1983-11-11 | w: NYK | L: SDC
1983-11-11 | w: SEA | L: ATL
1983-11-11 | w: NJN | L: MIL
1983-11-11 | w: DAL | L: SAN
1983-11-11 | w: WAS | L: CHI
1983-11-11 | w: PHL | L: KCK
1983-11-12 | w: GOS | L: CLE
1983-11-12 | w: DET | L: KCK
1983-11-12 | w: HOU | L: DAL
1983-11-12 | w: BOS | L: CHI
1983-11-12 | w: SAN | L: DEN
1983-11-12 | w: UTH | L: POR
1983-11-12 | w: IND | L: NJN
1983-11-13 | w: LAL | L: UTH
1983-11-13 | w: MIL | L: SEA
1983-11-13 | w: PHX | L: GOS
1983-11-13 | w: POR | L: ATL
1983-11-13 | w: PHL | L: SDC
1983-11-15 | w: LAL | L: MIL
1983-11-15 | w: ATL | L: SDC
1983-11-15 | w: GOS | L: SAN
1983-11-15 | w: NYK | L: IND
1983-11-15 | w: KCK | L: WAS
1983-11-15 | w: NJN | L: HOU
1983-11-15 | w: CHI | L: DET
1983-11-15 | w: POR | L: UTH
1983-11-15 | w: BOS | L: DEN
1983-11-16 | w: DET | L: SEA
1983-11-16 | w: PHX | L: CLE
1983-11-16 | w: UTH | L: BOS
1983-11-16 | w: PHL | L: NYK
1983-11-17 | w: LAL | L: CLE
1983-11-17 | w: DEN | L: GOS
1983-11-17 | w: WAS | L: IND
1983-11-17 | w: SEA | L: CHI
1983-11-17 | w: KCK | L: SAN
1983-11-17 | w: SDC | L: MIL
1983-11-17 | w: DAL | L: NJN
1983-11-17 | w: ATL | L: PHL
1983-11-18 | w: NYK | L: BOS
1983-11-18 | w: DET | L: UTH
1983-11-18 | w: MIL | L: PHX
1983-11-18 | w: DEN | L: HOU
1983-11-19 | w: ATL | L: SEA
1983-11-19 | w: WAS | L: UTH
1983-11-19 | w: HOU | L: GOS
1983-11-19 | w: CHI | L: IND
1983-11-19 | w: LAL | L: POR
1983-11-19 | w: SAN | L: NJN
1983-11-19 | w: DEN | L: MIL
1983-11-19 | w: DAL | L: PHX
1983-11-19 | w: NYK | L: DET
1983-11-19 | w: PHL | L: BOS
1983-11-20 | w: SDC | L: CLE
1983-11-22 | w: ATL | L: IND
1983-11-22 | w: GOS | L: WAS
1983-11-22 | w: HOU | L: PHX
1983-11-22 | w: POR | L: DEN
1983-11-22 | w: KCK | L: SDC
1983-11-22 | w: DAL | L: SAN
1983-11-22 | w: NYK | L: BOS
1983-11-22 | w: UTH | L: LAL
1983-11-22 | w: PHL | L: DET
1983-11-23 | w: SEA | L: LAL
1983-11-23 | w: NJN | L: PHX
1983-11-23 | w: MIL | L: GOS
1983-11-23 | w: CLE | L: WAS
1983-11-23 | w: CHI | L: UTH
1983-11-23 | w: DET | L: IND
1983-11-23 | w: DEN | L: SDC
1983-11-23 | w: PHL | L: SAN
1983-11-25 | w: LAL | L: NJN
1983-11-25 | w: BOS | L: ATL
1983-11-25 | w: WAS | L: DET
1983-11-25 | w: POR | L: SEA
1983-11-25 | w: PHX | L: CHI
1983-11-25 | w: SAN | L: SDC
1983-11-25 | w: UTH | L: DEN
1983-11-25 | w: GOS | L: IND
1983-11-25 | w: DAL | L: KCK
1983-11-25 | w: PHL | L: HOU
1983-11-26 | w: ATL | L: HOU
1983-11-26 | w: NYK | L: CLE
1983-11-26 | w: MIL | L: WAS
1983-11-26 | w: POR | L: SEA
1983-11-26 | w: KCK | L: UTH
1983-11-26 | w: DEN | L: PHX
1983-11-26 | w: NJN | L: SDC
1983-11-26 | w: DAL | L: GOS
1983-11-27 | w: LAL | L: CHI
1983-11-27 | w: BOS | L: DET
