============ Start of Season ============
1986-10-31 | w: BOS | L: WAS
1986-10-31 | w: MIL | L: DET
1986-10-31 | w: PHX | L: GOS
1986-10-31 | w: SEA | L: POR
1986-10-31 | w: SAC | L: LAC
1986-10-31 | w: DEN | L: SAN
1986-10-31 | w: NJN | L: NYK
1986-10-31 | w: DAL | L: UTH
1986-10-31 | w: PHL | L: IND
1986-11-01 | w: ATL | L: NJN
1986-11-01 | w: GOS | L: DEN
1986-11-01 | w: CHI | L: NYK
1986-11-01 | w: SEA | L: SAC
1986-11-01 | w: HOU | L: LAL
1986-11-01 | w: MIL | L: BOS
1986-11-01 | w: CLE | L: WAS
1986-11-01 | w: UTH | L: POR
1986-11-01 | w: SAN | L: DAL
1986-11-01 | w: IND | L: DET
1986-11-01 | w: LAC | L: PHX
1986-11-02 | w: CHI | L: CLE
1986-11-02 | w: ATL | L: PHL
1986-11-03 | w: GOS | L: NYK
1986-11-04 | w: ATL | L: MIL
1986-11-04 | w: WAS | L: NJN
1986-11-04 | w: LAL | L: SEA
1986-11-04 | w: CHI | L: SAN
1986-11-04 | w: PHX | L: POR
1986-11-04 | w: HOU | L: SAC
1986-11-04 | w: DEN | L: NYK
1986-11-04 | w: DAL | L: LAC
1986-11-04 | w: IND | L: PHL
1986-11-05 | w: BOS | L: IND
1986-11-05 | w: GOS | L: POR
1986-11-05 | w: DET | L: WAS
1986-11-05 | w: UTH | L: CLE
1986-11-05 | w: SAN | L: NJN
1986-11-05 | w: PHL | L: MIL
1986-11-06 | w: DAL | L: SEA
1986-11-06 | w: LAC | L: HOU
1986-11-06 | w: NYK | L: SAC
1986-11-06 | w: DEN | L: UTH
1986-11-07 | w: LAL | L: DEN
1986-11-07 | w: ATL | L: PHX
1986-11-07 | w: CLE | L: GOS
1986-11-07 | w: DET | L: CHI
1986-11-07 | w: BOS | L: WAS
1986-11-07 | w: MIL | L: NJN
1986-11-07 | w: POR | L: DAL
1986-11-07 | w: PHL | L: SAN
1986-11-08 | w: ATL | L: WAS
1986-11-08 | w: HOU | L: SAC
1986-11-08 | w: SEA | L: NYK
1986-11-08 | w: CHI | L: PHX
1986-11-08 | w: MIL | L: DET
1986-11-08 | w: IND | L: SAN
1986-11-08 | w: CLE | L: LAC
1986-11-09 | w: LAL | L: NYK
1986-11-09 | w: PHL | L: POR
1986-11-11 | w: NYK | L: PHX
1986-11-11 | w: HOU | L: SAN
1986-11-11 | w: CHI | L: ATL
1986-11-11 | w: MIL | L: IND
1986-11-11 | w: POR | L: GOS
1986-11-11 | w: SAC | L: CLE
1986-11-11 | w: UTH | L: DAL
1986-11-11 | w: LAC | L: DEN
1986-11-11 | w: NJN | L: BOS
1986-11-11 | w: PHL | L: SEA
1986-11-12 | w: LAL | L: SEA
1986-11-12 | w: BOS | L: MIL
1986-11-12 | w: DET | L: PHX
1986-11-12 | w: WAS | L: CHI
1986-11-12 | w: SAC | L: DEN
1986-11-12 | w: DAL | L: HOU
1986-11-13 | w: UTH | L: LAC
1986-11-13 | w: SAN | L: CLE
1986-11-13 | w: IND | L: NJN
1986-11-13 | w: GOS | L: PHL
1986-11-14 | w: ATL | L: DET
1986-11-14 | w: BOS | L: CHI
1986-11-14 | w: MIL | L: NYK
1986-11-14 | w: POR | L: LAC
1986-11-14 | w: DEN | L: DAL
1986-11-14 | w: PHX | L: PHL
1986-11-15 | w: SEA | L: GOS
1986-11-15 | w: NYK | L: WAS
1986-11-15 | w: BOS | L: DET
