============ Start of Season ============
2012-10-30 | w: DAL | L: LAL
2012-10-30 | w: CLE | L: WAS
2012-10-30 | w: MIA | L: BOS
2012-10-31 | w: PHI | L: DEN
2012-10-31 | w: CHI | L: SAC
2012-10-31 | w: GSW | L: PHX
2012-10-31 | w: HOU | L: DET
2012-10-31 | w: LAC | L: MEM
2012-10-31 | w: POR | L: LAL
2012-10-31 | w: UTA | L: DAL
2012-10-31 | w: SAS | L: NOH
2012-10-31 | w: IND | L: TOR
2012-11-01 | w: SAS | L: OKC
2012-11-02 | w: MEM | L: GSW
2012-11-02 | w: LAC | L: LAL
2012-11-02 | w: NYK | L: MIA
2012-11-02 | w: PHX | L: DET
2012-11-02 | w: MIL | L: BOS
2012-11-02 | w: CHI | L: CLE
2012-11-02 | w: ORL | L: DEN
2012-11-02 | w: HOU | L: ATL
2012-11-02 | w: MIN | L: SAC
2012-11-02 | w: NOH | L: UTA
2012-11-02 | w: OKC | L: POR
2012-11-02 | w: CHA | L: IND
2012-11-03 | w: SAS | L: UTA
2012-11-03 | w: NOH | L: CHI
2012-11-03 | w: BKN | L: TOR
2012-11-03 | w: POR | L: HOU
2012-11-03 | w: GSW | L: LAC
2012-11-03 | w: MIA | L: DEN
2012-11-03 | w: IND | L: SAC
2012-11-03 | w: MIL | L: CLE
2012-11-03 | w: DAL | L: CHA
2012-11-03 | w: BOS | L: WAS
2012-11-04 | w: LAL | L: DET
2012-11-04 | w: NYK | L: PHI
2012-11-04 | w: ORL | L: PHX
2012-11-04 | w: TOR | L: MIN
2012-11-04 | w: ATL | L: OKC
2012-11-05 | w: NYK | L: PHI
2012-11-05 | w: SAS | L: IND
2012-11-05 | w: CLE | L: LAC
2012-11-05 | w: MIA | L: PHX
2012-11-05 | w: DAL | L: POR
2012-11-05 | w: SAC | L: GSW
2012-11-05 | w: MEM | L: UTA
2012-11-05 | w: MIN | L: BKN
2012-11-06 | w: CHI | L: ORL
2012-11-06 | w: DEN | L: DET
2012-11-06 | w: OKC | L: TOR
2012-11-07 | w: GSW | L: CLE
2012-11-07 | w: BOS | L: WAS
2012-11-07 | w: DEN | L: HOU
2012-11-07 | w: LAC | L: SAS
2012-11-07 | w: MIA | L: BKN
2012-11-07 | w: UTA | L: LAL
2012-11-07 | w: ATL | L: IND
2012-11-07 | w: MEM | L: MIL
2012-11-07 | w: DAL | L: TOR
2012-11-07 | w: SAC | L: DET
2012-11-07 | w: MIN | L: ORL
2012-11-07 | w: PHI | L: NOH
2012-11-07 | w: PHX | L: CHA
2012-11-08 | w: OKC | L: CHI
2012-11-08 | w: LAC | L: POR
2012-11-09 | w: LAL | L: GSW
2012-11-09 | w: NYK | L: DAL
2012-11-09 | w: PHX | L: CLE
2012-11-09 | w: PHI | L: BOS
2012-11-09 | w: BKN | L: ORL
2012-11-09 | w: MIA | L: ATL
2012-11-09 | w: SAS | L: SAC
2012-11-09 | w: DEN | L: UTA
2012-11-09 | w: MIN | L: IND
2012-11-09 | w: NOH | L: CHA
2012-11-09 | w: MIL | L: WAS
2012-11-09 | w: MEM | L: HOU
2012-11-09 | w: OKC | L: DET
2012-11-10 | w: DEN | L: GSW
2012-11-10 | w: CHI | L: MIN
2012-11-10 | w: HOU | L: DET
2012-11-10 | w: SAS | L: POR
2012-11-10 | w: UTA | L: PHX
2012-11-10 | w: IND | L: WAS
2012-11-10 | w: BOS | L: MIL
2012-11-10 | w: PHI | L: TOR
2012-11-10 | w: CHA | L: DAL
2012-11-11 | w: LAL | L: SAC
2012-11-11 | w: BKN | L: ORL
2012-11-11 | w: LAC | L: ATL
2012-11-11 | w: MEM | L: MIA
2012-11-11 | w: OKC | L: CLE
2012-11-12 | w: MIL | L: PHI
2012-11-12 | w: BOS | L: CHI
2012-11-12 | w: PHX | L: DEN
2012-11-12 | w: MIA | L: HOU
2012-11-12 | w: OKC | L: DET
2012-11-12 | w: ATL | L: POR
2012-11-12 | w: MIN | L: DAL
2012-11-12 | w: UTA | L: TOR
2012-11-13 | w: SAS | L: LAL
2012-11-13 | w: BKN | L: CLE
2012-11-13 | w: NYK | L: ORL
2012-11-13 | w: TOR | L: IND
2012-11-13 | w: POR | L: SAC
2012-11-13 | w: CHA | L: WAS
2012-11-14 | w: DET | L: PHI
2012-11-14 | w: GSW | L: ATL
2012-11-14 | w: CHI | L: PHX
2012-11-14 | w: BOS | L: UTA
2012-11-14 | w: HOU | L: NOH
2012-11-14 | w: LAC | L: MIA
2012-11-14 | w: MIL | L: IND
2012-11-14 | w: DAL | L: WAS
2012-11-14 | w: CHA | L: MIN
2012-11-14 | w: MEM | L: OKC
2012-11-15 | w: NYK | L: SAS
2012-11-15 | w: BKN | L: BOS
2012-11-15 | w: MIA | L: DEN
2012-11-16 | w: PHI | L: UTA
2012-11-16 | w: LAL | L: PHX
2012-11-16 | w: ORL | L: DET
2012-11-16 | w: POR | L: HOU
2012-11-16 | w: IND | L: DAL
2012-11-16 | w: ATL | L: SAC
2012-11-16 | w: GSW | L: MIN
2012-11-16 | w: OKC | L: NOH
2012-11-16 | w: MEM | L: NYK
2012-11-17 | w: SAS | L: DEN
2012-11-17 | w: MIA | L: PHX
2012-11-17 | w: BOS | L: TOR
2012-11-17 | w: DAL | L: CLE
2012-11-17 | w: LAC | L: CHI
2012-11-17 | w: MIL | L: NOH
2012-11-17 | w: UTA | L: WAS
2012-11-17 | w: MEM | L: CHA
2012-11-18 | w: PHI | L: CLE
2012-11-18 | w: LAL | L: HOU
2012-11-18 | w: NYK | L: IND
2012-11-18 | w: DET | L: BOS
2012-11-18 | w: POR | L: CHI
2012-11-18 | w: BKN | L: SAC
2012-11-18 | w: OKC | L: GSW
2012-11-18 | w: TOR | L: ORL
2012-11-19 | w: LAC | L: SAS
2012-11-19 | w: UTA | L: HOU
2012-11-19 | w: ATL | L: ORL
2012-11-19 | w: GSW | L: DAL
2012-11-19 | w: IND | L: WAS
2012-11-19 | w: DEN | L: MEM
2012-11-19 | w: CHA | L: MIL
2012-11-20 | w: PHI | L: TOR
2012-11-20 | w: LAL | L: BKN
2012-11-20 | w: NYK | L: NOH
2012-11-21 | w: GSW | L: BKN
2012-11-21 | w: PHX | L: POR
2012-11-21 | w: SAS | L: BOS
2012-11-21 | w: CLE | L: PHI
2012-11-21 | w: HOU | L: CHI
2012-11-21 | w: ORL | L: DET
2012-11-21 | w: MIA | L: MIL
2012-11-21 | w: IND | L: NOH
2012-11-21 | w: ATL | L: WAS
2012-11-21 | w: DAL | L: NYK
2012-11-21 | w: SAC | L: LAL
2012-11-21 | w: DEN | L: MIN
2012-11-21 | w: OKC | L: LAC
2012-11-21 | w: CHA | L: TOR
2012-11-23 | w: PHX | L: NOH
2012-11-23 | w: BOS | L: OKC
2012-11-23 | w: BKN | L: LAC
2012-11-23 | w: HOU | L: NYK
2012-11-23 | w: ORL | L: CLE
2012-11-23 | w: DET | L: TOR
2012-11-23 | w: POR | L: MIN
2012-11-23 | w: UTA | L: SAC
2012-11-23 | w: SAS | L: IND
2012-11-23 | w: DEN | L: GSW
2012-11-23 | w: MEM | L: LAL
2012-11-23 | w: ATL | L: CHA
2012-11-24 | w: OKC | L: PHI
2012-11-24 | w: GSW | L: MIN
2012-11-24 | w: MIA | L: CLE
2012-11-24 | w: ATL | L: LAC
2012-11-24 | w: CHI | L: MIL
2012-11-24 | w: LAL | L: DAL
2012-11-24 | w: SAC | L: UTA
2012-11-24 | w: CHA | L: WAS
2012-11-25 | w: PHI | L: PHX
2012-11-25 | w: NYK | L: DET
2012-11-25 | w: BKN | L: POR
2012-11-25 | w: BOS | L: ORL
2012-11-25 | w: DEN | L: NOH
2012-11-25 | w: SAS | L: TOR
2012-11-26 | w: MIL | L: CHI
2012-11-26 | w: BKN | L: NYK
2012-11-26 | w: DET | L: POR
2012-11-26 | w: NOH | L: LAC
2012-11-26 | w: UTA | L: DEN
2012-11-26 | w: SAS | L: WAS
2012-11-26 | w: MEM | L: CLE
2012-11-26 | w: OKC | L: CHA
2012-11-27 | w: PHI | L: DAL
2012-11-27 | w: IND | L: LAL
2012-11-27 | w: PHX | L: CLE
2012-11-27 | w: HOU | L: TOR
2012-11-27 | w: MIN | L: SAC
2012-11-28 | w: CHI | L: DAL
2012-11-28 | w: BKN | L: BOS
2012-11-28 | w: SAS | L: ORL
2012-11-28 | w: LAC | L: MIN
2012-11-28 | w: DET | L: PHX
2012-11-28 | w: ATL | L: CHA
2012-11-28 | w: NYK | L: MIL
2012-11-28 | w: UTA | L: NOH
2012-11-28 | w: WAS | L: POR
2012-11-28 | w: MEM | L: TOR
2012-11-28 | w: OKC | L: HOU
2012-11-29 | w: GSW | L: DEN
2012-11-29 | w: MIA | L: SAS
2012-11-30 | w: LAL | L: DEN
2012-11-30 | w: NYK | L: WAS
2012-11-30 | w: BOS | L: POR
2012-11-30 | w: BKN | L: ORL
2012-11-30 | w: CLE | L: ATL
2012-11-30 | w: IND | L: SAC
2012-11-30 | w: MIN | L: MIL
2012-11-30 | w: TOR | L: PHX
2012-11-30 | w: OKC | L: UTA
2012-11-30 | w: MEM | L: DET
2012-11-30 | w: PHI | L: CHA
2012-12-01 | w: GSW | L: IND
2012-12-01 | w: SAS | L: MEM
