============ Start of Season ============
2016-10-25 | w: CLE | L: NYK
2016-10-25 | w: SAS | L: GSW
2016-10-25 | w: POR | L: UTA
2016-10-26 | w: OKC | L: PHI
2016-10-26 | w: LAL | L: HOU
2016-10-26 | w: SAC | L: PHX
2016-10-26 | w: BOS | L: BKN
2016-10-26 | w: MIA | L: ORL
2016-10-26 | w: IND | L: DAL
2016-10-26 | w: CHA | L: MIL
2016-10-26 | w: TOR | L: DET
2016-10-26 | w: MEM | L: MIN
2016-10-26 | w: DEN | L: NOP
2016-10-27 | w: CHI | L: BOS
2016-10-27 | w: LAC | L: POR
2016-10-27 | w: ATL | L: WAS
2016-10-27 | w: SAS | L: SAC
2016-10-28 | w: BKN | L: IND
2016-10-28 | w: DET | L: ORL
2016-10-28 | w: CHA | L: MIA
2016-10-28 | w: UTA | L: LAL
2016-10-28 | w: HOU | L: DAL
2016-10-28 | w: CLE | L: TOR
2016-10-28 | w: OKC | L: PHX
2016-10-28 | w: GSW | L: NOP
2016-10-29 | w: ATL | L: PHI
2016-10-29 | w: SAS | L: NOP
2016-10-29 | w: CHI | L: IND
2016-10-29 | w: NYK | L: MEM
2016-10-29 | w: CLE | L: ORL
2016-10-29 | w: MIL | L: BKN
2016-10-29 | w: SAC | L: MIN
2016-10-29 | w: POR | L: DEN
2016-10-29 | w: BOS | L: CHA
2016-10-30 | w: GSW | L: PHX
2016-10-30 | w: HOU | L: DAL
2016-10-30 | w: DET | L: MIL
2016-10-30 | w: LAC | L: UTA
2016-10-30 | w: SAS | L: MIA
2016-10-30 | w: MEM | L: WAS
2016-10-30 | w: OKC | L: LAL
2016-10-31 | w: CHI | L: BKN
2016-10-31 | w: LAC | L: PHX
2016-10-31 | w: ATL | L: SAC
2016-10-31 | w: TOR | L: DEN
2016-11-01 | w: ORL | L: PHI
2016-11-01 | w: UTA | L: SAS
2016-11-01 | w: CLE | L: HOU
2016-11-01 | w: DET | L: NYK
2016-11-01 | w: MIA | L: SAC
2016-11-01 | w: GSW | L: POR
2016-11-01 | w: IND | L: LAL
2016-11-01 | w: MIN | L: MEM
2016-11-01 | w: MIL | L: NOP
2016-11-02 | w: HOU | L: NYK
2016-11-02 | w: PHX | L: POR
2016-11-02 | w: BOS | L: CHI
2016-11-02 | w: BKN | L: DET
2016-11-02 | w: OKC | L: LAC
2016-11-02 | w: UTA | L: DAL
2016-11-02 | w: LAL | L: ATL
2016-11-02 | w: CHA | L: PHI
2016-11-02 | w: TOR | L: WAS
2016-11-02 | w: MEM | L: NOP
2016-11-03 | w: GSW | L: OKC
2016-11-03 | w: CLE | L: BOS
2016-11-03 | w: ORL | L: SAC
2016-11-03 | w: MIL | L: IND
2016-11-03 | w: DEN | L: MIN
2016-11-04 | w: LAL | L: GSW
2016-11-04 | w: NYK | L: CHI
2016-11-04 | w: CHA | L: BKN
2016-11-04 | w: SAS | L: UTA
2016-11-04 | w: POR | L: DAL
2016-11-04 | w: WAS | L: ATL
2016-11-04 | w: TOR | L: MIA
2016-11-04 | w: LAC | L: MEM
2016-11-04 | w: PHX | L: NOP
2016-11-05 | w: CLE | L: PHI
2016-11-05 | w: LAC | L: SAS
2016-11-05 | w: ORL | L: WAS
2016-11-05 | w: DET | L: DEN
2016-11-05 | w: ATL | L: HOU
2016-11-05 | w: IND | L: CHI
2016-11-05 | w: MIL | L: SAC
2016-11-05 | w: OKC | L: MIN
2016-11-06 | w: LAL | L: PHX
2016-11-06 | w: UTA | L: NYK
2016-11-06 | w: DEN | L: BOS
2016-11-06 | w: DAL | L: MIL
2016-11-06 | w: SAC | L: TOR
2016-11-06 | w: POR | L: MEM
2016-11-07 | w: UTA | L: PHI
2016-11-07 | w: GSW | L: NOP
2016-11-07 | w: CHI | L: ORL
2016-11-07 | w: LAC | L: DET
2016-11-07 | w: CHA | L: IND
2016-11-07 | w: HOU | L: WAS
2016-11-07 | w: OKC | L: MIA
2016-11-08 | w: DAL | L: LAL
2016-11-08 | w: BKN | L: MIN
2016-11-08 | w: ATL | L: CLE
2016-11-08 | w: POR | L: PHX
2016-11-08 | w: SAC | L: NOP
2016-11-08 | w: MEM | L: DEN
2016-11-09 | w: GSW | L: DAL
2016-11-09 | w: HOU | L: SAS
2016-11-09 | w: NYK | L: BKN
2016-11-09 | w: PHX | L: DET
2016-11-09 | w: MIN | L: ORL
2016-11-09 | w: LAC | L: POR
2016-11-09 | w: IND | L: PHI
2016-11-09 | w: ATL | L: CHI
2016-11-09 | w: CHA | L: UTA
2016-11-09 | w: WAS | L: BOS
2016-11-09 | w: TOR | L: OKC
2016-11-10 | w: CHI | L: MIA
2016-11-10 | w: NOP | L: MIL
2016-11-10 | w: LAL | L: SAC
2016-11-10 | w: GSW | L: DEN
2016-11-11 | w: PHI | L: IND
2016-11-11 | w: SAS | L: DET
2016-11-11 | w: BOS | L: NYK
2016-11-11 | w: UTA | L: ORL
2016-11-11 | w: POR | L: SAC
2016-11-11 | w: TOR | L: CHA
2016-11-11 | w: CLE | L: WAS
2016-11-11 | w: LAC | L: OKC
2016-11-12 | w: CHI | L: WAS
2016-11-12 | w: BKN | L: PHX
2016-11-12 | w: SAS | L: HOU
2016-11-12 | w: UTA | L: MIA
2016-11-12 | w: BOS | L: IND
2016-11-12 | w: ATL | L: PHI
2016-11-12 | w: MIL | L: MEM
2016-11-12 | w: DET | L: DEN
2016-11-12 | w: LAC | L: MIN
2016-11-12 | w: TOR | L: NYK
2016-11-12 | w: LAL | L: NOP
2016-11-13 | w: GSW | L: PHX
2016-11-13 | w: CLE | L: CHA
2016-11-13 | w: POR | L: DEN
2016-11-13 | w: MIN | L: LAL
2016-11-13 | w: ORL | L: OKC
2016-11-14 | w: SAS | L: MIA
2016-11-14 | w: NYK | L: DAL
2016-11-14 | w: HOU | L: PHI
2016-11-14 | w: LAC | L: BKN
2016-11-14 | w: DET | L: OKC
2016-11-14 | w: MEM | L: UTA
2016-11-14 | w: IND | L: ORL
2016-11-14 | w: NOP | L: BOS
2016-11-15 | w: LAL | L: BKN
2016-11-15 | w: CLE | L: TOR
2016-11-15 | w: ATL | L: MIA
2016-11-15 | w: CHI | L: POR
2016-11-15 | w: CHA | L: MIN
2016-11-16 | w: PHI | L: WAS
2016-11-16 | w: NYK | L: DET
2016-11-16 | w: BOS | L: DAL
2016-11-16 | w: ORL | L: NOP
2016-11-16 | w: MEM | L: LAC
2016-11-16 | w: IND | L: CLE
2016-11-16 | w: ATL | L: MIL
2016-11-16 | w: DEN | L: PHX
2016-11-16 | w: SAS | L: SAC
2016-11-16 | w: GSW | L: TOR
2016-11-16 | w: OKC | L: HOU
2016-11-17 | w: HOU | L: POR
2016-11-17 | w: MIA | L: MIL
2016-11-17 | w: CHI | L: UTA
2016-11-17 | w: MIN | L: PHI
2016-11-17 | w: WAS | L: NYK
2016-11-18 | w: SAS | L: LAL
2016-11-18 | w: GSW | L: BOS
2016-11-18 | w: CLE | L: DET
2016-11-18 | w: PHX | L: IND
2016-11-18 | w: MEM | L: DAL
2016-11-18 | w: LAC | L: SAC
2016-11-18 | w: TOR | L: DEN
2016-11-18 | w: CHA | L: ATL
2016-11-18 | w: OKC | L: BKN
2016-11-18 | w: NOP | L: POR
2016-11-19 | w: PHI | L: PHX
2016-11-19 | w: HOU | L: UTA
2016-11-19 | w: ORL | L: DAL
2016-11-19 | w: LAC | L: CHI
2016-11-19 | w: BOS | L: DET
2016-11-19 | w: GSW | L: MIL
2016-11-19 | w: MIA | L: WAS
2016-11-19 | w: MEM | L: MIN
2016-11-19 | w: NOP | L: CHA
2016-11-20 | w: CHI | L: LAL
2016-11-20 | w: NYK | L: ATL
2016-11-20 | w: POR | L: BKN
2016-11-20 | w: SAC | L: TOR
2016-11-20 | w: DEN | L: UTA
2016-11-20 | w: IND | L: OKC
2016-11-21 | w: PHI | L: MIA
2016-11-21 | w: SAS | L: DAL
2016-11-21 | w: LAC | L: TOR
2016-11-21 | w: HOU | L: DET
2016-11-21 | w: GSW | L: IND
2016-11-21 | w: MIL | L: ORL
2016-11-21 | w: BOS | L: MIN
2016-11-21 | w: MEM | L: CHA
2016-11-21 | w: WAS | L: PHX
2016-11-22 | w: LAL | L: OKC
2016-11-22 | w: NYK | L: POR
2016-11-22 | w: NOP | L: ATL
2016-11-22 | w: DEN | L: CHI
2016-11-23 | w: MEM | L: PHI
2016-11-23 | w: GSW | L: LAL
2016-11-23 | w: BOS | L: BKN
2016-11-23 | w: CLE | L: POR
2016-11-23 | w: TOR | L: HOU
2016-11-23 | w: PHX | L: ORL
2016-11-23 | w: DET | L: MIA
2016-11-23 | w: UTA | L: DEN
2016-11-23 | w: ATL | L: IND
2016-11-23 | w: SAC | L: OKC
2016-11-23 | w: LAC | L: DAL
2016-11-23 | w: SAS | L: CHA
2016-11-23 | w: NOP | L: MIN
2016-11-25 | w: CHI | L: PHI
2016-11-25 | w: GSW | L: LAL
2016-11-25 | w: NYK | L: CHA
2016-11-25 | w: MIN | L: PHX
2016-11-25 | w: SAS | L: BOS
2016-11-25 | w: CLE | L: DAL
2016-11-25 | w: WAS | L: ORL
2016-11-25 | w: DET | L: LAC
2016-11-25 | w: POR | L: NOP
2016-11-25 | w: UTA | L: ATL
2016-11-25 | w: IND | L: BKN
2016-11-25 | w: TOR | L: MIL
2016-11-25 | w: HOU | L: SAC
2016-11-25 | w: OKC | L: DEN
