============ Start of Season ============
1947-11-12 | w: WAS | L: BAL
1947-11-13 | w: NYK | L: WAS
1947-11-13 | w: GSW | L: PRO
1947-11-13 | w: CHS | L: BOM
1947-11-13 | w: BAL | L: BOS
1947-11-14 | w: GSW | L: BOS
1947-11-15 | w: NYK | L: BOM
1947-11-15 | w: BOS | L: WAS
1947-11-15 | w: GSW | L: PRO
1947-11-15 | w: BAL | L: CHS
1947-11-18 | w: BOM | L: BOS
1947-11-18 | w: NYK | L: PRO
1947-11-19 | w: CHS | L: NYK
1947-11-19 | w: WAS | L: GSW
1947-11-20 | w: BOS | L: GSW
1947-11-20 | w: BOM | L: PRO
1947-11-20 | w: BAL | L: NYK
1947-11-20 | w: CHS | L: WAS
1947-11-21 | w: BAL | L: BOS
1947-11-22 | w: BOS | L: PRO
1947-11-22 | w: GSW | L: NYK
1947-11-22 | w: BAL | L: CHS
1947-11-22 | w: BOM | L: WAS
1947-11-25 | w: NYK | L: BOS
1947-11-26 | w: BOS | L: NYK
1947-11-26 | w: WAS | L: BOM
1947-11-27 | w: NYK | L: GSW
1947-11-27 | w: BAL | L: PRO
1947-11-28 | w: BOS | L: WAS
1947-11-28 | w: CHS | L: GSW
1947-11-29 | w: BAL | L: BOM
1947-11-29 | w: PRO | L: WAS
1947-12-01 | w: WAS | L: NYK
1947-12-02 | w: BOM | L: PRO
1947-12-02 | w: BAL | L: BOS
1947-12-03 | w: BAL | L: GSW
1947-12-03 | w: CHS | L: WAS
1947-12-04 | w: BOM | L: BAL
1947-12-05 | w: BOS | L: PRO
1947-12-06 | w: CHS | L: BAL
1947-12-06 | w: NYK | L: PRO
1947-12-08 | w: NYK | L: BOM
1947-12-09 | w: GSW | L: PRO
1947-12-10 | w: NYK | L: BOS
1947-12-11 | w: BOM | L: GSW
1947-12-11 | w: WAS | L: BAL
1947-12-12 | w: BOS | L: GSW
1947-12-12 | w: BOM | L: CHS
1947-12-13 | w: WAS | L: PRO
1947-12-13 | w: NYK | L: BAL
1947-12-15 | w: GSW | L: NYK
1947-12-17 | w: BOS | L: PRO
1947-12-17 | w: WAS | L: BAL
1947-12-18 | w: NYK | L: GSW
1947-12-18 | w: WAS | L: CHS
1947-12-18 | w: BAL | L: BOM
1947-12-19 | w: BOS | L: BOM
1947-12-20 | w: NYK | L: BOS
1947-12-20 | w: GSW | L: PRO
1947-12-20 | w: BOM | L: WAS
1947-12-21 | w: CHS | L: BAL
1947-12-23 | w: CHS | L: BOS
1947-12-23 | w: PRO | L: NYK
1947-12-25 | w: NYK | L: PRO
1947-12-25 | w: WAS | L: BOM
1947-12-25 | w: BAL | L: CHS
1947-12-26 | w: GSW | L: PRO
1947-12-27 | w: CHS | L: NYK
1947-12-27 | w: BOS | L: PRO
1947-12-27 | w: WAS | L: GSW
1947-12-28 | w: BOM | L: BAL
1947-12-30 | w: BOS | L: GSW
1947-12-30 | w: CHS | L: PRO
1948-01-01 | w: GSW | L: BAL
1948-01-01 | w: BOM | L: BOS
1948-01-02 | w: GSW | L: WAS
1948-01-03 | w: BAL | L: NYK
1948-01-03 | w: CHS | L: PRO
1948-01-03 | w: WAS | L: BOS
1948-01-04 | w: BOM | L: GSW
1948-01-06 | w: BAL | L: PRO
1948-01-07 | w: CHS | L: NYK
1948-01-08 | w: BOM | L: WAS
1948-01-08 | w: BAL | L: CHS
1948-01-09 | w: CHS | L: GSW
1948-01-10 | w: PRO | L: BOS
1948-01-10 | w: WAS | L: GSW
1948-01-11 | w: BOS | L: WAS
1948-01-11 | w: CHS | L: NYK
1948-01-11 | w: BOM | L: BAL
1948-01-14 | w: WAS | L: CHS
1948-01-15 | w: BAL | L: PRO
1948-01-15 | w: NYK | L: BOM
1948-01-16 | w: BOS | L: CHS
1948-01-16 | w: GSW | L: BAL
1948-01-17 | w: WAS | L: NYK
1948-01-17 | w: GSW | L: BAL
1948-01-18 | w: CHS | L: BOS
1948-01-18 | w: BOM | L: PRO
1948-01-19 | w: GSW | L: NYK
1948-01-20 | w: GSW | L: BOM
1948-01-21 | w: WAS | L: BOM
1948-01-22 | w: BOS | L: GSW
1948-01-22 | w: BOM | L: BAL
1948-01-22 | w: PRO | L: CHS
1948-01-23 | w: NYK | L: BOS
