============ Start of Season ============
1948-11-01 | w: JET | L: BOM
1948-11-03 | w: NYK | L: DET
1948-11-03 | w: WAS | L: GSW
1948-11-04 | w: GSW | L: BOS
1948-11-04 | w: WAS | L: PRO
1948-11-04 | w: LAL | L: BAL
1948-11-05 | w: NYK | L: JET
1948-11-06 | w: SAC | L: JET
1948-11-06 | w: CHS | L: BAL
1948-11-06 | w: BOM | L: DET
1948-11-06 | w: GSW | L: PRO
1948-11-06 | w: WAS | L: LAL
1948-11-07 | w: BOS | L: GSW
1948-11-07 | w: BAL | L: DET
1948-11-09 | w: BOS | L: LAL
1948-11-09 | w: GSW | L: PRO
1948-11-09 | w: BOM | L: NYK
1948-11-09 | w: BAL | L: JET
1948-11-10 | w: WAS | L: SAC
1948-11-11 | w: LAL | L: NYK
1948-11-11 | w: SAC | L: GSW
1948-11-11 | w: WAS | L: BAL
1948-11-11 | w: PRO | L: DET
1948-11-12 | w: BOS | L: DET
1948-11-13 | w: NYK | L: BAL
1948-11-13 | w: SAC | L: BOS
1948-11-13 | w: CHS | L: JET
1948-11-13 | w: LAL | L: PRO
1948-11-13 | w: BOM | L: GSW
1948-11-13 | w: WAS | L: DET
1948-11-14 | w: DET | L: JET
1948-11-14 | w: SAC | L: LAL
1948-11-16 | w: SAC | L: NYK
1948-11-16 | w: BOM | L: BOS
1948-11-16 | w: GSW | L: JET
1948-11-17 | w: WAS | L: NYK
1948-11-17 | w: BOS | L: LAL
1948-11-17 | w: DET | L: GSW
1948-11-18 | w: GSW | L: JET
1948-11-18 | w: SAC | L: PRO
1948-11-18 | w: NYK | L: BAL
1948-11-19 | w: BOS | L: JET
1948-11-19 | w: LAL | L: CHS
1948-11-19 | w: BOM | L: BAL
1948-11-20 | w: NYK | L: GSW
1948-11-20 | w: BAL | L: BOM
1948-11-20 | w: WAS | L: BOS
1948-11-20 | w: JET | L: PRO
1948-11-21 | w: LAL | L: BAL
1948-11-21 | w: CHS | L: DET
1948-11-21 | w: WAS | L: SAC
1948-11-23 | w: WAS | L: BOS
1948-11-23 | w: DET | L: GSW
1948-11-23 | w: SAC | L: BAL
1948-11-23 | w: LAL | L: JET
1948-11-24 | w: LAL | L: PRO
1948-11-25 | w: WAS | L: GSW
1948-11-25 | w: BAL | L: DET
1948-11-25 | w: BOM | L: PRO
1948-11-25 | w: JET | L: BOS
1948-11-27 | w: NYK | L: DET
1948-11-27 | w: SAC | L: CHS
1948-11-27 | w: LAL | L: BOM
1948-11-27 | w: WAS | L: JET
1948-11-27 | w: BAL | L: PRO
1948-11-28 | w: LAL | L: GSW
1948-11-28 | w: DET | L: BOS
1948-11-30 | w: LAL | L: BOS
1948-11-30 | w: NYK | L: PRO
1948-11-30 | w: CHS | L: GSW
1948-11-30 | w: DET | L: JET
1948-12-01 | w: SAC | L: NYK
1948-12-01 | w: DET | L: LAL
1948-12-01 | w: BOM | L: CHS
1948-12-01 | w: WAS | L: PRO
1948-12-02 | w: BOS | L: GSW
1948-12-02 | w: WAS | L: PRO
1948-12-02 | w: BAL | L: JET
1948-12-04 | w: NYK | L: JET
1948-12-04 | w: SAC | L: GSW
1948-12-04 | w: WAS | L: BAL
1948-12-04 | w: BOS | L: PRO
1948-12-04 | w: BOM | L: DET
1948-12-04 | w: CHS | L: LAL
1948-12-05 | w: LAL | L: BOM
1948-12-05 | w: CHS | L: DET
1948-12-06 | w: SAC | L: BOS
1948-12-07 | w: PRO | L: SAC
1948-12-07 | w: JET | L: WAS
1948-12-08 | w: NYK | L: PRO
1948-12-08 | w: BAL | L: GSW
1948-12-08 | w: WAS | L: LAL
1948-12-08 | w: DET | L: BOM
1948-12-09 | w: NYK | L: PRO
1948-12-09 | w: BAL | L: GSW
1948-12-10 | w: LAL | L: SAC
1948-12-10 | w: BOM | L: WAS
1948-12-10 | w: CHS | L: DET
