============ Start of Season ============
1955-11-05 | w: BOS | L: GSW
1955-11-05 | w: ATL | L: LAL
1955-11-05 | w: PHI | L: DET
1955-11-05 | w: NYK | L: SAC
1955-11-06 | w: LAL | L: DET
1955-11-06 | w: SAC | L: PHI
1955-11-09 | w: GSW | L: LAL
1955-11-10 | w: NYK | L: LAL
1955-11-10 | w: GSW | L: SAC
1955-11-12 | w: BOS | L: LAL
1955-11-12 | w: NYK | L: BOS
1955-11-12 | w: GSW | L: LAL
1955-11-12 | w: SAC | L: DET
1955-11-12 | w: PHI | L: ATL
1955-11-13 | w: NYK | L: SAC
1955-11-13 | w: DET | L: PHI
1955-11-15 | w: ATL | L: NYK
1955-11-16 | w: PHI | L: LAL
1955-11-17 | w: NYK | L: DET
1955-11-17 | w: GSW | L: BOS
1955-11-19 | w: BOS | L: DET
1955-11-19 | w: ATL | L: NYK
1955-11-19 | w: GSW | L: PHI
1955-11-19 | w: LAL | L: SAC
1955-11-20 | w: SAC | L: LAL
1955-11-20 | w: PHI | L: ATL
1955-11-20 | w: NYK | L: DET
1955-11-23 | w: GSW | L: PHI
1955-11-23 | w: NYK | L: BOS
1955-11-23 | w: ATL | L: SAC
1955-11-24 | w: GSW | L: NYK
1955-11-24 | w: LAL | L: ATL
1955-11-24 | w: PHI | L: BOS
1955-11-24 | w: DET | L: SAC
1955-11-26 | w: NYK | L: PHI
1955-11-26 | w: GSW | L: DET
1955-11-26 | w: BOS | L: SAC
1955-11-26 | w: ATL | L: LAL
1955-11-27 | w: LAL | L: GSW
1955-11-27 | w: PHI | L: NYK
1955-11-27 | w: DET | L: ATL
1955-11-29 | w: DET | L: NYK
1955-11-29 | w: BOS | L: PHI
1955-11-29 | w: ATL | L: GSW
1955-11-30 | w: SAC | L: DET
1955-11-30 | w: ATL | L: LAL
1955-12-01 | w: LAL | L: NYK
1955-12-01 | w: GSW | L: ATL
1955-12-02 | w: BOS | L: ATL
1955-12-03 | w: GSW | L: NYK
1955-12-03 | w: PHI | L: LAL
1955-12-03 | w: ATL | L: SAC
1955-12-04 | w: PHI | L: LAL
1955-12-04 | w: DET | L: BOS
1955-12-04 | w: SAC | L: GSW
1955-12-06 | w: NYK | L: SAC
1955-12-06 | w: GSW | L: LAL
1955-12-06 | w: DET | L: PHI
1955-12-06 | w: BOS | L: ATL
1955-12-07 | w: SAC | L: LAL
1955-12-08 | w: DET | L: PHI
1955-12-09 | w: GSW | L: PHI
1955-12-09 | w: SAC | L: BOS
1955-12-10 | w: BOS | L: LAL
1955-12-10 | w: NYK | L: ATL
1955-12-10 | w: SAC | L: DET
1955-12-11 | w: PHI | L: BOS
1955-12-11 | w: DET | L: GSW
1955-12-11 | w: SAC | L: ATL
1955-12-13 | w: NYK | L: LAL
1955-12-13 | w: GSW | L: BOS
1955-12-14 | w: BOS | L: NYK
1955-12-14 | w: LAL | L: DET
1955-12-14 | w: SAC | L: ATL
1955-12-15 | w: GSW | L: DET
1955-12-15 | w: LAL | L: PHI
1955-12-16 | w: ATL | L: SAC
1955-12-17 | w: PHI | L: BOS
1955-12-17 | w: LAL | L: SAC
1955-12-17 | w: NYK | L: DET
1955-12-18 | w: BOS | L: NYK
1955-12-18 | w: PHI | L: GSW
1955-12-18 | w: DET | L: LAL
1955-12-18 | w: ATL | L: SAC
1955-12-20 | w: BOS | L: LAL
1955-12-20 | w: PHI | L: NYK
1955-12-21 | w: GSW | L: SAC
1955-12-25 | w: BOS | L: LAL
1955-12-25 | w: PHI | L: SAC
1955-12-25 | w: DET | L: NYK
1955-12-26 | w: NYK | L: GSW
1955-12-26 | w: DET | L: ATL
1955-12-26 | w: SAC | L: PHI
1955-12-27 | w: NYK | L: GSW
1955-12-27 | w: BOS | L: ATL
1955-12-27 | w: SAC | L: PHI
1955-12-28 | w: ATL | L: LAL
1955-12-28 | w: NYK | L: SAC
