============ Start of Season ============
1957-10-22 | w: BOS | L: ATL
1957-10-23 | w: NYK | L: ATL
1957-10-23 | w: BOS | L: DET
1957-10-25 | w: PHI | L: GSW
1957-10-26 | w: BOS | L: NYK
1957-10-26 | w: GSW | L: DET
1957-10-26 | w: SAC | L: PHI
1957-10-26 | w: ATL | L: LAL
1957-10-30 | w: DET | L: LAL
1957-11-01 | w: PHI | L: LAL
1957-11-01 | w: SAC | L: ATL
1957-11-02 | w: BOS | L: PHI
1957-11-02 | w: GSW | L: LAL
1957-11-02 | w: ATL | L: SAC
1957-11-03 | w: NYK | L: GSW
1957-11-03 | w: BOS | L: PHI
1957-11-03 | w: DET | L: SAC
1957-11-05 | w: BOS | L: DET
1957-11-05 | w: ATL | L: PHI
1957-11-06 | w: BOS | L: LAL
1957-11-07 | w: GSW | L: NYK
1957-11-08 | w: GSW | L: LAL
1957-11-08 | w: NYK | L: PHI
1957-11-08 | w: BOS | L: SAC
1957-11-09 | w: ATL | L: GSW
1957-11-10 | w: GSW | L: SAC
1957-11-11 | w: BOS | L: ATL
1957-11-12 | w: BOS | L: LAL
1957-11-12 | w: DET | L: NYK
1957-11-13 | w: LAL | L: NYK
1957-11-14 | w: PHI | L: GSW
1957-11-15 | w: PHI | L: ATL
1957-11-15 | w: LAL | L: DET
1957-11-15 | w: SAC | L: NYK
1957-11-16 | w: DET | L: NYK
1957-11-16 | w: BOS | L: GSW
1957-11-16 | w: ATL | L: PHI
1957-11-17 | w: PHI | L: LAL
1957-11-17 | w: DET | L: GSW
1957-11-17 | w: ATL | L: SAC
1957-11-19 | w: ATL | L: NYK
1957-11-19 | w: SAC | L: DET
1957-11-20 | w: SAC | L: GSW
1957-11-20 | w: NYK | L: LAL
1957-11-21 | w: BOS | L: DET
1957-11-21 | w: NYK | L: LAL
1957-11-22 | w: SAC | L: PHI
1957-11-23 | w: PHI | L: NYK
1957-11-23 | w: BOS | L: LAL
1957-11-23 | w: ATL | L: DET
1957-11-24 | w: GSW | L: LAL
1957-11-26 | w: ATL | L: NYK
