============ Start of Season ============
1960-10-19 | w: SAC | L: LAL
1960-10-20 | w: SAC | L: NYK
1960-10-22 | w: BOS | L: DET
1960-10-22 | w: GSW | L: PHI
1960-10-22 | w: ATL | L: LAL
1960-10-22 | w: SAC | L: NYK
1960-10-23 | w: SAC | L: ATL
1960-10-24 | w: NYK | L: LAL
1960-10-25 | w: LAL | L: NYK
1960-10-25 | w: ATL | L: PHI
1960-10-26 | w: DET | L: SAC
1960-10-27 | w: SAC | L: PHI
1960-10-28 | w: GSW | L: LAL
1960-10-28 | w: BOS | L: NYK
1960-10-29 | w: GSW | L: BOS
1960-10-29 | w: DET | L: NYK
1960-10-29 | w: PHI | L: LAL
1960-10-29 | w: ATL | L: SAC
1960-11-01 | w: GSW | L: SAC
1960-11-02 | w: LAL | L: NYK
1960-11-02 | w: ATL | L: DET
1960-11-04 | w: GSW | L: DET
1960-11-05 | w: SAC | L: BOS
1960-11-05 | w: LAL | L: PHI
1960-11-05 | w: ATL | L: NYK
1960-11-05 | w: GSW | L: DET
1960-11-06 | w: LAL | L: PHI
1960-11-08 | w: BOS | L: SAC
1960-11-09 | w: GSW | L: LAL
1960-11-09 | w: ATL | L: DET
1960-11-10 | w: GSW | L: NYK
1960-11-11 | w: BOS | L: SAC
1960-11-11 | w: GSW | L: ATL
1960-11-11 | w: NYK | L: PHI
1960-11-12 | w: BOS | L: LAL
1960-11-12 | w: PHI | L: NYK
1960-11-12 | w: DET | L: SAC
1960-11-12 | w: ATL | L: GSW
1960-11-13 | w: DET | L: SAC
1960-11-15 | w: LAL | L: NYK
1960-11-15 | w: SAC | L: GSW
1960-11-15 | w: DET | L: BOS
1960-11-16 | w: BOS | L: ATL
1960-11-16 | w: DET | L: GSW
1960-11-16 | w: PHI | L: SAC
1960-11-17 | w: PHI | L: GSW
1960-11-17 | w: ATL | L: DET
1960-11-18 | w: GSW | L: NYK
1960-11-18 | w: SAC | L: ATL
1960-11-19 | w: GSW | L: NYK
1960-11-19 | w: LAL | L: DET
1960-11-19 | w: ATL | L: SAC
1960-11-19 | w: BOS | L: PHI
1960-11-20 | w: LAL | L: DET
1960-11-20 | w: BOS | L: SAC
1960-11-22 | w: LAL | L: SAC
1960-11-22 | w: ATL | L: NYK
1960-11-23 | w: BOS | L: NYK
1960-11-23 | w: DET | L: PHI
1960-11-23 | w: SAC | L: LAL
1960-11-24 | w: BOS | L: GSW
1960-11-24 | w: LAL | L: SAC
1960-11-24 | w: ATL | L: PHI
1960-11-25 | w: BOS | L: NYK
1960-11-25 | w: LAL | L: DET
1960-11-26 | w: NYK | L: DET
1960-11-26 | w: BOS | L: PHI
1960-11-26 | w: GSW | L: SAC
1960-11-26 | w: ATL | L: LAL
1960-11-27 | w: GSW | L: LAL
1960-11-27 | w: NYK | L: SAC
1960-11-28 | w: LAL | L: GSW
1960-11-29 | w: NYK | L: DET
1960-11-29 | w: GSW | L: LAL
1960-11-29 | w: PHI | L: SAC
1960-11-29 | w: BOS | L: ATL
1960-11-30 | w: PHI | L: ATL
1960-11-30 | w: BOS | L: DET
1960-12-01 | w: NYK | L: BOS
1960-12-01 | w: GSW | L: LAL
1960-12-01 | w: PHI | L: SAC
1960-12-02 | w: LAL | L: BOS
1960-12-02 | w: ATL | L: NYK
1960-12-03 | w: ATL | L: GSW
1960-12-03 | w: PHI | L: NYK
1960-12-04 | w: BOS | L: LAL
1960-12-04 | w: DET | L: SAC
1960-12-05 | w: BOS | L: LAL
1960-12-06 | w: SAC | L: NYK
1960-12-06 | w: GSW | L: PHI
