============ Start of Season ============
1962-10-16 | w: NYK | L: WAS
1962-10-16 | w: LAL | L: DET
1962-10-19 | w: NYK | L: LAL
1962-10-20 | w: BOS | L: NYK
1962-10-20 | w: PHI | L: LAL
1962-10-20 | w: ATL | L: DET
1962-10-20 | w: WAS | L: SAC
1962-10-23 | w: PHI | L: NYK
1962-10-23 | w: GSW | L: DET
1962-10-23 | w: ATL | L: WAS
1962-10-23 | w: SAC | L: LAL
1962-10-24 | w: ATL | L: SAC
1962-10-24 | w: WAS | L: LAL
1962-10-26 | w: BOS | L: NYK
1962-10-26 | w: SAC | L: ATL
1962-10-26 | w: PHI | L: WAS
1962-10-26 | w: GSW | L: DET
1962-10-27 | w: BOS | L: PHI
1962-10-27 | w: LAL | L: DET
1962-10-27 | w: ATL | L: NYK
1962-10-27 | w: GSW | L: WAS
1962-10-28 | w: SAC | L: GSW
1962-10-30 | w: ATL | L: BOS
1962-10-30 | w: GSW | L: NYK
1962-10-31 | w: PHI | L: ATL
1962-10-31 | w: LAL | L: NYK
1962-10-31 | w: BOS | L: DET
1962-11-02 | w: GSW | L: NYK
1962-11-02 | w: BOS | L: WAS
1962-11-03 | w: LAL | L: GSW
1962-11-03 | w: ATL | L: WAS
1962-11-03 | w: BOS | L: DET
1962-11-03 | w: PHI | L: SAC
1962-11-04 | w: LAL | L: NYK
1962-11-07 | w: NYK | L: ATL
1962-11-07 | w: LAL | L: GSW
1962-11-07 | w: BOS | L: SAC
1962-11-08 | w: DET | L: SAC
1962-11-09 | w: SAC | L: NYK
1962-11-09 | w: LAL | L: BOS
1962-11-09 | w: GSW | L: WAS
1962-11-09 | w: PHI | L: ATL
1962-11-10 | w: ATL | L: LAL
1962-11-10 | w: GSW | L: WAS
1962-11-10 | w: SAC | L: DET
1962-11-11 | w: BOS | L: NYK
1962-11-11 | w: ATL | L: DET
1962-11-11 | w: WAS | L: LAL
1962-11-12 | w: BOS | L: SAC
1962-11-13 | w: LAL | L: WAS
1962-11-13 | w: SAC | L: DET
1962-11-13 | w: ATL | L: GSW
1962-11-13 | w: BOS | L: NYK
1962-11-14 | w: DET | L: GSW
1962-11-14 | w: SAC | L: PHI
1962-11-15 | w: PHI | L: LAL
1962-11-15 | w: WAS | L: NYK
1962-11-16 | w: GSW | L: NYK
1962-11-16 | w: SAC | L: ATL
1962-11-16 | w: PHI | L: BOS
1962-11-17 | w: ATL | L: PHI
1962-11-17 | w: BOS | L: GSW
1962-11-17 | w: LAL | L: WAS
1962-11-17 | w: DET | L: NYK
1962-11-18 | w: PHI | L: WAS
1962-11-18 | w: LAL | L: DET
1962-11-18 | w: SAC | L: GSW
1962-11-20 | w: BOS | L: WAS
1962-11-20 | w: NYK | L: ATL
1962-11-21 | w: BOS | L: ATL
1962-11-21 | w: NYK | L: WAS
1962-11-21 | w: SAC | L: GSW
1962-11-21 | w: PHI | L: DET
1962-11-22 | w: LAL | L: SAC
1962-11-22 | w: ATL | L: DET
1962-11-22 | w: PHI | L: BOS
1962-11-23 | w: BOS | L: WAS
1962-11-23 | w: LAL | L: GSW
1962-11-23 | w: NYK | L: PHI
1962-11-23 | w: ATL | L: DET
1962-11-24 | w: LAL | L: SAC
1962-11-24 | w: ATL | L: BOS
1962-11-24 | w: WAS | L: DET
1962-11-24 | w: PHI | L: NYK
1962-11-25 | w: SAC | L: GSW
1962-11-26 | w: LAL | L: WAS
1962-11-27 | w: BOS | L: DET
1962-11-27 | w: ATL | L: PHI
1962-11-27 | w: WAS | L: GSW
1962-11-27 | w: SAC | L: NYK
1962-11-28 | w: LAL | L: ATL
1962-11-28 | w: DET | L: NYK
1962-11-29 | w: ATL | L: GSW
1962-11-29 | w: PHI | L: WAS
1962-11-30 | w: SAC | L: PHI
1962-12-01 | w: BOS | L: PHI
1962-12-01 | w: LAL | L: ATL
1962-12-01 | w: DET | L: NYK
1962-12-01 | w: SAC | L: WAS
1962-12-02 | w: ATL | L: GSW
1962-12-02 | w: BOS | L: SAC
1962-12-04 | w: DET | L: PHI
1962-12-04 | w: ATL | L: WAS
1962-12-04 | w: LAL | L: NYK
1962-12-05 | w: NYK | L: WAS
1962-12-05 | w: BOS | L: DET
1962-12-06 | w: NYK | L: SAC
1962-12-06 | w: WAS | L: ATL
1962-12-07 | w: BOS | L: LAL
1962-12-07 | w: DET | L: GSW
1962-12-07 | w: PHI | L: WAS
1962-12-08 | w: ATL | L: GSW
1962-12-08 | w: NYK | L: DET
1962-12-08 | w: PHI | L: BOS
1962-12-08 | w: LAL | L: SAC
1962-12-09 | w: DET | L: ATL
1962-12-09 | w: PHI | L: LAL
1962-12-09 | w: WAS | L: GSW
1962-12-10 | w: DET | L: WAS
1962-12-11 | w: LAL | L: SAC
1962-12-11 | w: GSW | L: PHI
1962-12-11 | w: NYK | L: BOS
1962-12-12 | w: BOS | L: ATL
1962-12-12 | w: LAL | L: PHI
1962-12-12 | w: WAS | L: SAC
1962-12-12 | w: DET | L: NYK
1962-12-13 | w: BOS | L: DET
1962-12-13 | w: SAC | L: WAS
1962-12-14 | w: LAL | L: GSW
1962-12-15 | w: LAL | L: GSW
1962-12-15 | w: SAC | L: BOS
1962-12-15 | w: ATL | L: DET
1962-12-15 | w: WAS | L: NYK
1962-12-16 | w: PHI | L: GSW
1962-12-16 | w: WAS | L: DET
1962-12-16 | w: ATL | L: NYK
1962-12-17 | w: LAL | L: PHI
1962-12-18 | w: GSW | L: ATL
1962-12-18 | w: WAS | L: DET
1962-12-18 | w: NYK | L: SAC
1962-12-19 | w: LAL | L: ATL
1962-12-19 | w: DET | L: WAS
1962-12-19 | w: SAC | L: PHI
1962-12-21 | w: ATL | L: LAL
1962-12-21 | w: GSW | L: DET
1962-12-21 | w: SAC | L: WAS
1962-12-22 | w: NYK | L: BOS
1962-12-22 | w: DET | L: WAS
1962-12-22 | w: GSW | L: PHI
1962-12-25 | w: GSW | L: ATL
1962-12-25 | w: PHI | L: NYK
1962-12-25 | w: SAC | L: DET
1962-12-26 | w: ATL | L: LAL
1962-12-26 | w: BOS | L: GSW
1962-12-26 | w: DET | L: WAS
1962-12-27 | w: BOS | L: GSW
1962-12-27 | w: PHI | L: NYK
1962-12-28 | w: GSW | L: PHI
1962-12-28 | w: BOS | L: SAC
1962-12-29 | w: ATL | L: BOS
1962-12-29 | w: GSW | L: NYK
1962-12-29 | w: WAS | L: SAC
1962-12-29 | w: LAL | L: PHI
1962-12-30 | w: LAL | L: DET
1962-12-30 | w: ATL | L: WAS
1963-01-01 | w: SAC | L: NYK
1963-01-02 | w: DET | L: SAC
1963-01-02 | w: PHI | L: ATL
1963-01-02 | w: BOS | L: GSW
1963-01-03 | w: NYK | L: PHI
1963-01-04 | w: ATL | L: DET
1963-01-04 | w: SAC | L: GSW
1963-01-04 | w: LAL | L: BOS
1963-01-04 | w: NYK | L: WAS
1963-01-05 | w: DET | L: ATL
1963-01-05 | w: GSW | L: WAS
1963-01-05 | w: LAL | L: BOS
1963-01-05 | w: PHI | L: SAC
1963-01-06 | w: ATL | L: GSW
1963-01-06 | w: DET | L: NYK
1963-01-06 | w: PHI | L: WAS
1963-01-06 | w: LAL | L: SAC
1963-01-08 | w: LAL | L: ATL
1963-01-08 | w: BOS | L: GSW
1963-01-08 | w: DET | L: NYK
1963-01-08 | w: PHI | L: SAC
1963-01-09 | w: SAC | L: PHI
1963-01-09 | w: ATL | L: NYK
1963-01-09 | w: LAL | L: DET
1963-01-09 | w: WAS | L: BOS
1963-01-10 | w: SAC | L: BOS
1963-01-11 | w: BOS | L: PHI
1963-01-11 | w: LAL | L: GSW
1963-01-11 | w: DET | L: WAS
1963-01-12 | w: DET | L: PHI
1963-01-12 | w: LAL | L: GSW
1963-01-12 | w: ATL | L: SAC
1963-01-12 | w: WAS | L: NYK
1963-01-13 | w: LAL | L: NYK
1963-01-13 | w: ATL | L: SAC
1963-01-13 | w: BOS | L: WAS
1963-01-13 | w: PHI | L: DET
1963-01-14 | w: GSW | L: NYK
1963-01-17 | w: BOS | L: WAS
1963-01-17 | w: NYK | L: GSW
1963-01-18 | w: BOS | L: SAC
1963-01-18 | w: LAL | L: WAS
1963-01-19 | w: ATL | L: GSW
1963-01-19 | w: SAC | L: NYK
1963-01-19 | w: PHI | L: BOS
1963-01-20 | w: ATL | L: GSW
1963-01-20 | w: BOS | L: LAL
1963-01-20 | w: WAS | L: SAC
