============ Start of Season ============
1988-11-04 | w: DET | L: CHI
1988-11-04 | w: POR | L: PHX
1988-11-04 | w: OKC | L: UTH
1988-11-04 | w: DEN | L: HOU
1988-11-04 | w: MIL | L: IND
1988-11-04 | w: ATL | L: BKN
1988-11-04 | w: LAL | L: DAL
1988-11-04 | w: CLE | L: CHH
1988-11-04 | w: BOS | L: NYK
1988-11-04 | w: PHL | L: LAC
1988-11-05 | w: GOS | L: PHX
1988-11-05 | w: DET | L: CHH
1988-11-05 | w: CHI | L: WAS
1988-11-05 | w: ATL | L: MIL
1988-11-05 | w: POR | L: SAC
1988-11-05 | w: SAN | L: LAL
1988-11-05 | w: CLE | L: IND
1988-11-05 | w: BKN | L: NYK
1988-11-05 | w: LAC | L: MIA
1988-11-05 | w: DAL | L: HOU
1988-11-05 | w: OKC | L: DEN
1988-11-05 | w: PHL | L: BOS
1988-11-08 | w: ATL | L: IND
1988-11-08 | w: LAL | L: GOS
1988-11-08 | w: NYK | L: CHI
1988-11-08 | w: HOU | L: SAN
1988-11-08 | w: OKC | L: SAC
1988-11-08 | w: BKN | L: WAS
1988-11-08 | w: DAL | L: MIA
1988-11-08 | w: CHH | L: LAC
1988-11-08 | w: DET | L: PHL
1988-11-09 | w: LAL | L: DEN
1988-11-09 | w: CHI | L: BOS
1988-11-09 | w: NYK | L: WAS
1988-11-09 | w: GOS | L: OKC
1988-11-09 | w: PHX | L: DAL
1988-11-09 | w: CLE | L: LAC
1988-11-09 | w: UTH | L: SAC
1988-11-09 | w: SAN | L: MIA
1988-11-09 | w: DET | L: ATL
1988-11-09 | w: MIL | L: PHL
1988-11-10 | w: HOU | L: UTH
1988-11-10 | w: DEN | L: POR
1988-11-11 | w: LAL | L: OKC
1988-11-11 | w: DET | L: BOS
1988-11-11 | w: WAS | L: CHH
1988-11-11 | w: CHI | L: BKN
1988-11-11 | w: PHX | L: GOS
1988-11-11 | w: DAL | L: SAN
1988-11-11 | w: HOU | L: MIA
1988-11-11 | w: NYK | L: IND
1988-11-11 | w: PHL | L: ATL
1988-11-12 | w: ATL | L: CHH
1988-11-12 | w: GOS | L: POR
1988-11-12 | w: NYK | L: WAS
1988-11-12 | w: MIL | L: BOS
1988-11-12 | w: CLE | L: IND
1988-11-12 | w: UTH | L: SAN
1988-11-12 | w: DEN | L: OKC
1988-11-12 | w: BKN | L: CHI
1988-11-12 | w: DAL | L: SAC
1988-11-12 | w: LAC | L: PHX
1988-11-13 | w: HOU | L: SAC
1988-11-13 | w: DEN | L: POR
1988-11-14 | w: GOS | L: BKN
1988-11-15 | w: NYK | L: HOU
1988-11-15 | w: POR | L: LAC
1988-11-15 | w: ATL | L: CLE
1988-11-15 | w: PHX | L: SAC
1988-11-15 | w: UTH | L: IND
1988-11-15 | w: DET | L: DAL
1988-11-15 | w: BOS | L: MIA
1988-11-15 | w: BKN | L: CHH
1988-11-15 | w: LAL | L: DEN
1988-11-15 | w: CHI | L: PHL
1988-11-16 | w: BOS | L: GOS
1988-11-16 | w: PHX | L: IND
1988-11-16 | w: DET | L: SAN
1988-11-16 | w: LAC | L: SAC
1988-11-16 | w: PHL | L: CHI
1988-11-17 | w: OKC | L: LAL
1988-11-17 | w: HOU | L: MIA
1988-11-17 | w: BKN | L: MIL
1988-11-17 | w: UTH | L: POR
1988-11-17 | w: DEN | L: SAN
1988-11-17 | w: DAL | L: CHH
1988-11-18 | w: LAL | L: POR
1988-11-18 | w: BOS | L: WAS
1988-11-18 | w: DET | L: PHX
1988-11-18 | w: CLE | L: BKN
1988-11-18 | w: LAC | L: IND
1988-11-18 | w: CHI | L: ATL
1988-11-18 | w: GOS | L: MIA
1988-11-18 | w: PHL | L: NYK
1988-11-19 | w: ATL | L: GOS
1988-11-19 | w: WAS | L: BOS
1988-11-19 | w: DAL | L: OKC
1988-11-19 | w: HOU | L: DET
1988-11-19 | w: CLE | L: MIL
1988-11-19 | w: SAC | L: IND
1988-11-19 | w: CHH | L: SAN
1988-11-19 | w: UTH | L: PHX
1988-11-19 | w: DEN | L: LAC
1988-11-19 | w: NYK | L: PHL
1988-11-20 | w: POR | L: BKN
1988-11-21 | w: HOU | L: ATL
1988-11-21 | w: UTH | L: LAC
1988-11-22 | w: CLE | L: BOS
1988-11-22 | w: LAL | L: NYK
1988-11-22 | w: POR | L: OKC
1988-11-22 | w: CHI | L: SAC
1988-11-22 | w: DEN | L: BKN
1988-11-22 | w: IND | L: MIL
1988-11-22 | w: DET | L: CHH
1988-11-22 | w: PHL | L: WAS
1988-11-23 | w: PHL | L: CLE
1988-11-23 | w: BOS | L: CHH
1988-11-23 | w: OKC | L: GOS
1988-11-23 | w: NYK | L: DET
1988-11-23 | w: BKN | L: PHX
1988-11-23 | w: MIL | L: WAS
1988-11-23 | w: UTH | L: HOU
1988-11-23 | w: LAC | L: CHI
1988-11-23 | w: DAL | L: DEN
1988-11-23 | w: LAL | L: MIA
1988-11-23 | w: SAN | L: ATL
1988-11-25 | w: BOS | L: MIL
1988-11-25 | w: PHX | L: OKC
1988-11-25 | w: POR | L: HOU
1988-11-25 | w: UTH | L: SAN
1988-11-25 | w: WAS | L: IND
1988-11-25 | w: LAC | L: BKN
1988-11-25 | w: DAL | L: ATL
1988-11-25 | w: PHL | L: CHH
1988-11-26 | w: ATL | L: BOS
1988-11-26 | w: HOU | L: GOS
1988-11-26 | w: NYK | L: CLE
1988-11-26 | w: DET | L: LAL
1988-11-26 | w: MIL | L: MIA
1988-11-26 | w: BKN | L: SAC
1988-11-26 | w: SAN | L: PHX
1988-11-26 | w: DEN | L: CHI
1988-11-26 | w: DAL | L: UTH
1988-11-26 | w: WAS | L: CHH
1988-11-26 | w: PHL | L: IND
1988-11-27 | w: POR | L: GOS
1988-11-27 | w: CLE | L: MIA
1988-11-28 | w: LAL | L: PHL
1988-11-29 | w: ATL | L: SAN
1988-11-29 | w: GOS | L: CHI
1988-11-29 | w: OKC | L: UTH
1988-11-29 | w: PHX | L: HOU
1988-11-29 | w: MIL | L: POR
1988-11-29 | w: SAC | L: LAC
1988-11-29 | w: IND | L: DET
1988-11-29 | w: DEN | L: NYK
1988-11-29 | w: BOS | L: BKN
