============ Start of Season ============
1994-11-04 | w: MIL | L: PHL
1994-11-04 | w: GOS | L: SAN
1994-11-04 | w: CHI | L: CHH
1994-11-04 | w: NYK | L: BOS
1994-11-04 | w: HOU | L: BKN
1994-11-04 | w: POR | L: LAC
1994-11-04 | w: LAL | L: DET
1994-11-04 | w: UTH | L: MIA
1994-11-04 | w: IND | L: ATL
1994-11-04 | w: DEN | L: MIN
1994-11-04 | w: SAC | L: PHX
1994-11-04 | w: WAS | L: ORL
1994-11-05 | w: WAS | L: CHI
1994-11-05 | w: ORL | L: PHL
1994-11-05 | w: POR | L: LAC
1994-11-05 | w: IND | L: BOS
1994-11-05 | w: DET | L: ATL
1994-11-05 | w: MIL | L: LAL
1994-11-05 | w: DAL | L: BKN
1994-11-05 | w: GOS | L: DEN
1994-11-05 | w: HOU | L: MIN
1994-11-05 | w: CLE | L: CHH
1994-11-05 | w: OKC | L: UTH
1994-11-06 | w: PHX | L: MIA
1994-11-07 | w: SAN | L: BKN
1994-11-07 | w: CHI | L: PHL
1994-11-07 | w: UTH | L: ATL
1994-11-08 | w: GOS | L: MIA
1994-11-08 | w: NYK | L: LAL
1994-11-08 | w: HOU | L: CLE
1994-11-08 | w: DET | L: MIN
1994-11-08 | w: DEN | L: DAL
1994-11-09 | w: PHL | L: WAS
1994-11-09 | w: SAN | L: UTH
1994-11-09 | w: PHX | L: ATL
1994-11-09 | w: BKN | L: CHI
1994-11-09 | w: HOU | L: IND
1994-11-09 | w: ORL | L: CHH
1994-11-09 | w: LAL | L: MIN
1994-11-09 | w: SAC | L: OKC
1994-11-10 | w: NYK | L: ORL
1994-11-10 | w: CLE | L: MIL
1994-11-10 | w: ATL | L: LAC
1994-11-10 | w: DET | L: IND
1994-11-10 | w: POR | L: SAC
1994-11-11 | w: DAL | L: PHL
1994-11-11 | w: DEN | L: LAL
1994-11-11 | w: HOU | L: BOS
1994-11-11 | w: GOS | L: UTH
1994-11-11 | w: CHH | L: MIL
1994-11-11 | w: CHI | L: MIN
1994-11-11 | w: OKC | L: PHX
1994-11-11 | w: WAS | L: BKN
1994-11-12 | w: ORL | L: PHL
1994-11-12 | w: GOS | L: LAL
1994-11-12 | w: SAN | L: NYK
1994-11-12 | w: DAL | L: CHI
1994-11-12 | w: HOU | L: BKN
1994-11-12 | w: IND | L: CLE
1994-11-12 | w: PHX | L: LAC
1994-11-12 | w: WAS | L: MIA
1994-11-12 | w: SAC | L: ATL
1994-11-12 | w: DEN | L: UTH
1994-11-12 | w: BOS | L: MIN
1994-11-12 | w: CHH | L: DET
1994-11-13 | w: OKC | L: LAC
1994-11-14 | w: UTH | L: NYK
1994-11-15 | w: MIN | L: GOS
1994-11-15 | w: BKN | L: OKC
1994-11-15 | w: CLE | L: CHH
1994-11-15 | w: HOU | L: SAC
1994-11-15 | w: ORL | L: WAS
1994-11-15 | w: LAL | L: LAC
1994-11-15 | w: DET | L: PHL
1994-11-15 | w: MIA | L: DAL
1994-11-15 | w: PHX | L: POR
1994-11-15 | w: ATL | L: BOS
1994-11-15 | w: MIL | L: IND
1994-11-15 | w: DEN | L: SAN
1994-11-16 | w: PHL | L: MIA
1994-11-16 | w: CHI | L: SAN
1994-11-16 | w: NYK | L: LAL
1994-11-16 | w: PHX | L: MIN
1994-11-16 | w: BOS | L: OKC
1994-11-17 | w: GOS | L: NYK
1994-11-17 | w: BKN | L: WAS
1994-11-17 | w: HOU | L: CHI
1994-11-17 | w: CLE | L: POR
1994-11-17 | w: DAL | L: SAC
1994-11-17 | w: DET | L: DEN
1994-11-17 | w: CHH | L: LAC
1994-11-18 | w: PHL | L: LAC
1994-11-18 | w: LAL | L: CLE
1994-11-18 | w: PHX | L: POR
1994-11-18 | w: ORL | L: BKN
1994-11-18 | w: BOS | L: MIA
1994-11-18 | w: UTH | L: DET
1994-11-18 | w: IND | L: OKC
1994-11-18 | w: MIL | L: ATL
1994-11-19 | w: GOS | L: UTH
1994-11-19 | w: NYK | L: ATL
1994-11-19 | w: OKC | L: MIL
1994-11-19 | w: CHI | L: DAL
1994-11-19 | w: HOU | L: DEN
1994-11-19 | w: SAN | L: MIN
1994-11-19 | w: IND | L: CHH
1994-11-19 | w: BOS | L: WAS
1994-11-20 | w: BKN | L: LAC
1994-11-20 | w: POR | L: DET
1994-11-20 | w: SAC | L: CLE
1994-11-21 | w: NYK | L: SAN
1994-11-21 | w: ORL | L: MIA
1994-11-21 | w: UTH | L: PHX
1994-11-22 | w: MIL | L: BOS
1994-11-22 | w: CLE | L: MIN
1994-11-22 | w: POR | L: HOU
1994-11-22 | w: CHI | L: LAC
1994-11-22 | w: ATL | L: PHL
1994-11-22 | w: CHH | L: GOS
1994-11-22 | w: OKC | L: BKN
1994-11-23 | w: SAN | L: POR
1994-11-23 | w: LAL | L: DAL
1994-11-23 | w: PHX | L: LAC
1994-11-23 | w: BOS | L: CHH
1994-11-23 | w: ORL | L: HOU
1994-11-23 | w: DET | L: MIL
1994-11-23 | w: MIA | L: CLE
1994-11-23 | w: UTH | L: OKC
1994-11-23 | w: DEN | L: CHI
1994-11-23 | w: BKN | L: SAC
1994-11-23 | w: ATL | L: MIN
1994-11-24 | w: IND | L: GOS
1994-11-25 | w: OKC | L: SAN
1994-11-25 | w: ORL | L: BOS
1994-11-25 | w: BKN | L: LAC
1994-11-25 | w: MIA | L: DET
1994-11-25 | w: UTH | L: CHI
1994-11-25 | w: IND | L: MIL
1994-11-25 | w: LAL | L: ATL
1994-11-25 | w: DAL | L: POR
1994-11-25 | w: SAC | L: DEN
1994-11-25 | w: PHL | L: MIN
1994-11-25 | w: CLE | L: WAS
1994-11-26 | w: BOS | L: PHL
1994-11-26 | w: CHH | L: NYK
1994-11-26 | w: PHX | L: SAN
1994-11-26 | w: CLE | L: GOS
1994-11-26 | w: OKC | L: HOU
1994-11-26 | w: ORL | L: MIL
1994-11-26 | w: DAL | L: DEN
1994-11-26 | w: LAL | L: WAS
1994-11-27 | w: PHX | L: BKN
1994-11-27 | w: DET | L: GOS
1994-11-27 | w: POR | L: IND
1994-11-27 | w: UTH | L: SAC
1994-11-28 | w: SAN | L: MIN
1994-11-28 | w: OKC | L: IND
1994-11-29 | w: GOS | L: LAC
1994-11-29 | w: LAL | L: BKN
1994-11-29 | w: HOU | L: DEN
1994-11-29 | w: SAC | L: MIA
1994-11-29 | w: UTH | L: POR
1994-11-29 | w: CHH | L: ATL
1994-11-29 | w: PHX | L: MIL
1994-11-29 | w: DAL | L: MIN
1994-11-29 | w: NYK | L: WAS
1994-11-30 | w: CHI | L: PHX
1994-11-30 | w: BOS | L: DET
1994-11-30 | w: CLE | L: LAL
1994-11-30 | w: ORL | L: SAC
1994-11-30 | w: CHH | L: MIA
1994-11-30 | w: OKC | L: SAN
1994-12-01 | w: HOU | L: GOS
1994-12-01 | w: IND | L: LAC
1994-12-01 | w: MIN | L: UTH
1994-12-01 | w: CLE | L: MIL
1994-12-01 | w: DEN | L: DAL
1994-12-02 | w: PHL | L: SAC
1994-12-02 | w: LAL | L: HOU
1994-12-02 | w: ATL | L: CHI
1994-12-02 | w: PHX | L: BOS
1994-12-02 | w: ORL | L: NYK
1994-12-02 | w: MIA | L: BKN
1994-12-02 | w: SAN | L: POR
1994-12-02 | w: WAS | L: DET
1994-12-03 | w: IND | L: GOS
1994-12-03 | w: CHI | L: BOS
1994-12-03 | w: NYK | L: WAS
1994-12-03 | w: SAC | L: BKN
1994-12-03 | w: PHL | L: CLE
1994-12-03 | w: MIN | L: LAC
1994-12-03 | w: DET | L: PHX
1994-12-03 | w: ATL | L: ORL
1994-12-03 | w: UTH | L: DAL
1994-12-03 | w: DEN | L: CHH
1994-12-03 | w: OKC | L: MIL
1994-12-04 | w: POR | L: MIL
1994-12-05 | w: NYK | L: PHL
1994-12-05 | w: BKN | L: CHI
1994-12-05 | w: CHH | L: LAC
1994-12-06 | w: DAL | L: SAN
1994-12-06 | w: LAL | L: GOS
1994-12-06 | w: NYK | L: BOS
1994-12-06 | w: ATL | L: BKN
1994-12-06 | w: ORL | L: CLE
1994-12-06 | w: CHH | L: UTH
1994-12-06 | w: IND | L: DET
1994-12-06 | w: SAC | L: MIL
1994-12-06 | w: DEN | L: MIN
1994-12-06 | w: OKC | L: HOU
1994-12-07 | w: BOS | L: ATL
1994-12-07 | w: ORL | L: CLE
1994-12-07 | w: LAC | L: MIL
1994-12-07 | w: PHL | L: MIA
1994-12-08 | w: UTH | L: SAN
1994-12-08 | w: PHX | L: BKN
1994-12-08 | w: HOU | L: CHH
1994-12-08 | w: WAS | L: DAL
1994-12-08 | w: SAC | L: OKC
1994-12-09 | w: IND | L: PHL
1994-12-09 | w: LAC | L: LAL
1994-12-09 | w: CLE | L: BOS
1994-12-09 | w: CHI | L: DET
1994-12-09 | w: ORL | L: MIA
1994-12-09 | w: POR | L: GOS
1994-12-09 | w: ATL | L: NYK
1994-12-10 | w: NYK | L: PHL
1994-12-10 | w: BKN | L: BOS
1994-12-10 | w: CLE | L: DET
1994-12-10 | w: SAN | L: HOU
1994-12-10 | w: ORL | L: ATL
1994-12-10 | w: OKC | L: LAC
1994-12-10 | w: LAL | L: UTH
1994-12-10 | w: IND | L: MIA
1994-12-10 | w: MIL | L: CHI
1994-12-10 | w: DAL | L: CHH
1994-12-10 | w: DEN | L: WAS
1994-12-10 | w: SAC | L: GOS
1994-12-10 | w: PHX | L: MIN
1994-12-11 | w: POR | L: SAC
1994-12-12 | w: SAN | L: WAS
1994-12-12 | w: MIA | L: NYK
1994-12-12 | w: PHX | L: GOS
1994-12-12 | w: BOS | L: DEN
1994-12-12 | w: BKN | L: ORL
1994-12-12 | w: UTH | L: POR
1994-12-13 | w: PHL | L: MIA
1994-12-13 | w: SAC | L: GOS
1994-12-13 | w: CHI | L: DET
1994-12-13 | w: CLE | L: IND
1994-12-13 | w: HOU | L: WAS
1994-12-13 | w: ATL | L: MIN
1994-12-13 | w: LAL | L: DAL
1994-12-13 | w: CHH | L: MIL
1994-12-14 | w: SAN | L: BOS
1994-12-14 | w: PHX | L: OKC
1994-12-14 | w: CLE | L: BKN
1994-12-14 | w: ORL | L: DEN
1994-12-14 | w: CHH | L: DET
1994-12-14 | w: POR | L: LAC
1994-12-14 | w: IND | L: ATL
1994-12-14 | w: MIL | L: PHL
1994-12-14 | w: UTH | L: MIN
1994-12-15 | w: LAL | L: HOU
1994-12-15 | w: LAC | L: GOS
1994-12-15 | w: DEN | L: MIA
1994-12-15 | w: DAL | L: BOS
1994-12-15 | w: NYK | L: SAC
1994-12-15 | w: OKC | L: POR
1994-12-15 | w: UTH | L: WAS
1994-12-16 | w: CLE | L: PHL
1994-12-16 | w: ORL | L: GOS
1994-12-16 | w: PHX | L: NYK
1994-12-16 | w: IND | L: CHH
1994-12-16 | w: CHI | L: ATL
1994-12-16 | w: MIN | L: BKN
1994-12-17 | w: DET | L: PHL
1994-12-17 | w: SAN | L: LAL
1994-12-17 | w: UTH | L: CHI
1994-12-17 | w: PHX | L: SAC
1994-12-17 | w: BOS | L: HOU
1994-12-17 | w: DAL | L: LAC
1994-12-17 | w: MIA | L: ATL
1994-12-17 | w: CHH | L: DEN
1994-12-17 | w: OKC | L: ORL
1994-12-17 | w: MIN | L: WAS
1994-12-18 | w: BKN | L: MIA
1994-12-18 | w: POR | L: NYK
1994-12-18 | w: UTH | L: MIL
1994-12-19 | w: CLE | L: CHI
1994-12-19 | w: PHX | L: WAS
1994-12-19 | w: DEN | L: BOS
1994-12-20 | w: UTH | L: PHL
1994-12-20 | w: DAL | L: GOS
1994-12-20 | w: LAL | L: MIN
1994-12-20 | w: BKN | L: NYK
1994-12-20 | w: ORL | L: POR
1994-12-20 | w: ATL | L: MIL
1994-12-20 | w: SAC | L: WAS
1994-12-20 | w: CHH | L: IND
1994-12-20 | w: OKC | L: LAC
1994-12-21 | w: BKN | L: DET
1994-12-21 | w: ORL | L: LAC
1994-12-21 | w: MIA | L: MIL
1994-12-21 | w: IND | L: CHI
1994-12-21 | w: SAN | L: DEN
1994-12-22 | w: GOS | L: WAS
1994-12-22 | w: CLE | L: NYK
1994-12-22 | w: HOU | L: PHX
1994-12-22 | w: UTH | L: ATL
1994-12-22 | w: SAC | L: MIN
1994-12-22 | w: CHH | L: PHL
1994-12-22 | w: OKC | L: DAL
1994-12-23 | w: SAN | L: HOU
1994-12-23 | w: LAL | L: SAC
1994-12-23 | w: CHI | L: IND
1994-12-23 | w: PHX | L: DEN
1994-12-23 | w: PHL | L: BOS
1994-12-23 | w: CLE | L: BKN
1994-12-23 | w: ORL | L: MIL
1994-12-23 | w: WAS | L: LAC
1994-12-23 | w: ATL | L: DET
1994-12-23 | w: MIA | L: CHH
1994-12-23 | w: POR | L: DAL
1994-12-25 | w: CHI | L: NYK
1994-12-25 | w: DEN | L: OKC
1994-12-26 | w: PHX | L: DAL
1994-12-26 | w: CLE | L: BOS
1994-12-26 | w: HOU | L: MIA
1994-12-26 | w: PHL | L: POR
1994-12-26 | w: MIL | L: BKN
1994-12-26 | w: MIN | L: LAC
1994-12-26 | w: OKC | L: SAC
1994-12-26 | w: ORL | L: WAS
1994-12-27 | w: GOS | L: LAL
1994-12-27 | w: SAN | L: CHH
1994-12-27 | w: LAC | L: CHI
