============ Start of Season ============
2001-10-30 | w: BKN | L: IND
2001-10-30 | w: HOU | L: ATL
2001-10-30 | w: SAS | L: LAC
2001-10-30 | w: MIL | L: UTA
2001-10-30 | w: DAL | L: DET
2001-10-30 | w: NYK | L: WAS
2001-10-30 | w: LAL | L: POR
2001-10-30 | w: SAC | L: OKC
2001-10-30 | w: ORL | L: TOR
2001-10-30 | w: MIN | L: PHI
2001-10-30 | w: DEN | L: PHX
2001-10-30 | w: BOS | L: CLE
2001-10-31 | w: POR | L: GSW
2001-10-31 | w: MIA | L: TOR
2001-10-31 | w: IND | L: CHI
2001-10-31 | w: CHH | L: CLE
2001-10-31 | w: BKN | L: BOS
2001-11-01 | w: HOU | L: LAC
2001-11-01 | w: MIL | L: DEN
2001-11-01 | w: LAL | L: UTA
2001-11-01 | w: DAL | L: PHI
2001-11-01 | w: OKC | L: SAS
2001-11-01 | w: WAS | L: ATL
2001-11-01 | w: DET | L: MEM
2001-11-01 | w: PHX | L: GSW
2001-11-02 | w: IND | L: ORL
2001-11-02 | w: LAL | L: PHX
2001-11-02 | w: CLE | L: MIA
2001-11-02 | w: MIN | L: MEM
2001-11-02 | w: TOR | L: DAL
2001-11-02 | w: DET | L: BKN
2001-11-02 | w: BOS | L: CHI
2001-11-02 | w: CHH | L: NYK
2001-11-03 | w: BKN | L: CHH
2001-11-03 | w: MIN | L: HOU
2001-11-03 | w: SAC | L: DEN
2001-11-03 | w: CHI | L: NYK
2001-11-03 | w: SAS | L: POR
2001-11-03 | w: UTA | L: OKC
2001-11-03 | w: MIL | L: BOS
2001-11-03 | w: ORL | L: CLE
2001-11-03 | w: ATL | L: MIA
2001-11-03 | w: GSW | L: LAC
2001-11-03 | w: WAS | L: PHI
2001-11-04 | w: LAL | L: UTA
2001-11-04 | w: SAC | L: SAS
2001-11-04 | w: HOU | L: PHX
2001-11-04 | w: DET | L: WAS
2001-11-04 | w: TOR | L: IND
2001-11-04 | w: DAL | L: MEM
2001-11-04 | w: GSW | L: POR
2001-11-05 | w: OKC | L: ORL
2001-11-05 | w: LAC | L: ATL
2001-11-06 | w: HOU | L: DEN
2001-11-06 | w: SAS | L: ORL
2001-11-06 | w: DAL | L: CHH
2001-11-06 | w: IND | L: PHI
2001-11-06 | w: POR | L: UTA
2001-11-06 | w: MIA | L: OKC
2001-11-06 | w: MIN | L: NYK
2001-11-06 | w: PHX | L: MEM
2001-11-06 | w: SAC | L: CLE
2001-11-07 | w: IND | L: SAC
2001-11-07 | w: UTA | L: ATL
2001-11-07 | w: NYK | L: CLE
2001-11-07 | w: DET | L: CHI
2001-11-07 | w: TOR | L: GSW
2001-11-07 | w: BOS | L: WAS
2001-11-07 | w: LAC | L: MEM
2001-11-08 | w: BKN | L: OKC
2001-11-08 | w: HOU | L: PHI
2001-11-08 | w: DAL | L: DEN
2001-11-08 | w: POR | L: LAC
2001-11-08 | w: MIL | L: MIA
2001-11-08 | w: MIN | L: CHI
2001-11-08 | w: PHX | L: ATL
2001-11-08 | w: SAS | L: CHH
2001-11-09 | w: IND | L: NYK
2001-11-09 | w: DEN | L: HOU
2001-11-09 | w: LAL | L: MEM
2001-11-09 | w: ORL | L: SAC
2001-11-09 | w: BOS | L: OKC
2001-11-09 | w: GSW | L: WAS
2001-11-10 | w: IND | L: POR
2001-11-10 | w: BKN | L: CLE
2001-11-10 | w: SAS | L: ATL
2001-11-10 | w: TOR | L: UTA
2001-11-10 | w: PHI | L: DAL
2001-11-10 | w: GSW | L: NYK
2001-11-10 | w: SAC | L: MIA
2001-11-10 | w: CHH | L: CHI
2001-11-10 | w: MIN | L: MIL
2001-11-10 | w: LAC | L: PHX
2001-11-11 | w: DEN | L: TOR
2001-11-11 | w: LAL | L: ORL
2001-11-11 | w: POR | L: DET
2001-11-11 | w: OKC | L: WAS
2001-11-12 | w: UTA | L: ORL
2001-11-12 | w: GSW | L: MEM
2001-11-13 | w: BKN | L: IND
2001-11-13 | w: SAS | L: HOU
2001-11-13 | w: DEN | L: CHI
2001-11-13 | w: NYK | L: POR
2001-11-13 | w: PHI | L: MIA
2001-11-13 | w: PHX | L: OKC
2001-11-13 | w: SAC | L: TOR
2001-11-13 | w: CLE | L: MIN
2001-11-14 | w: PHI | L: CHH
2001-11-14 | w: ORL | L: PHX
2001-11-14 | w: ATL | L: UTA
2001-11-14 | w: DAL | L: CLE
2001-11-14 | w: BOS | L: IND
2001-11-14 | w: TOR | L: GSW
2001-11-14 | w: LAC | L: CHI
2001-11-14 | w: MIL | L: WAS
2001-11-15 | w: LAL | L: HOU
2001-11-15 | w: ORL | L: DEN
2001-11-15 | w: NYK | L: MIA
2001-11-15 | w: DET | L: DAL
2001-11-15 | w: POR | L: MEM
2001-11-16 | w: MIN | L: IND
2001-11-16 | w: BKN | L: NYK
2001-11-16 | w: SAS | L: CLE
2001-11-16 | w: PHI | L: ATL
2001-11-16 | w: CHH | L: MIA
2001-11-16 | w: SAC | L: CHI
2001-11-16 | w: OKC | L: GSW
2001-11-16 | w: PHX | L: LAL
2001-11-16 | w: TOR | L: LAC
2001-11-16 | w: UTA | L: WAS
2001-11-17 | w: PHI | L: BKN
2001-11-17 | w: HOU | L: DAL
2001-11-17 | w: DEN | L: OKC
2001-11-17 | w: MIL | L: UTA
2001-11-17 | w: MIN | L: ORL
2001-11-17 | w: DET | L: IND
2001-11-17 | w: ATL | L: BOS
2001-11-17 | w: POR | L: CHH
2001-11-17 | w: MEM | L: CLE
2001-11-17 | w: GSW | L: CHI
2001-11-18 | w: LAL | L: SAC
2001-11-18 | w: TOR | L: PHX
