============ Start of Season ============
1952-10-31 | w: BOS | L: INO
1952-11-01 | w: NYK | L: BAL
1952-11-01 | w: LAL | L: BOS
1952-11-01 | w: SAC | L: DET
1952-11-01 | w: ATL | L: INO
1952-11-01 | w: GSW | L: PHI
1952-11-02 | w: LAL | L: DET
1952-11-02 | w: PHI | L: GSW
1952-11-05 | w: LAL | L: BAL
1952-11-06 | w: SAC | L: DET
1952-11-07 | w: SAC | L: INO
1952-11-08 | w: BOS | L: PHI
1952-11-08 | w: LAL | L: GSW
1952-11-08 | w: NYK | L: BAL
1952-11-08 | w: SAC | L: INO
1952-11-09 | w: DET | L: INO
1952-11-09 | w: PHI | L: LAL
1952-11-09 | w: ATL | L: SAC
1952-11-11 | w: LAL | L: BOS
1952-11-11 | w: SAC | L: NYK
1952-11-11 | w: INO | L: DET
1952-11-12 | w: BAL | L: ATL
1952-11-13 | w: NYK | L: LAL
1952-11-13 | w: PHI | L: BOS
1952-11-13 | w: SAC | L: ATL
1952-11-14 | w: INO | L: GSW
1952-11-15 | w: NYK | L: BOS
1952-11-15 | w: ATL | L: DET
1952-11-15 | w: SAC | L: LAL
1952-11-15 | w: INO | L: GSW
1952-11-15 | w: BAL | L: PHI
1952-11-16 | w: BOS | L: SAC
1952-11-16 | w: LAL | L: ATL
1952-11-16 | w: GSW | L: BAL
1952-11-16 | w: DET | L: NYK
1952-11-16 | w: PHI | L: INO
1952-11-18 | w: GSW | L: ATL
1952-11-18 | w: INO | L: NYK
1952-11-19 | w: BOS | L: ATL
1952-11-19 | w: BAL | L: GSW
1952-11-20 | w: NYK | L: INO
1952-11-20 | w: GSW | L: BAL
1952-11-20 | w: PHI | L: ATL
1952-11-20 | w: LAL | L: DET
1952-11-22 | w: NYK | L: PHI
1952-11-22 | w: LAL | L: DET
1952-11-22 | w: SAC | L: ATL
1952-11-22 | w: BAL | L: GSW
1952-11-22 | w: BOS | L: INO
1952-11-23 | w: PHI | L: NYK
1952-11-23 | w: DET | L: GSW
1952-11-23 | w: INO | L: BAL
1952-11-23 | w: LAL | L: ATL
1952-11-23 | w: BOS | L: SAC
1952-11-25 | w: SAC | L: BAL
1952-11-25 | w: ATL | L: INO
1952-11-26 | w: BOS | L: GSW
1952-11-26 | w: DET | L: ATL
1952-11-26 | w: NYK | L: BAL
1952-11-27 | w: NYK | L: BAL
1952-11-27 | w: LAL | L: INO
1952-11-27 | w: BOS | L: GSW
1952-11-27 | w: PHI | L: SAC
1952-11-27 | w: DET | L: ATL
1952-11-28 | w: LAL | L: INO
1952-11-28 | w: ATL | L: GSW
1952-11-29 | w: BOS | L: DET
1952-11-29 | w: NYK | L: INO
1952-11-29 | w: SAC | L: LAL
1952-11-29 | w: PHI | L: BAL
1952-11-30 | w: LAL | L: GSW
1952-11-30 | w: PHI | L: BOS
1952-11-30 | w: SAC | L: ATL
1952-11-30 | w: DET | L: BAL
1952-12-01 | w: LAL | L: BAL
1952-12-02 | w: INO | L: SAC
1952-12-02 | w: NYK | L: GSW
1952-12-03 | w: NYK | L: GSW
1952-12-03 | w: BAL | L: ATL
1952-12-03 | w: LAL | L: BOS
1952-12-04 | w: LAL | L: NYK
1952-12-04 | w: ATL | L: BOS
1952-12-04 | w: PHI | L: DET
1952-12-05 | w: INO | L: DET
1952-12-06 | w: BOS | L: ATL
1952-12-06 | w: PHI | L: GSW
1952-12-06 | w: SAC | L: INO
