============ Start of Season ============
1965-10-15 | w: LAL | L: GSW
1965-10-15 | w: ATL | L: SAC
1965-10-16 | w: LAL | L: ATL
1965-10-16 | w: BOS | L: SAC
1965-10-16 | w: NYK | L: DET
1965-10-16 | w: PHI | L: WAS
1965-10-17 | w: SAC | L: WAS
1965-10-19 | w: GSW | L: SAC
1965-10-20 | w: BOS | L: LAL
1965-10-20 | w: DET | L: NYK
1965-10-20 | w: WAS | L: ATL
1965-10-23 | w: ATL | L: BOS
1965-10-23 | w: NYK | L: LAL
1965-10-23 | w: GSW | L: WAS
1965-10-23 | w: PHI | L: DET
1965-10-26 | w: LAL | L: NYK
1965-10-26 | w: WAS | L: DET
1965-10-27 | w: DET | L: WAS
1965-10-28 | w: LAL | L: NYK
1965-10-28 | w: SAC | L: BOS
1965-10-29 | w: GSW | L: NYK
1965-10-29 | w: DET | L: BOS
1965-10-29 | w: SAC | L: WAS
1965-10-30 | w: GSW | L: LAL
1965-10-30 | w: ATL | L: DET
1965-10-30 | w: PHI | L: SAC
1965-10-31 | w: BOS | L: WAS
1965-10-31 | w: NYK | L: GSW
1965-10-31 | w: SAC | L: DET
1965-11-03 | w: LAL | L: ATL
1965-11-03 | w: DET | L: PHI
1965-11-03 | w: WAS | L: NYK
1965-11-03 | w: SAC | L: GSW
1965-11-04 | w: NYK | L: WAS
1965-11-04 | w: GSW | L: PHI
1965-11-05 | w: LAL | L: ATL
1965-11-05 | w: SAC | L: DET
1965-11-05 | w: BOS | L: WAS
1965-11-05 | w: PHI | L: GSW
1965-11-06 | w: ATL | L: LAL
1965-11-06 | w: BOS | L: PHI
1965-11-06 | w: GSW | L: DET
1965-11-06 | w: SAC | L: NYK
1965-11-07 | w: WAS | L: LAL
1965-11-09 | w: BOS | L: WAS
1965-11-09 | w: GSW | L: DET
1965-11-09 | w: PHI | L: LAL
1965-11-10 | w: LAL | L: DET
1965-11-10 | w: WAS | L: ATL
1965-11-10 | w: SAC | L: NYK
1965-11-11 | w: PHI | L: GSW
1965-11-11 | w: BOS | L: ATL
1965-11-12 | w: LAL | L: NYK
1965-11-12 | w: GSW | L: DET
1965-11-12 | w: PHI | L: BOS
1965-11-13 | w: PHI | L: NYK
1965-11-13 | w: ATL | L: GSW
1965-11-13 | w: BOS | L: DET
1965-11-13 | w: SAC | L: WAS
1965-11-14 | w: LAL | L: WAS
1965-11-15 | w: GSW | L: WAS
1965-11-16 | w: PHI | L: ATL
1965-11-16 | w: BOS | L: GSW
1965-11-16 | w: NYK | L: DET
1965-11-17 | w: LAL | L: BOS
1965-11-17 | w: SAC | L: PHI
1965-11-18 | w: WAS | L: NYK
1965-11-19 | w: LAL | L: GSW
1965-11-19 | w: BOS | L: SAC
1965-11-19 | w: NYK | L: DET
1965-11-19 | w: WAS | L: PHI
1965-11-20 | w: LAL | L: GSW
1965-11-20 | w: ATL | L: DET
1965-11-20 | w: BOS | L: NYK
1965-11-20 | w: WAS | L: PHI
1965-11-21 | w: SAC | L: WAS
1965-11-21 | w: PHI | L: LAL
1965-11-22 | w: GSW | L: ATL
1965-11-23 | w: DET | L: SAC
1965-11-23 | w: GSW | L: NYK
1965-11-24 | w: LAL | L: PHI
1965-11-24 | w: BOS | L: NYK
1965-11-24 | w: DET | L: WAS
1965-11-24 | w: SAC | L: ATL
1965-11-25 | w: ATL | L: GSW
1965-11-26 | w: BOS | L: DET
1965-11-26 | w: PHI | L: GSW
1965-11-26 | w: WAS | L: LAL
1965-11-26 | w: SAC | L: NYK
1965-11-27 | w: ATL | L: WAS
1965-11-27 | w: BOS | L: LAL
1965-11-27 | w: PHI | L: GSW
1965-11-27 | w: SAC | L: NYK
1965-11-28 | w: LAL | L: DET
1965-11-28 | w: WAS | L: ATL
1965-11-30 | w: WAS | L: PHI
1965-11-30 | w: NYK | L: ATL
1965-11-30 | w: SAC | L: LAL
1965-12-01 | w: WAS | L: NYK
1965-12-01 | w: LAL | L: SAC
1965-12-01 | w: ATL | L: DET
1965-12-02 | w: GSW | L: SAC
1965-12-03 | w: SAC | L: LAL
1965-12-03 | w: PHI | L: BOS
1965-12-04 | w: BOS | L: ATL
1965-12-04 | w: DET | L: WAS
1965-12-05 | w: ATL | L: GSW
1965-12-05 | w: SAC | L: BOS
1965-12-06 | w: PHI | L: LAL
1965-12-07 | w: BOS | L: ATL
1965-12-07 | w: NYK | L: LAL
1965-12-08 | w: ATL | L: NYK
1965-12-08 | w: BOS | L: LAL
1965-12-08 | w: DET | L: GSW
1965-12-08 | w: WAS | L: PHI
1965-12-09 | w: GSW | L: SAC
1965-12-10 | w: WAS | L: GSW
1965-12-10 | w: NYK | L: ATL
1965-12-10 | w: DET | L: PHI
1965-12-10 | w: LAL | L: SAC
1965-12-11 | w: LAL | L: ATL
1965-12-11 | w: BOS | L: GSW
1965-12-11 | w: NYK | L: WAS
1965-12-11 | w: PHI | L: SAC
1965-12-12 | w: LAL | L: ATL
1965-12-14 | w: WAS | L: DET
1965-12-14 | w: NYK | L: GSW
1965-12-14 | w: SAC | L: PHI
1965-12-15 | w: PHI | L: LAL
1965-12-15 | w: SAC | L: BOS
1965-12-15 | w: GSW | L: ATL
1965-12-15 | w: WAS | L: NYK
1965-12-17 | w: PHI | L: LAL
1965-12-17 | w: ATL | L: GSW
1965-12-17 | w: BOS | L: DET
1965-12-18 | w: NYK | L: SAC
1965-12-18 | w: WAS | L: DET
1965-12-18 | w: PHI | L: GSW
1965-12-19 | w: LAL | L: GSW
1965-12-20 | w: GSW | L: PHI
1965-12-22 | w: GSW | L: DET
1965-12-22 | w: BOS | L: NYK
1965-12-22 | w: WAS | L: SAC
1965-12-23 | w: LAL | L: DET
1965-12-25 | w: LAL | L: DET
1965-12-25 | w: ATL | L: NYK
1965-12-25 | w: BOS | L: WAS
1965-12-25 | w: SAC | L: GSW
1965-12-26 | w: SAC | L: ATL
1965-12-26 | w: BOS | L: WAS
1965-12-26 | w: PHI | L: GSW
1965-12-27 | w: LAL | L: ATL
1965-12-27 | w: SAC | L: NYK
1965-12-28 | w: LAL | L: ATL
1965-12-28 | w: GSW | L: DET
1965-12-28 | w: PHI | L: BOS
1965-12-29 | w: BOS | L: NYK
1965-12-29 | w: PHI | L: DET
1965-12-29 | w: WAS | L: GSW
1965-12-29 | w: SAC | L: LAL
1965-12-30 | w: ATL | L: PHI
1965-12-30 | w: BOS | L: GSW
1965-12-30 | w: DET | L: LAL
1966-01-01 | w: ATL | L: BOS
1966-01-01 | w: NYK | L: SAC
1966-01-01 | w: WAS | L: DET
1966-01-02 | w: BOS | L: LAL
1966-01-02 | w: GSW | L: DET
1966-01-02 | w: PHI | L: NYK
1966-01-02 | w: SAC | L: WAS
1966-01-03 | w: SAC | L: ATL
1966-01-04 | w: GSW | L: WAS
1966-01-04 | w: PHI | L: NYK
1966-01-05 | w: GSW | L: NYK
1966-01-05 | w: LAL | L: BOS
1966-01-05 | w: WAS | L: ATL
1966-01-05 | w: SAC | L: DET
1966-01-06 | w: PHI | L: WAS
1966-01-06 | w: SAC | L: DET
1966-01-07 | w: BOS | L: GSW
1966-01-07 | w: DET | L: ATL
1966-01-07 | w: LAL | L: PHI
1966-01-08 | w: ATL | L: PHI
1966-01-08 | w: BOS | L: GSW
1966-01-08 | w: NYK | L: LAL
1966-01-08 | w: SAC | L: WAS
1966-01-09 | w: PHI | L: ATL
1966-01-09 | w: LAL | L: DET
1966-01-09 | w: WAS | L: NYK
