============ Start of Season ============
1974-10-17 | w: NYK | L: UTA
1974-10-17 | w: PHX | L: OKC
1974-10-18 | w: LAL | L: GSW
1974-10-18 | w: LAC | L: BOS
1974-10-18 | w: DET | L: OKC
1974-10-18 | w: HOU | L: MIL
1974-10-18 | w: PHI | L: UTA
1974-10-18 | w: CHI | L: ATL
1974-10-18 | w: POR | L: CLE
1974-10-19 | w: ATL | L: HOU
1974-10-19 | w: GSW | L: CLE
1974-10-19 | w: PHI | L: NYK
1974-10-19 | w: WAS | L: UTA
1974-10-19 | w: CHI | L: MIL
1974-10-19 | w: SAC | L: PHX
1974-10-19 | w: DET | L: POR
1974-10-19 | w: BOS | L: LAC
1974-10-20 | w: SAC | L: LAL
1974-10-20 | w: OKC | L: CLE
1974-10-22 | w: ATL | L: PHI
1974-10-22 | w: POR | L: GSW
1974-10-22 | w: NYK | L: HOU
1974-10-22 | w: MIL | L: CHI
1974-10-22 | w: WAS | L: SAC
1974-10-22 | w: LAC | L: UTA
1974-10-23 | w: CLE | L: BOS
1974-10-23 | w: WAS | L: HOU
1974-10-23 | w: OKC | L: POR
1974-10-23 | w: PHX | L: DET
1974-10-23 | w: SAC | L: CHI
1974-10-24 | w: CLE | L: ATL
1974-10-24 | w: PHI | L: UTA
1974-10-24 | w: LAC | L: NYK
1974-10-25 | w: DET | L: LAL
1974-10-25 | w: BOS | L: ATL
1974-10-25 | w: OKC | L: PHX
1974-10-25 | w: SAC | L: CHI
1974-10-25 | w: HOU | L: PHI
1974-10-25 | w: WAS | L: MIL
1974-10-25 | w: GSW | L: POR
1974-10-26 | w: GSW | L: DET
1974-10-26 | w: NYK | L: BOS
1974-10-26 | w: WAS | L: MIL
1974-10-26 | w: CLE | L: UTA
1974-10-26 | w: LAC | L: CHI
1974-10-27 | w: LAL | L: PHX
1974-10-27 | w: POR | L: OKC
1974-10-29 | w: GSW | L: LAC
1974-10-29 | w: WAS | L: CHI
1974-10-29 | w: LAL | L: POR
1974-10-29 | w: BOS | L: CLE
1974-10-30 | w: CHI | L: BOS
1974-10-30 | w: ATL | L: DET
1974-10-30 | w: WAS | L: NYK
1974-10-30 | w: OKC | L: LAL
1974-10-30 | w: PHX | L: PHI
1974-10-30 | w: SAC | L: MIL
1974-10-30 | w: HOU | L: UTA
1974-10-31 | w: NYK | L: ATL
1974-10-31 | w: HOU | L: WAS
1974-10-31 | w: CLE | L: DET
1974-11-01 | w: LAL | L: MIL
1974-11-01 | w: BOS | L: PHI
1974-11-01 | w: DET | L: UTA
1974-11-01 | w: GSW | L: OKC
1974-11-01 | w: POR | L: LAC
1974-11-02 | w: BOS | L: ATL
1974-11-02 | w: GSW | L: MIL
1974-11-02 | w: CHI | L: NYK
1974-11-02 | w: WAS | L: PHX
1974-11-02 | w: HOU | L: SAC
1974-11-02 | w: DET | L: PHI
1974-11-03 | w: LAC | L: LAL
1974-11-03 | w: OKC | L: MIL
1974-11-03 | w: GSW | L: POR
1974-11-03 | w: CLE | L: PHX
1974-11-03 | w: CHI | L: SAC
1974-11-05 | w: NYK | L: HOU
1974-11-05 | w: SAC | L: UTA
1974-11-06 | w: BOS | L: POR
1974-11-06 | w: DET | L: SAC
1974-11-06 | w: CLE | L: WAS
1974-11-06 | w: PHI | L: CHI
1974-11-06 | w: LAC | L: UTA
1974-11-07 | w: ATL | L: PHX
1974-11-07 | w: OKC | L: GSW
1974-11-07 | w: HOU | L: MIL
1974-11-08 | w: NYK | L: LAL
1974-11-08 | w: DET | L: BOS
1974-11-08 | w: PHI | L: POR
1974-11-08 | w: PHX | L: UTA
1974-11-09 | w: POR | L: ATL
1974-11-09 | w: GSW | L: NYK
1974-11-09 | w: WAS | L: CHI
1974-11-09 | w: PHX | L: HOU
1974-11-09 | w: LAC | L: DET
1974-11-10 | w: GSW | L: LAL
1974-11-10 | w: LAC | L: DET
1974-11-10 | w: OKC | L: PHI
1974-11-10 | w: ATL | L: MIL
1974-11-10 | w: BOS | L: SAC
1974-11-10 | w: UTA | L: POR
1974-11-12 | w: GSW | L: ATL
1974-11-12 | w: BOS | L: MIL
1974-11-12 | w: POR | L: NYK
1974-11-12 | w: HOU | L: SAC
1974-11-12 | w: CHI | L: UTA
1974-11-12 | w: LAC | L: CLE
1974-11-13 | w: DET | L: MIL
1974-11-13 | w: WAS | L: SAC
1974-11-13 | w: OKC | L: LAL
1974-11-13 | w: PHX | L: PHI
1974-11-14 | w: LAC | L: BOS
1974-11-14 | w: NYK | L: CLE
1974-11-14 | w: HOU | L: CHI
1974-11-14 | w: POR | L: ATL
1974-11-15 | w: LAL | L: PHI
1974-11-15 | w: SAC | L: BOS
1974-11-15 | w: DET | L: OKC
1974-11-15 | w: CHI | L: PHX
1974-11-15 | w: WAS | L: UTA
1974-11-16 | w: ATL | L: UTA
1974-11-16 | w: PHI | L: GSW
1974-11-16 | w: NYK | L: OKC
1974-11-16 | w: BOS | L: WAS
1974-11-16 | w: HOU | L: DET
1974-11-16 | w: CLE | L: MIL
1974-11-16 | w: POR | L: LAL
1974-11-16 | w: LAC | L: SAC
1974-11-17 | w: CHI | L: LAL
1974-11-17 | w: GSW | L: PHX
1974-11-17 | w: DET | L: UTA
1974-11-19 | w: ATL | L: OKC
1974-11-19 | w: NYK | L: WAS
1974-11-19 | w: MIL | L: PHX
1974-11-19 | w: HOU | L: CLE
1974-11-19 | w: SAC | L: DET
