============ Start of Season ============
1975-10-23 | w: ATL | L: UTA
1975-10-23 | w: LAL | L: NYK
1975-10-23 | w: WAS | L: SAC
1975-10-23 | w: GSW | L: CLE
1975-10-24 | w: BOS | L: HOU
1975-10-24 | w: OKC | L: POR
1975-10-24 | w: PHI | L: CHI
1975-10-24 | w: UTA | L: DET
1975-10-25 | w: DET | L: ATL
1975-10-25 | w: NYK | L: CLE
1975-10-25 | w: CHI | L: MIL
1975-10-25 | w: PHX | L: POR
1975-10-25 | w: LAC | L: GSW
1975-10-26 | w: OKC | L: PHX
1975-10-26 | w: UTA | L: NYK
1975-10-27 | w: PHI | L: LAL
1975-10-28 | w: GSW | L: NYK
1975-10-28 | w: CHI | L: OKC
1975-10-28 | w: LAL | L: MIL
1975-10-28 | w: UTA | L: POR
1975-10-28 | w: LAC | L: HOU
1975-10-29 | w: BOS | L: GSW
1975-10-29 | w: DET | L: LAL
1975-10-29 | w: OKC | L: SAC
1975-10-30 | w: NYK | L: SAC
1975-10-30 | w: CLE | L: CHI
1975-10-31 | w: LAL | L: OKC
1975-10-31 | w: BOS | L: POR
1975-10-31 | w: DET | L: HOU
1975-10-31 | w: LAC | L: PHI
1975-10-31 | w: UTA | L: MIL
1975-11-01 | w: GSW | L: WAS
1975-11-01 | w: NYK | L: PHI
1975-11-01 | w: CHI | L: BOS
1975-11-01 | w: POR | L: MIL
1975-11-01 | w: UTA | L: CLE
1975-11-01 | w: SAC | L: PHX
1975-11-01 | w: LAC | L: DET
1975-11-02 | w: WAS | L: OKC
1975-11-02 | w: HOU | L: MIL
1975-11-02 | w: LAL | L: ATL
1975-11-04 | w: WAS | L: CLE
1975-11-04 | w: HOU | L: NYK
1975-11-04 | w: PHX | L: CHI
1975-11-04 | w: MIL | L: DET
1975-11-04 | w: ATL | L: POR
1975-11-04 | w: SAC | L: LAL
1975-11-04 | w: PHI | L: LAC
1975-11-05 | w: BOS | L: LAC
1975-11-05 | w: DET | L: OKC
1975-11-05 | w: PHI | L: CHI
1975-11-05 | w: UTA | L: LAL
1975-11-06 | w: CLE | L: ATL
1975-11-06 | w: GSW | L: NYK
1975-11-06 | w: WAS | L: OKC
1975-11-07 | w: LAL | L: NYK
1975-11-07 | w: DET | L: CHI
1975-11-07 | w: MIL | L: BOS
1975-11-07 | w: POR | L: SAC
1975-11-07 | w: PHI | L: PHX
1975-11-07 | w: CLE | L: UTA
1975-11-08 | w: ATL | L: OKC
1975-11-08 | w: GSW | L: LAL
1975-11-08 | w: BOS | L: DET
1975-11-08 | w: HOU | L: CLE
1975-11-08 | w: MIL | L: WAS
1975-11-08 | w: LAC | L: PHX
1975-11-09 | w: LAL | L: SAC
1975-11-09 | w: POR | L: NYK
1975-11-09 | w: OKC | L: UTA
1975-11-11 | w: ATL | L: BOS
1975-11-11 | w: GSW | L: CLE
1975-11-11 | w: PHX | L: NYK
1975-11-11 | w: MIL | L: PHI
1975-11-11 | w: POR | L: UTA
1975-11-11 | w: WAS | L: LAC
1975-11-12 | w: LAL | L: UTA
1975-11-12 | w: ATL | L: DET
1975-11-12 | w: SAC | L: OKC
1975-11-12 | w: LAC | L: HOU
1975-11-12 | w: MIL | L: PHI
1975-11-13 | w: GSW | L: CHI
1975-11-13 | w: NYK | L: HOU
1975-11-13 | w: WAS | L: BOS
1975-11-13 | w: PHX | L: OKC
1975-11-14 | w: LAL | L: PHX
1975-11-14 | w: ATL | L: WAS
1975-11-14 | w: PHI | L: BOS
1975-11-14 | w: LAC | L: MIL
1975-11-14 | w: POR | L: CHI
1975-11-14 | w: OKC | L: CLE
1975-11-15 | w: GSW | L: SAC
1975-11-15 | w: NYK | L: ATL
1975-11-15 | w: DET | L: MIL
1975-11-15 | w: HOU | L: UTA
1975-11-15 | w: CLE | L: POR
1975-11-15 | w: BOS | L: LAC
1975-11-15 | w: PHI | L: WAS
1975-11-16 | w: LAL | L: CHI
1975-11-16 | w: ATL | L: NYK
1975-11-16 | w: OKC | L: GSW
1975-11-18 | w: NYK | L: POR
1975-11-18 | w: HOU | L: CLE
1975-11-18 | w: GSW | L: UTA
1975-11-18 | w: LAC | L: LAL
1975-11-19 | w: DET | L: POR
1975-11-19 | w: OKC | L: CHI
1975-11-19 | w: LAL | L: HOU
1975-11-19 | w: MIL | L: PHX
1975-11-19 | w: PHI | L: SAC
1975-11-19 | w: ATL | L: GSW
1975-11-20 | w: WAS | L: ATL
1975-11-20 | w: LAC | L: CLE
1975-11-21 | w: LAL | L: MIL
1975-11-21 | w: BOS | L: NYK
1975-11-21 | w: DET | L: LAC
1975-11-21 | w: PHX | L: HOU
1975-11-21 | w: PHI | L: POR
1975-11-21 | w: SAC | L: CHI
1975-11-22 | w: UTA | L: ATL
1975-11-22 | w: CLE | L: NYK
1975-11-22 | w: GSW | L: WAS
1975-11-22 | w: POR | L: LAC
1975-11-23 | w: LAL | L: HOU
1975-11-23 | w: ATL | L: PHI
1975-11-23 | w: OKC | L: MIL
1975-11-23 | w: BOS | L: CLE
1975-11-25 | w: HOU | L: WAS
1975-11-25 | w: CLE | L: CHI
1975-11-25 | w: PHI | L: GSW
1975-11-25 | w: OKC | L: NYK
1975-11-26 | w: POR | L: LAL
1975-11-26 | w: OKC | L: BOS
1975-11-26 | w: DET | L: SAC
1975-11-26 | w: HOU | L: WAS
1975-11-26 | w: PHX | L: LAC
1975-11-26 | w: ATL | L: UTA
1975-11-27 | w: NYK | L: WAS
1975-11-27 | w: GSW | L: MIL
1975-11-27 | w: SAC | L: CLE
1975-11-28 | w: LAL | L: LAC
1975-11-28 | w: BOS | L: ATL
1975-11-28 | w: CHI | L: MIL
1975-11-28 | w: PHX | L: POR
1975-11-28 | w: PHI | L: OKC
1975-11-28 | w: SAC | L: UTA
1975-11-29 | w: GSW | L: PHX
1975-11-29 | w: DET | L: NYK
1975-11-29 | w: HOU | L: PHI
1975-11-29 | w: MIL | L: CHI
1975-11-29 | w: POR | L: LAC
1975-11-29 | w: CLE | L: OKC
1975-11-30 | w: LAL | L: POR
1975-11-30 | w: SAC | L: NYK
1975-11-30 | w: PHI | L: UTA
1975-12-02 | w: BOS | L: NYK
1975-12-02 | w: WAS | L: LAL
1975-12-02 | w: HOU | L: CHI
1975-12-02 | w: PHX | L: GSW
1975-12-02 | w: CLE | L: POR
1975-12-02 | w: OKC | L: SAC
1975-12-02 | w: UTA | L: LAC
1975-12-03 | w: CHI | L: BOS
1975-12-03 | w: LAL | L: DET
1975-12-03 | w: HOU | L: OKC
1975-12-03 | w: MIL | L: POR
1975-12-03 | w: PHI | L: UTA
1975-12-04 | w: ATL | L: POR
1975-12-04 | w: SAC | L: CLE
1975-12-05 | w: BOS | L: UTA
1975-12-05 | w: DET | L: HOU
1975-12-05 | w: WAS | L: PHX
1975-12-05 | w: MIL | L: SAC
1975-12-05 | w: PHI | L: NYK
1975-12-05 | w: LAC | L: CLE
1975-12-06 | w: BOS | L: ATL
1975-12-06 | w: GSW | L: OKC
1975-12-06 | w: NYK | L: LAC
1975-12-06 | w: HOU | L: DET
1975-12-06 | w: POR | L: CHI
1975-12-06 | w: PHI | L: SAC
1975-12-07 | w: LAL | L: WAS
1975-12-07 | w: GSW | L: OKC
1975-12-07 | w: PHX | L: CHI
1975-12-09 | w: GSW | L: DET
1975-12-09 | w: MIL | L: NYK
1975-12-09 | w: WAS | L: POR
1975-12-09 | w: PHI | L: CLE
1975-12-09 | w: PHX | L: UTA
1975-12-09 | w: LAC | L: SAC
1975-12-10 | w: BOS | L: MIL
1975-12-10 | w: OKC | L: CHI
