============ Start of Season ============
1979-10-12 | w: ATL | L: NYK
1979-10-12 | w: BOS | L: HOU
1979-10-12 | w: DET | L: IND
1979-10-12 | w: PHI | L: WAS
1979-10-12 | w: PHX | L: GSW
1979-10-12 | w: POR | L: UTA
1979-10-12 | w: SAC | L: MIL
1979-10-12 | w: LAL | L: LAC
1979-10-12 | w: BKN | L: CLE
1979-10-13 | w: BOS | L: CLE
1979-10-13 | w: PHI | L: HOU
1979-10-13 | w: MIL | L: DEN
1979-10-13 | w: DET | L: SAS
1979-10-13 | w: IND | L: ATL
1979-10-13 | w: NYK | L: WAS
1979-10-13 | w: CHI | L: GSW
1979-10-14 | w: PHX | L: CHI
1979-10-14 | w: POR | L: DEN
1979-10-14 | w: LAC | L: OKC
1979-10-15 | w: MIL | L: UTA
1979-10-16 | w: LAL | L: CHI
1979-10-16 | w: SAS | L: ATL
1979-10-16 | w: NYK | L: HOU
1979-10-16 | w: PHX | L: OKC
1979-10-16 | w: POR | L: LAC
1979-10-16 | w: CLE | L: DET
1979-10-16 | w: IND | L: BKN
1979-10-16 | w: GSW | L: DEN
1979-10-17 | w: BOS | L: CLE
1979-10-17 | w: WAS | L: ATL
1979-10-17 | w: OKC | L: LAL
1979-10-17 | w: HOU | L: IND
1979-10-17 | w: MIL | L: DEN
1979-10-17 | w: GSW | L: SAC
1979-10-17 | w: PHI | L: BKN
1979-10-18 | w: ATL | L: IND
1979-10-18 | w: DET | L: NYK
1979-10-18 | w: CLE | L: SAS
1979-10-18 | w: POR | L: UTA
1979-10-18 | w: LAC | L: CHI
1979-10-19 | w: POR | L: LAL
1979-10-19 | w: BOS | L: WAS
1979-10-19 | w: OKC | L: LAC
1979-10-19 | w: MIL | L: PHX
1979-10-19 | w: PHI | L: DET
1979-10-19 | w: SAC | L: DEN
1979-10-19 | w: NYK | L: BKN
1979-10-20 | w: GSW | L: UTA
1979-10-20 | w: PHI | L: NYK
1979-10-20 | w: WAS | L: DET
1979-10-20 | w: HOU | L: ATL
1979-10-20 | w: CHI | L: PHX
1979-10-20 | w: SAS | L: CLE
1979-10-20 | w: IND | L: BOS
1979-10-21 | w: LAL | L: OKC
1979-10-21 | w: MIL | L: CHI
1979-10-21 | w: POR | L: GSW
1979-10-21 | w: SAC | L: PHX
1979-10-22 | w: UTA | L: LAC
1979-10-23 | w: LAL | L: UTA
1979-10-23 | w: NYK | L: IND
1979-10-23 | w: CHI | L: BKN
1979-10-23 | w: MIL | L: PHX
1979-10-23 | w: POR | L: SAC
1979-10-23 | w: ATL | L: CLE
1979-10-23 | w: SAS | L: BOS
1979-10-23 | w: LAC | L: DEN
1979-10-24 | w: ATL | L: CLE
1979-10-24 | w: DET | L: WAS
1979-10-24 | w: OKC | L: SAC
1979-10-24 | w: BOS | L: HOU
1979-10-24 | w: PHI | L: IND
1979-10-24 | w: POR | L: DEN
1979-10-24 | w: PHX | L: GSW
1979-10-25 | w: UTA | L: CHI
1979-10-25 | w: MIL | L: LAC
1979-10-26 | w: LAL | L: SAC
1979-10-26 | w: SAS | L: DET
1979-10-26 | w: PHX | L: OKC
1979-10-26 | w: POR | L: CHI
1979-10-26 | w: PHI | L: NYK
1979-10-26 | w: IND | L: WAS
1979-10-26 | w: ATL | L: BKN
1979-10-27 | w: BOS | L: ATL
1979-10-27 | w: GSW | L: SAC
1979-10-27 | w: NYK | L: BKN
1979-10-27 | w: MIL | L: DET
1979-10-27 | w: PHI | L: CLE
1979-10-27 | w: SAS | L: IND
1979-10-27 | w: DEN | L: UTA
1979-10-27 | w: LAC | L: OKC
1979-10-28 | w: LAL | L: GSW
1979-10-28 | w: OKC | L: CHI
1979-10-28 | w: PHX | L: POR
1979-10-28 | w: BKN | L: HOU
1979-10-28 | w: SAC | L: LAC
1979-10-30 | w: LAL | L: CHI
1979-10-30 | w: PHX | L: SAS
1979-10-30 | w: CLE | L: HOU
1979-10-30 | w: DEN | L: NYK
1979-10-31 | w: ATL | L: PHI
1979-10-31 | w: GSW | L: POR
1979-10-31 | w: WAS | L: CLE
1979-10-31 | w: OKC | L: DEN
1979-10-31 | w: MIL | L: LAL
1979-10-31 | w: SAC | L: UTA
1979-10-31 | w: SAS | L: LAC
1979-10-31 | w: BOS | L: BKN
1979-10-31 | w: IND | L: HOU
1979-11-01 | w: CLE | L: DET
1979-11-01 | w: NYK | L: UTA
1979-11-02 | w: LAL | L: PHX
1979-11-02 | w: OKC | L: SAS
1979-11-02 | w: ATL | L: PHI
1979-11-02 | w: NYK | L: SAC
1979-11-02 | w: DEN | L: CHI
1979-11-02 | w: POR | L: LAC
1979-11-02 | w: BKN | L: IND
1979-11-03 | w: ATL | L: BKN
1979-11-03 | w: GSW | L: DEN
1979-11-03 | w: HOU | L: DET
1979-11-03 | w: BOS | L: WAS
