============ Start of Season ============
1989-11-03 | w: IND | L: ATL
1989-11-03 | w: BOS | L: MIL
1989-11-03 | w: DET | L: NYK
1989-11-03 | w: OKC | L: MIN
1989-11-03 | w: PHX | L: GSW
1989-11-03 | w: POR | L: SAC
1989-11-03 | w: UTA | L: DEN
1989-11-03 | w: LAC | L: HOU
1989-11-03 | w: LAL | L: DAL
1989-11-03 | w: CHI | L: CLE
1989-11-03 | w: WAS | L: CHA
1989-11-03 | w: BKN | L: MIA
1989-11-04 | w: HOU | L: GSW
1989-11-04 | w: NYK | L: MIA
1989-11-04 | w: DET | L: WAS
1989-11-04 | w: BOS | L: CHI
1989-11-04 | w: SAC | L: OKC
1989-11-04 | w: SAS | L: LAL
1989-11-04 | w: IND | L: CLE
1989-11-04 | w: DEN | L: PHX
1989-11-04 | w: BKN | L: ORL
1989-11-04 | w: MIL | L: PHI
1989-11-05 | w: POR | L: MIN
1989-11-06 | w: ORL | L: NYK
1989-11-07 | w: LAL | L: PHX
1989-11-07 | w: WAS | L: ATL
1989-11-07 | w: GSW | L: LAC
1989-11-07 | w: OKC | L: CHA
1989-11-07 | w: HOU | L: POR
1989-11-07 | w: CHI | L: DET
1989-11-07 | w: MIL | L: BOS
1989-11-07 | w: SAC | L: DAL
1989-11-07 | w: MIA | L: BKN
1989-11-08 | w: WAS | L: BOS
1989-11-08 | w: UTA | L: CHA
1989-11-08 | w: POR | L: SAS
1989-11-08 | w: DEN | L: SAC
1989-11-08 | w: IND | L: DET
1989-11-08 | w: DAL | L: LAC
1989-11-08 | w: CHI | L: MIN
1989-11-08 | w: ORL | L: CLE
1989-11-08 | w: PHI | L: MIA
1989-11-09 | w: LAL | L: GSW
1989-11-09 | w: NYK | L: BKN
1989-11-09 | w: DEN | L: HOU
1989-11-09 | w: MIL | L: OKC
1989-11-10 | w: LAL | L: CHA
1989-11-10 | w: BOS | L: ATL
1989-11-10 | w: WAS | L: CLE
1989-11-10 | w: PHX | L: SAC
1989-11-10 | w: UTA | L: SAS
1989-11-10 | w: IND | L: MIA
1989-11-10 | w: BKN | L: CHI
1989-11-10 | w: POR | L: DAL
1989-11-10 | w: DET | L: ORL
1989-11-10 | w: MIN | L: PHI
1989-11-11 | w: ATL | L: ORL
1989-11-11 | w: GSW | L: CHA
1989-11-11 | w: HOU | L: UTA
1989-11-11 | w: CHI | L: OKC
1989-11-11 | w: CLE | L: BOS
1989-11-11 | w: SAS | L: DEN
