============ Start of Season ============
1995-11-03 | w: LAL | L: DEN
1995-11-03 | w: LAC | L: PHX
1995-11-03 | w: SAC | L: MIN
1995-11-03 | w: CHI | L: CHA
1995-11-03 | w: DAL | L: SAS
1995-11-03 | w: UTA | L: OKC
1995-11-03 | w: MIL | L: BOS
1995-11-03 | w: NYK | L: DET
1995-11-03 | w: PHI | L: WAS
1995-11-03 | w: IND | L: ATL
1995-11-03 | w: MEM | L: POR
1995-11-03 | w: HOU | L: GSW
1995-11-03 | w: TOR | L: BKN
1995-11-03 | w: ORL | L: CLE
1995-11-04 | w: CHI | L: BOS
1995-11-04 | w: NYK | L: MIL
1995-11-04 | w: SAS | L: DEN
1995-11-04 | w: IND | L: TOR
1995-11-04 | w: WAS | L: DET
1995-11-04 | w: OKC | L: LAL
1995-11-04 | w: ATL | L: ORL
1995-11-04 | w: MIA | L: CLE
1995-11-04 | w: DAL | L: GSW
1995-11-04 | w: CHA | L: PHI
1995-11-05 | w: SAC | L: LAC
1995-11-05 | w: HOU | L: PHX
1995-11-05 | w: POR | L: UTA
1995-11-05 | w: MEM | L: MIN
1995-11-06 | w: UTA | L: ATL
1995-11-06 | w: ORL | L: WAS
1995-11-07 | w: BKN | L: POR
1995-11-07 | w: CHI | L: TOR
1995-11-07 | w: GSW | L: DEN
1995-11-07 | w: PHX | L: NYK
1995-11-07 | w: SAC | L: PHI
1995-11-07 | w: HOU | L: MIL
1995-11-07 | w: IND | L: CLE
1995-11-07 | w: MIN | L: LAL
1995-11-07 | w: DAL | L: MEM
1995-11-07 | w: OKC | L: LAC
1995-11-07 | w: CHA | L: DET
1995-11-08 | w: ATL | L: LAC
1995-11-08 | w: SAS | L: MEM
1995-11-08 | w: OKC | L: DEN
1995-11-08 | w: UTA | L: LAL
1995-11-08 | w: DET | L: POR
1995-11-08 | w: BOS | L: PHX
1995-11-08 | w: WAS | L: CHA
1995-11-08 | w: MIA | L: HOU
1995-11-08 | w: ORL | L: BKN
1995-11-08 | w: SAC | L: TOR
1995-11-09 | w: NYK | L: IND
1995-11-09 | w: ATL | L: GSW
1995-11-09 | w: CHI | L: CLE
1995-11-09 | w: DAL | L: MIL
1995-11-10 | w: LAL | L: OKC
1995-11-10 | w: SAS | L: MIL
1995-11-10 | w: DET | L: CLE
1995-11-10 | w: PHI | L: CHA
1995-11-10 | w: UTA | L: DEN
1995-11-10 | w: ORL | L: BOS
1995-11-10 | w: NYK | L: WAS
1995-11-10 | w: SAC | L: IND
1995-11-10 | w: POR | L: MIN
1995-11-10 | w: LAC | L: MEM
1995-11-10 | w: MIA | L: BKN
1995-11-10 | w: PHX | L: TOR
1995-11-11 | w: GSW | L: LAL
1995-11-11 | w: CHI | L: POR
1995-11-11 | w: BKN | L: SAC
1995-11-11 | w: HOU | L: MIN
1995-11-11 | w: ATL | L: DAL
1995-11-11 | w: OKC | L: MEM
1995-11-11 | w: ORL | L: MIA
1995-11-11 | w: CHA | L: TOR
1995-11-12 | w: LAC | L: DEN
1995-11-12 | w: NYK | L: UTA
1995-11-12 | w: PHX | L: GSW
1995-11-12 | w: SAS | L: CLE
1995-11-13 | w: DAL | L: MEM
1995-11-13 | w: UTA | L: TOR
1995-11-14 | w: LAC | L: GSW
1995-11-14 | w: LAL | L: SAC
1995-11-14 | w: OKC | L: PHI
1995-11-14 | w: MIL | L: SAS
1995-11-14 | w: ATL | L: CHA
1995-11-14 | w: POR | L: NYK
1995-11-14 | w: ORL | L: CHI
