============ Start of Season ============
1999-02-05 | w: IND | L: WAS
1999-02-05 | w: SAS | L: SAC
1999-02-05 | w: MIN | L: DEN
1999-02-05 | w: UTA | L: CHI
1999-02-05 | w: LAL | L: HOU
1999-02-05 | w: DET | L: MIA
1999-02-05 | w: OKC | L: DAL
1999-02-05 | w: ORL | L: NYK
1999-02-05 | w: ATL | L: CLE
1999-02-05 | w: PHI | L: CHA
1999-02-05 | w: TOR | L: BOS
1999-02-05 | w: PHX | L: LAC
1999-02-06 | w: SAS | L: MIN
1999-02-06 | w: PHI | L: ORL
1999-02-06 | w: ATL | L: BKN
1999-02-06 | w: MIL | L: CHA
1999-02-06 | w: BOS | L: CLE
1999-02-06 | w: HOU | L: GSW
1999-02-06 | w: WAS | L: TOR
1999-02-07 | w: BKN | L: ATL
1999-02-07 | w: MIA | L: NYK
1999-02-07 | w: UTA | L: LAL
1999-02-07 | w: SAC | L: MEM
1999-02-07 | w: OKC | L: POR
1999-02-07 | w: PHX | L: DEN
1999-02-07 | w: DET | L: IND
1999-02-07 | w: CHI | L: LAC
1999-02-07 | w: DAL | L: GSW
1999-02-08 | w: HOU | L: DEN
1999-02-08 | w: LAL | L: SAS
1999-02-08 | w: ORL | L: BOS
1999-02-08 | w: DET | L: WAS
1999-02-08 | w: IND | L: CLE
1999-02-08 | w: CHA | L: MIA
1999-02-08 | w: POR | L: MEM
1999-02-09 | w: UTA | L: DAL
1999-02-09 | w: ATL | L: CHI
1999-02-09 | w: BOS | L: MIA
1999-02-09 | w: PHI | L: DET
1999-02-09 | w: OKC | L: GSW
1999-02-09 | w: SAC | L: PHX
1999-02-09 | w: MIN | L: SAS
1999-02-09 | w: MIL | L: TOR
1999-02-10 | w: ORL | L: BKN
1999-02-10 | w: HOU | L: SAC
1999-02-10 | w: LAL | L: DEN
1999-02-10 | w: NYK | L: WAS
1999-02-10 | w: POR | L: IND
1999-02-10 | w: CLE | L: CHA
1999-02-10 | w: MEM | L: LAC
1999-02-10 | w: OKC | L: GSW
1999-02-11 | w: HOU | L: DAL
1999-02-11 | w: MIA | L: TOR
1999-02-11 | w: NYK | L: CHI
1999-02-11 | w: MIL | L: BKN
1999-02-11 | w: MIN | L: LAL
1999-02-11 | w: UTA | L: PHX
1999-02-11 | w: ORL | L: DET
1999-02-11 | w: ATL | L: CHA
1999-02-11 | w: CLE | L: SAS
1999-02-11 | w: IND | L: MEM
1999-02-12 | w: DEN | L: DAL
1999-02-12 | w: SAS | L: PHI
1999-02-12 | w: UTA | L: GSW
1999-02-13 | w: OKC | L: DEN
1999-02-13 | w: PHX | L: LAC
1999-02-14 | w: IND | L: LAL
1999-02-14 | w: PHI | L: ATL
1999-02-14 | w: SAS | L: CHI
1999-02-14 | w: ORL | L: MIL
1999-02-14 | w: MEM | L: DAL
1999-02-14 | w: MIN | L: LAC
1999-02-14 | w: GSW | L: POR
1999-02-15 | w: PHX | L: DEN
1999-02-15 | w: UTA | L: SAC
1999-02-15 | w: NYK | L: DET
1999-02-15 | w: MIA | L: BKN
1999-02-15 | w: POR | L: DAL
1999-02-15 | w: GSW | L: MIN
1999-02-16 | w: MIA | L: IND
1999-02-16 | w: BKN | L: DET
1999-02-16 | w: HOU | L: PHX
1999-02-16 | w: LAL | L: CHA
1999-02-16 | w: NYK | L: TOR
1999-02-16 | w: MIL | L: PHI
1999-02-16 | w: ATL | L: CHI
1999-02-16 | w: OKC | L: UTA
1999-02-16 | w: SAC | L: BOS
1999-02-16 | w: CLE | L: ORL
1999-02-16 | w: MEM | L: LAC
1999-02-17 | w: PHX | L: SAS
1999-02-17 | w: LAL | L: DAL
1999-02-17 | w: POR | L: DEN
1999-02-17 | w: MIL | L: CHI
1999-02-17 | w: SAC | L: OKC
1999-02-17 | w: MIN | L: HOU
1999-02-17 | w: ORL | L: WAS
1999-02-17 | w: MIA | L: DET
1999-02-17 | w: BOS | L: MEM
1999-02-17 | w: GSW | L: CHA
1999-02-18 | w: IND | L: PHI
1999-02-18 | w: HOU | L: BKN
1999-02-18 | w: UTA | L: DEN
1999-02-18 | w: WAS | L: TOR
1999-02-18 | w: CLE | L: NYK
1999-02-19 | w: LAL | L: SAS
1999-02-19 | w: NYK | L: PHI
1999-02-19 | w: POR | L: BOS
1999-02-19 | w: SAC | L: CHA
1999-02-19 | w: MIN | L: MEM
1999-02-19 | w: DET | L: PHX
1999-02-19 | w: ORL | L: ATL
1999-02-19 | w: TOR | L: MIL
1999-02-19 | w: GSW | L: DAL
1999-02-19 | w: WAS | L: CHI
1999-02-20 | w: UTA | L: OKC
1999-02-20 | w: MIA | L: HOU
1999-02-20 | w: POR | L: GSW
1999-02-20 | w: ATL | L: PHI
1999-02-20 | w: IND | L: MIL
1999-02-20 | w: CLE | L: BKN
