============ Start of Season ============
1952-10-31 | w: BOS | L: INO
1952-11-01 | w: NYK | L: BAL
1952-11-01 | w: MNL | L: BOS
1952-11-01 | w: ROC | L: FTW
1952-11-01 | w: MIH | L: INO
1952-11-01 | w: PHW | L: SYR
1952-11-02 | w: MNL | L: FTW
1952-11-02 | w: SYR | L: PHW
1952-11-05 | w: MNL | L: BAL
1952-11-06 | w: ROC | L: FTW
1952-11-07 | w: ROC | L: INO
1952-11-08 | w: BOS | L: SYR
1952-11-08 | w: MNL | L: PHW
1952-11-08 | w: NYK | L: BAL
1952-11-08 | w: ROC | L: INO
1952-11-09 | w: FTW | L: INO
1952-11-09 | w: SYR | L: MNL
1952-11-09 | w: MIH | L: ROC
1952-11-11 | w: MNL | L: BOS
1952-11-11 | w: ROC | L: NYK
1952-11-11 | w: INO | L: FTW
1952-11-12 | w: BAL | L: MIH
1952-11-13 | w: NYK | L: MNL
1952-11-13 | w: SYR | L: BOS
1952-11-13 | w: ROC | L: MIH
1952-11-14 | w: INO | L: PHW
1952-11-15 | w: NYK | L: BOS
1952-11-15 | w: MIH | L: FTW
1952-11-15 | w: ROC | L: MNL
1952-11-15 | w: INO | L: PHW
1952-11-15 | w: BAL | L: SYR
1952-11-16 | w: BOS | L: ROC
1952-11-16 | w: MNL | L: MIH
1952-11-16 | w: PHW | L: BAL
1952-11-16 | w: FTW | L: NYK
1952-11-16 | w: SYR | L: INO
1952-11-18 | w: PHW | L: MIH
1952-11-18 | w: INO | L: NYK
1952-11-19 | w: BOS | L: MIH
1952-11-19 | w: BAL | L: PHW
1952-11-20 | w: NYK | L: INO
1952-11-20 | w: PHW | L: BAL
1952-11-20 | w: SYR | L: MIH
1952-11-20 | w: MNL | L: FTW
1952-11-22 | w: NYK | L: SYR
1952-11-22 | w: MNL | L: FTW
1952-11-22 | w: ROC | L: MIH
1952-11-22 | w: BAL | L: PHW
1952-11-22 | w: BOS | L: INO
1952-11-23 | w: SYR | L: NYK
1952-11-23 | w: FTW | L: PHW
1952-11-23 | w: INO | L: BAL
1952-11-23 | w: MNL | L: MIH
1952-11-23 | w: BOS | L: ROC
1952-11-25 | w: ROC | L: BAL
1952-11-25 | w: MIH | L: INO
1952-11-26 | w: BOS | L: PHW
1952-11-26 | w: FTW | L: MIH
1952-11-26 | w: NYK | L: BAL
1952-11-27 | w: NYK | L: BAL
1952-11-27 | w: MNL | L: INO
1952-11-27 | w: BOS | L: PHW
1952-11-27 | w: SYR | L: ROC
1952-11-27 | w: FTW | L: MIH
1952-11-28 | w: MNL | L: INO
1952-11-28 | w: MIH | L: PHW
1952-11-29 | w: BOS | L: FTW
1952-11-29 | w: NYK | L: INO
1952-11-29 | w: ROC | L: MNL
1952-11-29 | w: SYR | L: BAL
1952-11-30 | w: MNL | L: PHW
1952-11-30 | w: SYR | L: BOS
1952-11-30 | w: ROC | L: MIH
1952-11-30 | w: FTW | L: BAL
1952-12-01 | w: MNL | L: BAL
1952-12-02 | w: INO | L: ROC
1952-12-02 | w: NYK | L: PHW
1952-12-03 | w: NYK | L: PHW
1952-12-03 | w: BAL | L: MIH
1952-12-03 | w: MNL | L: BOS
1952-12-04 | w: MNL | L: NYK
1952-12-04 | w: MIH | L: BOS
1952-12-04 | w: SYR | L: FTW
1952-12-05 | w: INO | L: FTW
1952-12-06 | w: BOS | L: MIH
1952-12-06 | w: SYR | L: PHW
1952-12-06 | w: ROC | L: INO
1952-12-06 | w: FTW | L: BAL
1952-12-06 | w: MNL | L: NYK
1952-12-07 | w: SYR | L: MIH
1952-12-07 | w: FTW | L: NYK
1952-12-07 | w: ROC | L: PHW
1952-12-08 | w: MIH | L: SYR
1952-12-08 | w: INO | L: MNL
1952-12-09 | w: ROC | L: NYK
1952-12-09 | w: BOS | L: PHW
1952-12-09 | w: SYR | L: INO
1952-12-10 | w: BOS | L: PHW
1952-12-10 | w: ROC | L: BAL
1952-12-11 | w: BOS | L: BAL
