============ Start of Season ============
1955-11-05 | w: BOS | L: PHW
1955-11-05 | w: STL | L: MNL
1955-11-05 | w: SYR | L: FTW
1955-11-05 | w: NYK | L: ROC
1955-11-06 | w: MNL | L: FTW
1955-11-06 | w: ROC | L: SYR
1955-11-09 | w: PHW | L: MNL
1955-11-10 | w: NYK | L: MNL
1955-11-10 | w: PHW | L: ROC
1955-11-12 | w: BOS | L: MNL
1955-11-12 | w: NYK | L: BOS
1955-11-12 | w: PHW | L: MNL
1955-11-12 | w: ROC | L: FTW
1955-11-12 | w: SYR | L: STL
1955-11-13 | w: NYK | L: ROC
1955-11-13 | w: FTW | L: SYR
1955-11-15 | w: STL | L: NYK
1955-11-16 | w: SYR | L: MNL
1955-11-17 | w: NYK | L: FTW
1955-11-17 | w: PHW | L: BOS
1955-11-19 | w: BOS | L: FTW
1955-11-19 | w: STL | L: NYK
1955-11-19 | w: PHW | L: SYR
1955-11-19 | w: MNL | L: ROC
1955-11-20 | w: ROC | L: MNL
1955-11-20 | w: SYR | L: STL
1955-11-20 | w: NYK | L: FTW
1955-11-23 | w: PHW | L: SYR
1955-11-23 | w: NYK | L: BOS
1955-11-23 | w: STL | L: ROC
1955-11-24 | w: PHW | L: NYK
1955-11-24 | w: MNL | L: STL
1955-11-24 | w: SYR | L: BOS
1955-11-24 | w: FTW | L: ROC
1955-11-26 | w: NYK | L: SYR
1955-11-26 | w: PHW | L: FTW
1955-11-26 | w: BOS | L: ROC
1955-11-26 | w: STL | L: MNL
1955-11-27 | w: MNL | L: PHW
1955-11-27 | w: SYR | L: NYK
1955-11-27 | w: FTW | L: STL
1955-11-29 | w: FTW | L: NYK
1955-11-29 | w: BOS | L: SYR
1955-11-29 | w: STL | L: PHW
1955-11-30 | w: ROC | L: FTW
1955-11-30 | w: STL | L: MNL
1955-12-01 | w: MNL | L: NYK
1955-12-01 | w: PHW | L: STL
1955-12-02 | w: BOS | L: STL
1955-12-03 | w: PHW | L: NYK
1955-12-03 | w: SYR | L: MNL
1955-12-03 | w: STL | L: ROC
1955-12-04 | w: SYR | L: MNL
1955-12-04 | w: FTW | L: BOS
1955-12-04 | w: ROC | L: PHW
1955-12-06 | w: NYK | L: ROC
1955-12-06 | w: PHW | L: MNL
1955-12-06 | w: FTW | L: SYR
1955-12-06 | w: BOS | L: STL
1955-12-07 | w: ROC | L: MNL
1955-12-08 | w: FTW | L: SYR
1955-12-09 | w: PHW | L: SYR
1955-12-09 | w: ROC | L: BOS
1955-12-10 | w: BOS | L: MNL
1955-12-10 | w: NYK | L: STL
1955-12-10 | w: ROC | L: FTW
1955-12-11 | w: SYR | L: BOS
1955-12-11 | w: FTW | L: PHW
1955-12-11 | w: ROC | L: STL
1955-12-13 | w: NYK | L: MNL
1955-12-13 | w: PHW | L: BOS
1955-12-14 | w: BOS | L: NYK
1955-12-14 | w: MNL | L: FTW
1955-12-14 | w: ROC | L: STL
1955-12-15 | w: PHW | L: FTW
1955-12-15 | w: MNL | L: SYR
1955-12-16 | w: STL | L: ROC
1955-12-17 | w: SYR | L: BOS
1955-12-17 | w: MNL | L: ROC
1955-12-17 | w: NYK | L: FTW
1955-12-18 | w: BOS | L: NYK
1955-12-18 | w: SYR | L: PHW
1955-12-18 | w: FTW | L: MNL
1955-12-18 | w: STL | L: ROC
1955-12-20 | w: BOS | L: MNL
1955-12-20 | w: SYR | L: NYK
1955-12-21 | w: PHW | L: ROC
1955-12-25 | w: BOS | L: MNL
1955-12-25 | w: SYR | L: ROC
1955-12-25 | w: FTW | L: NYK
1955-12-26 | w: NYK | L: PHW
1955-12-26 | w: FTW | L: STL
1955-12-26 | w: ROC | L: SYR
1955-12-27 | w: NYK | L: PHW
1955-12-27 | w: BOS | L: STL
1955-12-27 | w: ROC | L: SYR
1955-12-28 | w: STL | L: MNL
1955-12-28 | w: NYK | L: ROC
1955-12-29 | w: MNL | L: STL
1955-12-29 | w: PHW | L: SYR
1955-12-29 | w: FTW | L: ROC
1955-12-30 | w: BOS | L: SYR
1955-12-30 | w: FTW | L: STL
1955-12-31 | w: SYR | L: NYK
1955-12-31 | w: BOS | L: ROC
1956-01-01 | w: BOS | L: PHW
1956-01-01 | w: ROC | L: NYK
1956-01-01 | w: SYR | L: MNL
1956-01-01 | w: FTW | L: STL
1956-01-02 | w: MNL | L: FTW
1956-01-02 | w: PHW | L: ROC
1956-01-02 | w: SYR | L: STL
