============ Start of Season ============
1957-10-22 | w: BOS | L: STL
1957-10-23 | w: NYK | L: STL
1957-10-23 | w: BOS | L: DET
1957-10-25 | w: SYR | L: PHW
1957-10-26 | w: BOS | L: NYK
1957-10-26 | w: PHW | L: DET
1957-10-26 | w: CIN | L: SYR
1957-10-26 | w: STL | L: MNL
1957-10-30 | w: DET | L: MNL
1957-11-01 | w: SYR | L: MNL
1957-11-01 | w: CIN | L: STL
1957-11-02 | w: BOS | L: SYR
1957-11-02 | w: PHW | L: MNL
1957-11-02 | w: STL | L: CIN
1957-11-03 | w: NYK | L: PHW
1957-11-03 | w: BOS | L: SYR
1957-11-03 | w: DET | L: CIN
1957-11-05 | w: BOS | L: DET
1957-11-05 | w: STL | L: SYR
1957-11-06 | w: BOS | L: MNL
1957-11-07 | w: PHW | L: NYK
1957-11-08 | w: PHW | L: MNL
1957-11-08 | w: NYK | L: SYR
1957-11-08 | w: BOS | L: CIN
1957-11-09 | w: STL | L: PHW
1957-11-10 | w: PHW | L: CIN
1957-11-11 | w: BOS | L: STL
1957-11-12 | w: BOS | L: MNL
1957-11-12 | w: DET | L: NYK
1957-11-13 | w: MNL | L: NYK
1957-11-14 | w: SYR | L: PHW
1957-11-15 | w: SYR | L: STL
1957-11-15 | w: MNL | L: DET
1957-11-15 | w: CIN | L: NYK
1957-11-16 | w: DET | L: NYK
1957-11-16 | w: BOS | L: PHW
1957-11-16 | w: STL | L: SYR
1957-11-17 | w: SYR | L: MNL
1957-11-17 | w: DET | L: PHW
1957-11-17 | w: STL | L: CIN
1957-11-19 | w: STL | L: NYK
1957-11-19 | w: CIN | L: DET
1957-11-20 | w: CIN | L: PHW
1957-11-20 | w: NYK | L: MNL
1957-11-21 | w: BOS | L: DET
1957-11-21 | w: NYK | L: MNL
1957-11-22 | w: CIN | L: SYR
1957-11-23 | w: SYR | L: NYK
1957-11-23 | w: BOS | L: MNL
1957-11-23 | w: STL | L: DET
1957-11-24 | w: PHW | L: MNL
1957-11-26 | w: STL | L: NYK
1957-11-26 | w: DET | L: MNL
1957-11-27 | w: BOS | L: NYK
1957-11-27 | w: STL | L: DET
1957-11-27 | w: SYR | L: PHW
1957-11-27 | w: CIN | L: MNL
1957-11-28 | w: NYK | L: BOS
1957-11-28 | w: PHW | L: SYR
1957-11-28 | w: STL | L: CIN
1957-11-29 | w: CIN | L: DET
1957-11-30 | w: BOS | L: SYR
1957-11-30 | w: PHW | L: NYK
1957-11-30 | w: MNL | L: STL
1957-11-30 | w: DET | L: CIN
1957-12-01 | w: NYK | L: DET
1957-12-01 | w: SYR | L: BOS
1957-12-01 | w: CIN | L: MNL
1957-12-03 | w: NYK | L: CIN
1957-12-03 | w: BOS | L: DET
1957-12-03 | w: SYR | L: PHW
1957-12-03 | w: STL | L: MNL
1957-12-04 | w: BOS | L: MNL
1957-12-05 | w: PHW | L: STL
1957-12-05 | w: CIN | L: DET
1957-12-06 | w: BOS | L: STL
1957-12-06 | w: SYR | L: DET
1957-12-06 | w: NYK | L: CIN
1957-12-07 | w: MNL | L: SYR
