============ Start of Season ============
1966-10-15 | w: BOS | L: SFW
1966-10-15 | w: CHI | L: STL
1966-10-15 | w: LAL | L: BLT
1966-10-15 | w: PHL | L: NYK
1966-10-15 | w: CIN | L: DET
1966-10-18 | w: NYK | L: LAL
1966-10-18 | w: DET | L: CIN
1966-10-18 | w: CHI | L: SFW
1966-10-19 | w: NYK | L: BLT
1966-10-19 | w: CHI | L: LAL
1966-10-20 | w: SFW | L: CHI
1966-10-20 | w: STL | L: DET
1966-10-21 | w: CHI | L: LAL
1966-10-21 | w: BOS | L: BLT
1966-10-21 | w: SFW | L: DET
1966-10-21 | w: PHL | L: STL
1966-10-22 | w: BOS | L: NYK
1966-10-22 | w: PHL | L: BLT
1966-10-22 | w: STL | L: CIN
1966-10-23 | w: DET | L: SFW
1966-10-23 | w: NYK | L: CHI
1966-10-25 | w: PHL | L: BLT
1966-10-26 | w: NYK | L: LAL
1966-10-26 | w: BLT | L: CIN
1966-10-27 | w: BOS | L: CHI
1966-10-27 | w: CIN | L: STL
1966-10-28 | w: LAL | L: NYK
1966-10-28 | w: DET | L: CHI
1966-10-28 | w: SFW | L: BLT
1966-10-29 | w: STL | L: LAL
1966-10-29 | w: DET | L: BLT
1966-10-29 | w: PHL | L: BOS
1966-10-29 | w: SFW | L: CIN
1966-10-30 | w: DET | L: LAL
1966-11-01 | w: SFW | L: CHI
1966-11-02 | w: BOS | L: LAL
1966-11-02 | w: CHI | L: BLT
1966-11-02 | w: CIN | L: NYK
1966-11-03 | w: BOS | L: CHI
1966-11-03 | w: NYK | L: SFW
1966-11-03 | w: PHL | L: STL
1966-11-04 | w: LAL | L: BLT
1966-11-04 | w: CIN | L: DET
1966-11-04 | w: PHL | L: SFW
1966-11-05 | w: STL | L: SFW
1966-11-05 | w: BOS | L: PHL
1966-11-05 | w: NYK | L: DET
1966-11-05 | w: CHI | L: CIN
1966-11-06 | w: SFW | L: BLT
1966-11-06 | w: CHI | L: STL
1966-11-08 | w: PHL | L: DET
1966-11-08 | w: BLT | L: LAL
1966-11-08 | w: STL | L: NYK
1966-11-08 | w: BOS | L: CHI
1966-11-09 | w: SFW | L: BLT
1966-11-09 | w: NYK | L: CHI
1966-11-10 | w: BOS | L: CIN
1966-11-10 | w: DET | L: LAL
1966-11-11 | w: BOS | L: NYK
1966-11-11 | w: SFW | L: LAL
1966-11-11 | w: CIN | L: BLT
1966-11-11 | w: PHL | L: CHI
1966-11-12 | w: LAL | L: DET
1966-11-12 | w: STL | L: BOS
1966-11-12 | w: NYK | L: BLT
1966-11-12 | w: PHL | L: CIN
1966-11-13 | w: SFW | L: DET
1966-11-13 | w: PHL | L: CHI
1966-11-14 | w: SFW | L: DET
1966-11-15 | w: STL | L: CHI
1966-11-15 | w: PHL | L: NYK
1966-11-16 | w: STL | L: DET
1966-11-16 | w: PHL | L: NYK
1966-11-16 | w: LAL | L: CIN
1966-11-17 | w: DET | L: NYK
1966-11-17 | w: BLT | L: CHI
1966-11-18 | w: PHL | L: CHI
1966-11-18 | w: BOS | L: BLT
1966-11-18 | w: DET | L: LAL
1966-11-19 | w: SFW | L: LAL
1966-11-19 | w: STL | L: DET
1966-11-19 | w: NYK | L: CHI
1966-11-19 | w: BOS | L: BLT
1966-11-19 | w: PHL | L: CIN
1966-11-20 | w: CIN | L: BLT
1966-11-21 | w: SFW | L: STL
1966-11-22 | w: BLT | L: SFW
1966-11-22 | w: CIN | L: NYK
1966-11-23 | w: LAL | L: CHI
1966-11-23 | w: BOS | L: STL
1966-11-23 | w: DET | L: NYK
1966-11-23 | w: SFW | L: BLT
1966-11-23 | w: CIN | L: PHL
1966-11-24 | w: BOS | L: STL
1966-11-24 | w: PHL | L: SFW
1966-11-25 | w: CHI | L: LAL
1966-11-25 | w: DET | L: BOS
1966-11-25 | w: PHL | L: BLT
1966-11-25 | w: CIN | L: NYK
1966-11-26 | w: LAL | L: STL
