============ Start of Season ============
1969-10-14 | w: NYK | L: SEA
1969-10-15 | w: ATL | L: SEA
1969-10-15 | w: BLT | L: CHI
1969-10-15 | w: NYK | L: CIN
1969-10-16 | w: PHX | L: SDR
1969-10-17 | w: CIN | L: BOS
1969-10-17 | w: NYK | L: CHI
1969-10-17 | w: PHL | L: LAL
1969-10-18 | w: ATL | L: PHX
1969-10-18 | w: NYK | L: LAL
1969-10-18 | w: BLT | L: BOS
1969-10-18 | w: MIL | L: DET
1969-10-18 | w: PHL | L: CIN
1969-10-18 | w: CHI | L: SEA
1969-10-18 | w: SDR | L: SFW
1969-10-19 | w: MIL | L: SEA
1969-10-21 | w: NYK | L: PHX
1969-10-21 | w: DET | L: BOS
1969-10-21 | w: LAL | L: BLT
1969-10-22 | w: SFW | L: ATL
1969-10-22 | w: MIL | L: SDR
1969-10-22 | w: PHL | L: PHX
1969-10-22 | w: LAL | L: CIN
1969-10-23 | w: SFW | L: NYK
1969-10-24 | w: LAL | L: MIL
1969-10-24 | w: ATL | L: BOS
1969-10-24 | w: NYK | L: DET
1969-10-24 | w: CHI | L: PHX
1969-10-24 | w: BLT | L: CIN
1969-10-25 | w: DET | L: ATL
1969-10-25 | w: SFW | L: MIL
1969-10-25 | w: NYK | L: BLT
1969-10-25 | w: LAL | L: SEA
1969-10-25 | w: PHX | L: SDR
1969-10-25 | w: CIN | L: PHL
1969-10-26 | w: LAL | L: CHI
1969-10-26 | w: MIL | L: PHX
1969-10-28 | w: NYK | L: ATL
1969-10-28 | w: BLT | L: DET
1969-10-28 | w: CHI | L: SEA
1969-10-28 | w: BOS | L: MIL
1969-10-29 | w: ATL | L: SDR
1969-10-29 | w: CHI | L: SFW
1969-10-29 | w: PHL | L: BLT
1969-10-30 | w: NYK | L: SDR
1969-10-30 | w: MIL | L: DET
1969-10-30 | w: PHX | L: CIN
1969-10-31 | w: CHI | L: BLT
1969-10-31 | w: BOS | L: SDR
1969-10-31 | w: SEA | L: CIN
1969-10-31 | w: MIL | L: PHL
1969-11-01 | w: SFW | L: CIN
1969-11-01 | w: NYK | L: MIL
1969-11-01 | w: DET | L: SDR
1969-11-01 | w: BOS | L: PHL
1969-11-01 | w: ATL | L: BLT
1969-11-02 | w: CIN | L: LAL
1969-11-02 | w: ATL | L: SEA
1969-11-03 | w: NYK | L: MIL
1969-11-04 | w: PHL | L: CHI
1969-11-04 | w: SEA | L: DET
1969-11-04 | w: BLT | L: SFW
1969-11-04 | w: NYK | L: PHX
1969-11-05 | w: ATL | L: BOS
1969-11-05 | w: BLT | L: PHL
1969-11-05 | w: CIN | L: SDR
1969-11-06 | w: SFW | L: CIN
1969-11-06 | w: ATL | L: CHI
1969-11-07 | w: PHX | L: LAL
1969-11-07 | w: SFW | L: BOS
1969-11-07 | w: BLT | L: SEA
1969-11-07 | w: NYK | L: SDR
1969-11-07 | w: DET | L: PHL
1969-11-08 | w: ATL | L: SFW
1969-11-08 | w: CHI | L: BOS
1969-11-08 | w: MIL | L: DET
1969-11-08 | w: SEA | L: PHL
1969-11-08 | w: CIN | L: BLT
1969-11-09 | w: NYK | L: LAL
1969-11-09 | w: PHX | L: DET
1969-11-09 | w: BLT | L: MIL
1969-11-10 | w: ATL | L: CHI
1969-11-10 | w: SDR | L: SFW
1969-11-11 | w: DET | L: LAL
1969-11-11 | w: ATL | L: PHL
1969-11-11 | w: MIL | L: BOS
1969-11-11 | w: NYK | L: SFW
1969-11-11 | w: CHI | L: SEA
1969-11-12 | w: SDR | L: DET
1969-11-12 | w: CIN | L: BOS
1969-11-13 | w: SEA | L: DET
1969-11-13 | w: PHL | L: PHX
1969-11-13 | w: NYK | L: CHI
1969-11-14 | w: LAL | L: PHX
1969-11-14 | w: BLT | L: BOS
1969-11-14 | w: ATL | L: SFW
1969-11-14 | w: SDR | L: SEA
1969-11-14 | w: MIL | L: CHI
1969-11-15 | w: NYK | L: BOS
1969-11-15 | w: BLT | L: MIL
1969-11-15 | w: SEA | L: PHL
1969-11-15 | w: SDR | L: ATL
1969-11-15 | w: CHI | L: SFW
1969-11-15 | w: PHX | L: LAL
1969-11-15 | w: DET | L: CIN
1969-11-16 | w: LAL | L: PHL
1969-11-16 | w: PHX | L: ATL
1969-11-16 | w: MIL | L: SFW
1969-11-18 | w: SFW | L: MIL
1969-11-18 | w: CHI | L: PHL
1969-11-18 | w: BOS | L: PHX
1969-11-18 | w: LAL | L: DET
1969-11-18 | w: BLT | L: SDR
1969-11-18 | w: NYK | L: CIN
1969-11-19 | w: BOS | L: CHI
1969-11-19 | w: BLT | L: PHX
1969-11-19 | w: ATL | L: SEA
1969-11-19 | w: SDR | L: PHL
1969-11-19 | w: LAL | L: CIN
1969-11-21 | w: LAL | L: SDR
1969-11-21 | w: SFW | L: BOS
1969-11-21 | w: ATL | L: DET
1969-11-21 | w: BLT | L: PHX
1969-11-21 | w: MIL | L: SEA
1969-11-21 | w: NYK | L: PHL
1969-11-21 | w: CIN | L: CHI
1969-11-22 | w: PHL | L: ATL
1969-11-22 | w: LAL | L: SFW
1969-11-22 | w: NYK | L: PHX
1969-11-22 | w: SDR | L: BOS
1969-11-22 | w: CHI | L: MIL
1969-11-23 | w: BLT | L: LAL
1969-11-23 | w: BOS | L: SEA
1969-11-23 | w: CIN | L: PHX
1969-11-24 | w: SDR | L: SEA
1969-11-24 | w: CIN | L: MIL
1969-11-25 | w: NYK | L: LAL
1969-11-25 | w: DET | L: CHI
1969-11-25 | w: SFW | L: SEA
1969-11-25 | w: BLT | L: PHX
1969-11-25 | w: MIL | L: ATL
1969-11-26 | w: NYK | L: ATL
1969-11-26 | w: PHL | L: BOS
1969-11-26 | w: CHI | L: DET
1969-11-26 | w: MIL | L: LAL
1969-11-26 | w: SFW | L: SDR
1969-11-27 | w: BLT | L: SFW
1969-11-28 | w: SFW | L: LAL
1969-11-28 | w: ATL | L: BOS
1969-11-28 | w: CHI | L: SDR
1969-11-28 | w: PHL | L: DET
1969-11-28 | w: NYK | L: CIN
1969-11-29 | w: ATL | L: CIN
1969-11-29 | w: BOS | L: BLT
1969-11-29 | w: SEA | L: PHX
1969-11-29 | w: PHL | L: MIL
1969-11-29 | w: DET | L: NYK
1969-11-30 | w: PHX | L: SEA
1969-11-30 | w: MIL | L: SDR
1969-11-30 | w: CIN | L: PHL
1969-11-30 | w: CHI | L: LAL
1969-12-02 | w: SFW | L: DET
1969-12-02 | w: NYK | L: SEA
1969-12-02 | w: BLT | L: CIN
1969-12-02 | w: PHX | L: CHI
1969-12-02 | w: MIL | L: PHL
1969-12-03 | w: BOS | L: BLT
1969-12-03 | w: DET | L: SFW
1969-12-03 | w: SDR | L: CHI
1969-12-03 | w: SEA | L: CIN
1969-12-04 | w: ATL | L: SEA
1969-12-04 | w: PHX | L: LAL
1969-12-05 | w: LAL | L: DET
1969-12-05 | w: PHL | L: BOS
1969-12-05 | w: SFW | L: SDR
1969-12-05 | w: NYK | L: BLT
1969-12-05 | w: PHX | L: CHI
