============ Start of Season ============
1974-10-17 | w: NYK | L: NOJ
1974-10-17 | w: PHX | L: SEA
1974-10-18 | w: LAL | L: GOS
1974-10-18 | w: BUF | L: BOS
1974-10-18 | w: DET | L: SEA
1974-10-18 | w: HOU | L: MIL
1974-10-18 | w: PHL | L: NOJ
1974-10-18 | w: CHI | L: ATL
1974-10-18 | w: POR | L: CLE
1974-10-19 | w: ATL | L: HOU
1974-10-19 | w: GOS | L: CLE
1974-10-19 | w: PHL | L: NYK
1974-10-19 | w: WAS | L: NOJ
1974-10-19 | w: CHI | L: MIL
1974-10-19 | w: KCK | L: PHX
1974-10-19 | w: DET | L: POR
1974-10-19 | w: BOS | L: BUF
1974-10-20 | w: KCK | L: LAL
1974-10-20 | w: SEA | L: CLE
1974-10-22 | w: ATL | L: PHL
1974-10-22 | w: POR | L: GOS
1974-10-22 | w: NYK | L: HOU
1974-10-22 | w: MIL | L: CHI
1974-10-22 | w: WAS | L: KCK
1974-10-22 | w: BUF | L: NOJ
1974-10-23 | w: CLE | L: BOS
1974-10-23 | w: WAS | L: HOU
1974-10-23 | w: SEA | L: POR
1974-10-23 | w: PHX | L: DET
1974-10-23 | w: KCK | L: CHI
1974-10-24 | w: CLE | L: ATL
1974-10-24 | w: PHL | L: NOJ
1974-10-24 | w: BUF | L: NYK
1974-10-25 | w: DET | L: LAL
1974-10-25 | w: BOS | L: ATL
1974-10-25 | w: SEA | L: PHX
1974-10-25 | w: KCK | L: CHI
1974-10-25 | w: HOU | L: PHL
1974-10-25 | w: WAS | L: MIL
1974-10-25 | w: GOS | L: POR
1974-10-26 | w: GOS | L: DET
1974-10-26 | w: NYK | L: BOS
1974-10-26 | w: WAS | L: MIL
1974-10-26 | w: CLE | L: NOJ
1974-10-26 | w: BUF | L: CHI
1974-10-27 | w: LAL | L: PHX
1974-10-27 | w: POR | L: SEA
1974-10-29 | w: GOS | L: BUF
1974-10-29 | w: WAS | L: CHI
1974-10-29 | w: LAL | L: POR
1974-10-29 | w: BOS | L: CLE
1974-10-30 | w: CHI | L: BOS
1974-10-30 | w: ATL | L: DET
1974-10-30 | w: WAS | L: NYK
1974-10-30 | w: SEA | L: LAL
1974-10-30 | w: PHX | L: PHL
1974-10-30 | w: KCK | L: MIL
1974-10-30 | w: HOU | L: NOJ
1974-10-31 | w: NYK | L: ATL
1974-10-31 | w: HOU | L: WAS
1974-10-31 | w: CLE | L: DET
1974-11-01 | w: LAL | L: MIL
1974-11-01 | w: BOS | L: PHL
1974-11-01 | w: DET | L: NOJ
1974-11-01 | w: GOS | L: SEA
1974-11-01 | w: POR | L: BUF
1974-11-02 | w: BOS | L: ATL
1974-11-02 | w: GOS | L: MIL
1974-11-02 | w: CHI | L: NYK
1974-11-02 | w: WAS | L: PHX
1974-11-02 | w: HOU | L: KCK
1974-11-02 | w: DET | L: PHL
1974-11-03 | w: BUF | L: LAL
1974-11-03 | w: SEA | L: MIL
1974-11-03 | w: GOS | L: POR
1974-11-03 | w: CLE | L: PHX
1974-11-03 | w: CHI | L: KCK
1974-11-05 | w: NYK | L: HOU
1974-11-05 | w: KCK | L: NOJ
1974-11-06 | w: BOS | L: POR
1974-11-06 | w: DET | L: KCK
1974-11-06 | w: CLE | L: WAS
1974-11-06 | w: PHL | L: CHI
1974-11-06 | w: BUF | L: NOJ
1974-11-07 | w: ATL | L: PHX
1974-11-07 | w: SEA | L: GOS
1974-11-07 | w: HOU | L: MIL
1974-11-08 | w: NYK | L: LAL
1974-11-08 | w: DET | L: BOS
1974-11-08 | w: PHL | L: POR
1974-11-08 | w: PHX | L: NOJ
1974-11-09 | w: POR | L: ATL
1974-11-09 | w: GOS | L: NYK
1974-11-09 | w: WAS | L: CHI
1974-11-09 | w: PHX | L: HOU
1974-11-09 | w: BUF | L: DET
1974-11-10 | w: GOS | L: LAL
1974-11-10 | w: BUF | L: DET
1974-11-10 | w: SEA | L: PHL
1974-11-10 | w: ATL | L: MIL
1974-11-10 | w: BOS | L: KCK
1974-11-10 | w: NOJ | L: POR
1974-11-12 | w: GOS | L: ATL
1974-11-12 | w: BOS | L: MIL
1974-11-12 | w: POR | L: NYK
1974-11-12 | w: HOU | L: KCK
1974-11-12 | w: CHI | L: NOJ
1974-11-12 | w: BUF | L: CLE
1974-11-13 | w: DET | L: MIL
1974-11-13 | w: WAS | L: KCK
1974-11-13 | w: SEA | L: LAL
1974-11-13 | w: PHX | L: PHL
1974-11-14 | w: BUF | L: BOS
1974-11-14 | w: NYK | L: CLE
1974-11-14 | w: HOU | L: CHI
1974-11-14 | w: POR | L: ATL
1974-11-15 | w: LAL | L: PHL
1974-11-15 | w: KCK | L: BOS
1974-11-15 | w: DET | L: SEA
1974-11-15 | w: CHI | L: PHX
1974-11-15 | w: WAS | L: NOJ
1974-11-16 | w: ATL | L: NOJ
1974-11-16 | w: PHL | L: GOS
1974-11-16 | w: NYK | L: SEA
1974-11-16 | w: BOS | L: WAS
1974-11-16 | w: HOU | L: DET
1974-11-16 | w: CLE | L: MIL
1974-11-16 | w: POR | L: LAL
1974-11-16 | w: BUF | L: KCK
1974-11-17 | w: CHI | L: LAL
1974-11-17 | w: GOS | L: PHX
1974-11-17 | w: DET | L: NOJ
1974-11-19 | w: ATL | L: SEA
1974-11-19 | w: NYK | L: WAS
1974-11-19 | w: MIL | L: PHX
1974-11-19 | w: HOU | L: CLE
1974-11-19 | w: KCK | L: DET
1974-11-19 | w: POR | L: CHI
1974-11-19 | w: BUF | L: GOS
1974-11-20 | w: GOS | L: BOS
1974-11-20 | w: PHX | L: DET
1974-11-20 | w: BUF | L: WAS
1974-11-20 | w: NYK | L: PHL
1974-11-20 | w: SEA | L: NOJ
1974-11-21 | w: NYK | L: ATL
1974-11-21 | w: CLE | L: GOS
1974-11-21 | w: MIL | L: KCK
1974-11-21 | w: BUF | L: PHL
1974-11-22 | w: LAL | L: HOU
1974-11-22 | w: BOS | L: PHX
1974-11-22 | w: CHI | L: SEA
1974-11-22 | w: WAS | L: POR
1974-11-22 | w: NOJ | L: ATL
1974-11-23 | w: KCK | L: ATL
1974-11-23 | w: MIL | L: NYK
1974-11-23 | w: GOS | L: DET
1974-11-23 | w: SEA | L: POR
