============ Start of Season ============
1976-10-21 | w: HOU | L: ATL
1976-10-21 | w: NYK | L: LAL
1976-10-21 | w: BUF | L: MIL
1976-10-21 | w: BOS | L: IND
1976-10-22 | w: NYN | L: GOS
1976-10-22 | w: LAL | L: WAS
1976-10-22 | w: SAN | L: PHL
1976-10-22 | w: CLE | L: CHI
1976-10-22 | w: DET | L: KCK
1976-10-22 | w: NOJ | L: PHX
1976-10-22 | w: DEN | L: IND
1976-10-23 | w: NYK | L: SAN
1976-10-23 | w: WAS | L: DET
1976-10-23 | w: HOU | L: PHX
1976-10-23 | w: CHI | L: IND
1976-10-23 | w: POR | L: NYN
1976-10-23 | w: DEN | L: KCK
1976-10-23 | w: BUF | L: PHL
1976-10-23 | w: BOS | L: MIL
1976-10-24 | w: ATL | L: MIL
1976-10-24 | w: SEA | L: NYN
1976-10-24 | w: CLE | L: LAL
1976-10-26 | w: ATL | L: SAN
1976-10-26 | w: NYK | L: BUF
1976-10-26 | w: CHI | L: MIL
1976-10-26 | w: POR | L: GOS
1976-10-26 | w: PHL | L: NOJ
1976-10-26 | w: IND | L: SEA
1976-10-26 | w: KCK | L: LAL
1976-10-27 | w: DET | L: SEA
1976-10-27 | w: PHL | L: HOU
1976-10-27 | w: SAN | L: PHX
1976-10-27 | w: NYN | L: WAS
1976-10-28 | w: BOS | L: BUF
1976-10-28 | w: GOS | L: POR
1976-10-28 | w: CLE | L: NYK
1976-10-28 | w: DEN | L: MIL
1976-10-29 | w: LAL | L: ATL
1976-10-29 | w: SEA | L: DET
1976-10-29 | w: PHX | L: CHI
1976-10-29 | w: KCK | L: SAN
1976-10-29 | w: NOJ | L: WAS
1976-10-29 | w: IND | L: NYN
1976-10-30 | w: GOS | L: ATL
1976-10-30 | w: NOJ | L: NYK
1976-10-30 | w: HOU | L: WAS
1976-10-30 | w: MIL | L: CHI
1976-10-30 | w: POR | L: DET
1976-10-30 | w: PHL | L: NYN
1976-10-30 | w: BOS | L: SAN
1976-10-30 | w: IND | L: KCK
1976-10-30 | w: DEN | L: PHX
1976-10-30 | w: CLE | L: BUF
1976-10-31 | w: LAL | L: DET
1976-10-31 | w: SEA | L: ATL
1976-10-31 | w: CLE | L: NOJ
1976-11-01 | w: KCK | L: NYK
1976-11-01 | w: CLE | L: NYN
1976-11-02 | w: GOS | L: DET
1976-11-02 | w: MIL | L: SEA
1976-11-02 | w: POR | L: ATL
1976-11-02 | w: NOJ | L: BOS
1976-11-03 | w: WAS | L: MIL
1976-11-03 | w: KCK | L: SEA
1976-11-03 | w: DEN | L: NYK
1976-11-03 | w: NYN | L: BUF
1976-11-03 | w: IND | L: SAN
1976-11-03 | w: HOU | L: BOS
1976-11-04 | w: ATL | L: CHI
1976-11-04 | w: PHL | L: GOS
1976-11-04 | w: CLE | L: MIL
1976-11-05 | w: NYK | L: LAL
1976-11-05 | w: WAS | L: BOS
1976-11-05 | w: BUF | L: DET
1976-11-05 | w: SEA | L: PHX
1976-11-05 | w: DEN | L: CHI
1976-11-05 | w: POR | L: PHL
1976-11-05 | w: KCK | L: IND
1976-11-05 | w: NOJ | L: SAN
1976-11-05 | w: NYN | L: HOU
1976-11-06 | w: DET | L: ATL
1976-11-06 | w: NYK | L: GOS
1976-11-06 | w: WAS | L: BOS
1976-11-06 | w: DEN | L: MIL
1976-11-06 | w: CLE | L: NYN
1976-11-06 | w: SAN | L: IND
1976-11-06 | w: BUF | L: HOU
1976-11-07 | w: LAL | L: KCK
1976-11-07 | w: ATL | L: CLE
1976-11-07 | w: SEA | L: PHL
1976-11-07 | w: POR | L: NYK
1976-11-07 | w: DET | L: NOJ
1976-11-09 | w: NYK | L: WAS
1976-11-09 | w: HOU | L: CHI
1976-11-09 | w: CLE | L: MIL
1976-11-09 | w: POR | L: KCK
1976-11-09 | w: SAN | L: SEA
1976-11-09 | w: NOJ | L: NYN
1976-11-09 | w: DEN | L: GOS
1976-11-09 | w: BUF | L: LAL
1976-11-10 | w: BOS | L: LAL
1976-11-10 | w: DET | L: CLE
1976-11-10 | w: WAS | L: NOJ
1976-11-10 | w: HOU | L: SEA
1976-11-10 | w: PHL | L: CHI
1976-11-11 | w: ATL | L: POR
1976-11-11 | w: KCK | L: GOS
1976-11-11 | w: PHX | L: IND
1976-11-11 | w: SAN | L: NYN
1976-11-11 | w: BUF | L: DEN
1976-11-12 | w: LAL | L: IND
1976-11-12 | w: BOS | L: NOJ
1976-11-12 | w: DET | L: NYK
1976-11-12 | w: SEA | L: KCK
1976-11-12 | w: MIL | L: HOU
1976-11-12 | w: PHL | L: WAS
1976-11-13 | w: NOJ | L: ATL
1976-11-13 | w: GOS | L: IND
1976-11-13 | w: NYK | L: MIL
1976-11-13 | w: PHL | L: WAS
1976-11-13 | w: NYN | L: HOU
1976-11-13 | w: DET | L: CHI
1976-11-13 | w: CLE | L: PHX
1976-11-13 | w: SAN | L: POR
1976-11-13 | w: DEN | L: KCK
1976-11-13 | w: BUF | L: BOS
1976-11-14 | w: CLE | L: LAL
1976-11-14 | w: SEA | L: IND
1976-11-14 | w: DET | L: MIL
1976-11-16 | w: GOS | L: SEA
1976-11-16 | w: NYK | L: ATL
1976-11-16 | w: KCK | L: MIL
1976-11-16 | w: NOJ | L: POR
1976-11-16 | w: SAN | L: BUF
1976-11-17 | w: BOS | L: ATL
1976-11-17 | w: DET | L: NOJ
1976-11-17 | w: WAS | L: NYK
1976-11-17 | w: SEA | L: CLE
1976-11-17 | w: PHX | L: MIL
1976-11-17 | w: IND | L: PHL
1976-11-17 | w: DEN | L: NYN
1976-11-17 | w: HOU | L: BUF
1976-11-18 | w: GOS | L: PHX
1976-11-18 | w: SAN | L: KCK
1976-11-18 | w: IND | L: DET
1976-11-19 | w: LAL | L: GOS
1976-11-19 | w: BOS | L: DEN
1976-11-19 | w: SEA | L: BUF
1976-11-19 | w: NYN | L: PHX
1976-11-19 | w: POR | L: MIL
1976-11-19 | w: PHL | L: NOJ
1976-11-20 | w: PHL | L: ATL
1976-11-20 | w: GOS | L: BUF
1976-11-20 | w: NYK | L: DEN
1976-11-20 | w: DET | L: BOS
1976-11-20 | w: WAS | L: SAN
1976-11-20 | w: HOU | L: KCK
1976-11-21 | w: LAL | L: NYN
1976-11-21 | w: KCK | L: ATL
1976-11-21 | w: SEA | L: MIL
1976-11-21 | w: PHX | L: CHI
1976-11-21 | w: POR | L: BUF
1976-11-21 | w: NOJ | L: CLE
1976-11-23 | w: KCK | L: NYK
1976-11-23 | w: LAL | L: MIL
1976-11-23 | w: PHL | L: BOS
1976-11-23 | w: NOJ | L: GOS
1976-11-23 | w: DEN | L: WAS
1976-11-23 | w: SAN | L: BUF
1976-11-24 | w: BOS | L: KCK
1976-11-24 | w: DET | L: PHL
1976-11-24 | w: DEN | L: LAL
1976-11-24 | w: IND | L: ATL
1976-11-24 | w: NYN | L: SAN
1976-11-24 | w: HOU | L: GOS
1976-11-24 | w: POR | L: CHI
1976-11-25 | w: PHX | L: WAS
1976-11-25 | w: CLE | L: DET
1976-11-25 | w: HOU | L: NOJ
1976-11-26 | w: LAL | L: POR
1976-11-26 | w: CLE | L: BOS
1976-11-26 | w: SEA | L: CHI
1976-11-26 | w: PHL | L: NYK
1976-11-26 | w: KCK | L: DEN
1976-11-26 | w: SAN | L: GOS
1976-11-26 | w: IND | L: MIL
1976-11-26 | w: ATL | L: NYN
1976-11-26 | w: BUF | L: DET
1976-11-27 | w: ATL | L: BUF
1976-11-27 | w: BOS | L: NYK
1976-11-27 | w: HOU | L: SAN
1976-11-27 | w: PHX | L: SEA
1976-11-27 | w: NYN | L: MIL
1976-11-27 | w: POR | L: WAS
1976-11-27 | w: CLE | L: PHL
1976-11-27 | w: DEN | L: IND
1976-11-28 | w: LAL | L: CHI
1976-11-28 | w: GOS | L: ATL
1976-11-28 | w: SEA | L: WAS
1976-11-28 | w: POR | L: IND
1976-11-28 | w: KCK | L: PHL
1976-11-28 | w: NOJ | L: BUF
1976-11-30 | w: LAL | L: WAS
1976-11-30 | w: NYN | L: NYK
1976-11-30 | w: GOS | L: CHI
1976-11-30 | w: MIL | L: POR
1976-11-30 | w: CLE | L: DEN
1976-11-30 | w: SAN | L: DET
1976-11-30 | w: IND | L: PHX
1976-11-30 | w: BUF | L: SEA
1976-12-01 | w: BOS | L: SEA
1976-12-01 | w: HOU | L: DET
1976-12-01 | w: PHL | L: DEN
1976-12-01 | w: NOJ | L: MIL
1976-12-01 | w: POR | L: IND
1976-12-01 | w: PHX | L: NYN
1976-12-01 | w: CLE | L: KCK
1976-12-02 | w: WAS | L: ATL
1976-12-02 | w: GOS | L: SAN
1976-12-02 | w: HOU | L: MIL
1976-12-03 | w: LAL | L: SAN
1976-12-03 | w: DET | L: KCK
1976-12-03 | w: POR | L: PHX
1976-12-03 | w: SEA | L: PHL
1976-12-03 | w: NOJ | L: ATL
1976-12-03 | w: IND | L: CLE
1976-12-03 | w: DEN | L: NYN
1976-12-03 | w: BUF | L: NYK
1976-12-03 | w: BOS | L: CHI
1976-12-04 | w: NYN | L: ATL
1976-12-04 | w: GOS | L: LAL
1976-12-04 | w: NYK | L: SEA
