============ Start of Season ============
1978-10-13 | w: CLE | L: BOS
1978-10-13 | w: HOU | L: NYK
1978-10-13 | w: NJN | L: DET
1978-10-13 | w: WAS | L: NOJ
1978-10-13 | w: SEA | L: CHI
1978-10-13 | w: PHX | L: SDC
1978-10-13 | w: PHL | L: LAL
1978-10-13 | w: DEN | L: SAN
1978-10-13 | w: IND | L: ATL
1978-10-14 | w: ATL | L: DET
1978-10-14 | w: HOU | L: BOS
1978-10-14 | w: GOS | L: SDC
1978-10-14 | w: SAN | L: MIL
1978-10-14 | w: NJN | L: LAL
1978-10-15 | w: SEA | L: KCK
1978-10-15 | w: PHX | L: GOS
1978-10-15 | w: CHI | L: POR
1978-10-15 | w: MIL | L: NOJ
1978-10-15 | w: DEN | L: SDC
1978-10-17 | w: SEA | L: NYK
1978-10-17 | w: WAS | L: NJN
1978-10-17 | w: SAN | L: PHX
1978-10-17 | w: POR | L: KCK
1978-10-17 | w: CLE | L: LAL
1978-10-17 | w: NOJ | L: DET
1978-10-17 | w: SDC | L: CHI
1978-10-18 | w: BOS | L: ATL
1978-10-18 | w: PHX | L: GOS
1978-10-18 | w: HOU | L: NJN
1978-10-18 | w: WAS | L: PHL
1978-10-18 | w: DEN | L: POR
1978-10-18 | w: SEA | L: IND
1978-10-18 | w: SAN | L: SDC
1978-10-19 | w: NOJ | L: BOS
1978-10-19 | w: KCK | L: HOU
1978-10-20 | w: GOS | L: POR
1978-10-20 | w: PHL | L: DET
1978-10-20 | w: SEA | L: SAN
1978-10-20 | w: SDC | L: CHI
1978-10-20 | w: NYK | L: MIL
1978-10-20 | w: DEN | L: NJN
1978-10-21 | w: ATL | L: DEN
1978-10-21 | w: NYK | L: NJN
1978-10-21 | w: WAS | L: DET
1978-10-21 | w: HOU | L: BOS
1978-10-21 | w: CLE | L: CHI
1978-10-21 | w: PHL | L: NOJ
1978-10-21 | w: MIL | L: KCK
1978-10-21 | w: IND | L: SDC
1978-10-22 | w: LAL | L: SAN
1978-10-22 | w: MIL | L: GOS
1978-10-22 | w: PHX | L: POR
