============ Start of Season ============
1990-11-02 | w: BOS | L: CLE
1990-11-02 | w: PHL | L: CHI
1990-11-02 | w: LAC | L: SAC
1990-11-02 | w: DET | L: MIL
1990-11-02 | w: MIA | L: WAS
1990-11-02 | w: POR | L: HOU
1990-11-02 | w: PHX | L: UTH
1990-11-02 | w: IND | L: NJN
1990-11-02 | w: ATL | L: ORL
1990-11-02 | w: GOS | L: DEN
1990-11-02 | w: MIN | L: DAL
1990-11-02 | w: NYK | L: CHH
1990-11-03 | w: ATL | L: IND
1990-11-03 | w: BOS | L: NYK
1990-11-03 | w: DET | L: CLE
1990-11-03 | w: WAS | L: CHI
1990-11-03 | w: SEA | L: HOU
1990-11-03 | w: UTH | L: PHX
1990-11-03 | w: MIL | L: MIN
1990-11-03 | w: SAN | L: LAL
1990-11-03 | w: DAL | L: DEN
1990-11-03 | w: CHH | L: ORL
1990-11-03 | w: POR | L: SAC
1990-11-03 | w: PHL | L: NJN
1990-11-04 | w: LAC | L: GOS
1990-11-06 | w: GOS | L: LAC
1990-11-06 | w: POR | L: LAL
1990-11-06 | w: BOS | L: CHI
1990-11-06 | w: DAL | L: NYK
1990-11-06 | w: HOU | L: DEN
1990-11-06 | w: CLE | L: ORL
1990-11-06 | w: MIL | L: MIA
1990-11-06 | w: IND | L: MIN
1990-11-06 | w: ATL | L: SAC
1990-11-06 | w: CHH | L: NJN
1990-11-06 | w: SEA | L: DET
1990-11-07 | w: DAL | L: PHL
1990-11-07 | w: SAN | L: DEN
1990-11-07 | w: PHX | L: GOS
1990-11-07 | w: CLE | L: CHH
1990-11-07 | w: DET | L: LAC
1990-11-07 | w: CHI | L: MIN
1990-11-08 | w: NYK | L: WAS
1990-11-08 | w: NJN | L: MIA
1990-11-08 | w: HOU | L: ORL
1990-11-08 | w: UTH | L: SAN
1990-11-08 | w: MIL | L: PHL
1990-11-09 | w: GOS | L: ATL
1990-11-09 | w: LAL | L: SAC
1990-11-09 | w: CHI | L: BOS
1990-11-09 | w: POR | L: DET
1990-11-09 | w: IND | L: CLE
1990-11-09 | w: DAL | L: ORL
1990-11-09 | w: MIN | L: CHH
1990-11-09 | w: SEA | L: DEN
1990-11-09 | w: MIL | L: WAS
1990-11-10 | w: GOS | L: SEA
1990-11-10 | w: CHI | L: CHH
1990-11-10 | w: PHX | L: DEN
1990-11-10 | w: NYK | L: SAC
1990-11-10 | w: SAN | L: HOU
1990-11-10 | w: ATL | L: LAC
1990-11-10 | w: BOS | L: NJN
1990-11-10 | w: MIA | L: IND
1990-11-10 | w: CLE | L: PHL
1990-11-11 | w: NYK | L: LAL
1990-11-11 | w: HOU | L: UTH
1990-11-11 | w: POR | L: LAC
1990-11-11 | w: MIN | L: ORL
1990-11-12 | w: WAS | L: NJN
1990-11-13 | w: PHX | L: LAL
1990-11-13 | w: PHL | L: IND
1990-11-13 | w: POR | L: DEN
1990-11-13 | w: GOS | L: SAN
1990-11-13 | w: HOU | L: MIN
1990-11-13 | w: ORL | L: DAL
1990-11-13 | w: DET | L: MIA
1990-11-13 | w: CHI | L: UTH
1990-11-13 | w: CLE | L: ATL
1990-11-13 | w: MIL | L: BOS
1990-11-13 | w: CHH | L: WAS
1990-11-13 | w: NYK | L: SEA
1990-11-14 | w: PHL | L: ATL
1990-11-14 | w: BOS | L: CHH
1990-11-14 | w: NJN | L: MIL
1990-11-14 | w: CLE | L: IND
1990-11-14 | w: LAC | L: PHX
1990-11-14 | w: MIA | L: DAL
1990-11-15 | w: GOS | L: CHI
1990-11-15 | w: LAL | L: HOU
1990-11-15 | w: ORL | L: UTH
1990-11-15 | w: POR | L: NYK
1990-11-15 | w: SAN | L: SAC
1990-11-15 | w: DEN | L: MIN
1990-11-16 | w: CHH | L: ATL
1990-11-16 | w: PHL | L: WAS
1990-11-16 | w: PHX | L: LAC
1990-11-16 | w: BOS | L: UTH
1990-11-16 | w: DET | L: NJN
1990-11-16 | w: CLE | L: MIL
1990-11-16 | w: IND | L: MIA
1990-11-16 | w: DAL | L: LAL
1990-11-17 | w: GOS | L: SAC
1990-11-17 | w: DET | L: ATL
1990-11-17 | w: BOS | L: WAS
1990-11-17 | w: CHI | L: SEA
1990-11-17 | w: HOU | L: MIA
1990-11-17 | w: MIL | L: NJN
1990-11-17 | w: SAN | L: PHX
