============ Start of Season ============
1995-11-03 | w: LAL | L: DEN
1995-11-03 | w: LAC | L: PHX
1995-11-03 | w: SAC | L: MIN
1995-11-03 | w: CHI | L: CHH
1995-11-03 | w: DAL | L: SAN
1995-11-03 | w: UTH | L: SEA
1995-11-03 | w: MIL | L: BOS
1995-11-03 | w: NYK | L: DET
1995-11-03 | w: PHL | L: WAS
1995-11-03 | w: IND | L: ATL
1995-11-03 | w: VAN | L: POR
1995-11-03 | w: HOU | L: GOS
1995-11-03 | w: TOR | L: NJN
1995-11-03 | w: ORL | L: CLE
1995-11-04 | w: CHI | L: BOS
1995-11-04 | w: NYK | L: MIL
1995-11-04 | w: SAN | L: DEN
1995-11-04 | w: IND | L: TOR
1995-11-04 | w: WAS | L: DET
1995-11-04 | w: SEA | L: LAL
1995-11-04 | w: ATL | L: ORL
1995-11-04 | w: MIA | L: CLE
1995-11-04 | w: DAL | L: GOS
1995-11-04 | w: CHH | L: PHL
1995-11-05 | w: SAC | L: LAC
1995-11-05 | w: HOU | L: PHX
1995-11-05 | w: POR | L: UTH
1995-11-05 | w: VAN | L: MIN
1995-11-06 | w: UTH | L: ATL
1995-11-06 | w: ORL | L: WAS
1995-11-07 | w: NJN | L: POR
1995-11-07 | w: CHI | L: TOR
1995-11-07 | w: GOS | L: DEN
1995-11-07 | w: PHX | L: NYK
1995-11-07 | w: SAC | L: PHL
1995-11-07 | w: HOU | L: MIL
1995-11-07 | w: IND | L: CLE
1995-11-07 | w: MIN | L: LAL
1995-11-07 | w: DAL | L: VAN
1995-11-07 | w: SEA | L: LAC
1995-11-07 | w: CHH | L: DET
1995-11-08 | w: ATL | L: LAC
1995-11-08 | w: SAN | L: VAN
1995-11-08 | w: SEA | L: DEN
1995-11-08 | w: UTH | L: LAL
1995-11-08 | w: DET | L: POR
1995-11-08 | w: BOS | L: PHX
1995-11-08 | w: WAS | L: CHH
1995-11-08 | w: MIA | L: HOU
1995-11-08 | w: ORL | L: NJN
1995-11-08 | w: SAC | L: TOR
1995-11-09 | w: NYK | L: IND
1995-11-09 | w: ATL | L: GOS
1995-11-09 | w: CHI | L: CLE
1995-11-09 | w: DAL | L: MIL
1995-11-10 | w: LAL | L: SEA
1995-11-10 | w: SAN | L: MIL
1995-11-10 | w: DET | L: CLE
1995-11-10 | w: PHL | L: CHH
1995-11-10 | w: UTH | L: DEN
1995-11-10 | w: ORL | L: BOS
1995-11-10 | w: NYK | L: WAS
1995-11-10 | w: SAC | L: IND
1995-11-10 | w: POR | L: MIN
1995-11-10 | w: LAC | L: VAN
1995-11-10 | w: MIA | L: NJN
1995-11-10 | w: PHX | L: TOR
1995-11-11 | w: GOS | L: LAL
1995-11-11 | w: CHI | L: POR
1995-11-11 | w: NJN | L: SAC
1995-11-11 | w: HOU | L: MIN
1995-11-11 | w: ATL | L: DAL
1995-11-11 | w: SEA | L: VAN
1995-11-11 | w: ORL | L: MIA
1995-11-11 | w: CHH | L: TOR
1995-11-12 | w: LAC | L: DEN
1995-11-12 | w: NYK | L: UTH
1995-11-12 | w: PHX | L: GOS
1995-11-12 | w: SAN | L: CLE
1995-11-13 | w: DAL | L: VAN
1995-11-13 | w: UTH | L: TOR
1995-11-14 | w: LAC | L: GOS
1995-11-14 | w: LAL | L: SAC
1995-11-14 | w: SEA | L: PHL
1995-11-14 | w: MIL | L: SAN
1995-11-14 | w: ATL | L: CHH
1995-11-14 | w: POR | L: NYK
1995-11-14 | w: ORL | L: CHI
