============ Start of Season ============
2000-10-31 | w: CLE | L: NJN
2000-10-31 | w: MIN | L: HOU
2000-10-31 | w: SAS | L: IND
2000-10-31 | w: UTA | L: LAC
2000-10-31 | w: DAL | L: MIL
2000-10-31 | w: PHI | L: NYK
2000-10-31 | w: LAL | L: POR
2000-10-31 | w: SAC | L: CHI
2000-10-31 | w: ORL | L: WAS
2000-10-31 | w: DET | L: TOR
2000-10-31 | w: CHH | L: ATL
2000-10-31 | w: VAN | L: SEA
2000-10-31 | w: GSW | L: PHX
2000-11-01 | w: UTA | L: LAL
2000-11-01 | w: MIA | L: ORL
2000-11-01 | w: PHI | L: TOR
2000-11-01 | w: SEA | L: DEN
2000-11-01 | w: CLE | L: SAC
2000-11-01 | w: BOS | L: DET
2000-11-01 | w: WAS | L: CHH
2000-11-02 | w: HOU | L: MIL
2000-11-02 | w: DEN | L: GSW
2000-11-02 | w: SAS | L: MIN
2000-11-02 | w: DAL | L: IND
2000-11-02 | w: NYK | L: ATL
2000-11-02 | w: PHX | L: POR
2000-11-02 | w: VAN | L: LAC
2000-11-03 | w: NJN | L: CHI
2000-11-03 | w: PHI | L: ORL
2000-11-03 | w: SAC | L: DET
2000-11-03 | w: CHH | L: MIA
2000-11-03 | w: BOS | L: TOR
2000-11-03 | w: NYK | L: WAS
2000-11-04 | w: IND | L: CHI
2000-11-04 | w: CHH | L: NJN
2000-11-04 | w: PHX | L: DEN
2000-11-04 | w: UTA | L: DAL
2000-11-04 | w: PHI | L: MIA
2000-11-04 | w: POR | L: SEA
2000-11-04 | w: MIL | L: DET
2000-11-04 | w: MIN | L: SAC
2000-11-04 | w: ORL | L: ATL
2000-11-04 | w: CLE | L: BOS
2000-11-04 | w: TOR | L: WAS
2000-11-04 | w: LAL | L: VAN
2000-11-04 | w: SAS | L: GSW
2000-11-04 | w: LAC | L: HOU
2000-11-05 | w: LAL | L: LAC
2000-11-05 | w: PHX | L: HOU
2000-11-06 | w: DAL | L: DEN
2000-11-06 | w: UTA | L: MIN
2000-11-06 | w: SAC | L: POR
2000-11-06 | w: ORL | L: SEA
2000-11-06 | w: VAN | L: ATL
2000-11-07 | w: HOU | L: LAL
2000-11-07 | w: WAS | L: CHI
2000-11-07 | w: POR | L: ATL
2000-11-07 | w: NYK | L: MIL
2000-11-07 | w: PHX | L: SAS
2000-11-07 | w: TOR | L: BOS
2000-11-08 | w: IND | L: MIL
2000-11-08 | w: SAS | L: LAL
2000-11-08 | w: DEN | L: MIN
2000-11-08 | w: VAN | L: DAL
2000-11-08 | w: CLE | L: NYK
2000-11-08 | w: PHI | L: DET
2000-11-08 | w: MIA | L: SEA
2000-11-08 | w: SAC | L: GSW
2000-11-08 | w: CHH | L: ORL
2000-11-08 | w: UTA | L: LAC
2000-11-08 | w: NJN | L: WAS
2000-11-09 | w: DET | L: NJN
2000-11-09 | w: HOU | L: VAN
2000-11-09 | w: POR | L: DEN
2000-11-09 | w: CHI | L: ORL
2000-11-09 | w: PHI | L: MIN
2000-11-09 | w: PHX | L: ATL
2000-11-09 | w: SEA | L: CHH
2000-11-10 | w: MIA | L: UTA
2000-11-10 | w: DAL | L: SAS
