============ Start of Season ============
2004-11-02 | w: DET | L: HOU
2004-11-02 | w: DAL | L: SAC
2004-11-02 | w: LAL | L: DEN
2004-11-03 | w: TOR | L: HOU
2004-11-03 | w: SAS | L: SAC
2004-11-03 | w: IND | L: CLE
2004-11-03 | w: WAS | L: MEM
2004-11-03 | w: MIA | L: NJN
2004-11-03 | w: PHX | L: ATL
2004-11-03 | w: UTA | L: LAL
2004-11-03 | w: DAL | L: NOH
2004-11-03 | w: POR | L: GSW
2004-11-03 | w: ORL | L: MIL
2004-11-03 | w: LAC | L: SEA
2004-11-03 | w: MIN | L: NYK
2004-11-03 | w: PHI | L: BOS
2004-11-04 | w: MIA | L: CLE
2004-11-04 | w: WAS | L: CHA
2004-11-04 | w: DEN | L: MIN
2004-11-05 | w: HOU | L: MEM
2004-11-05 | w: TOR | L: DET
2004-11-05 | w: IND | L: BOS
2004-11-05 | w: UTA | L: GSW
2004-11-05 | w: PHX | L: PHI
2004-11-05 | w: POR | L: LAC
2004-11-05 | w: SEA | L: ATL
2004-11-05 | w: SAS | L: LAL
2004-11-05 | w: NJN | L: CHI
2004-11-05 | w: ORL | L: NOH
2004-11-06 | w: HOU | L: SAC
2004-11-06 | w: MIL | L: CLE
2004-11-06 | w: DET | L: PHI
2004-11-06 | w: MIA | L: WAS
2004-11-06 | w: IND | L: CHI
2004-11-06 | w: UTA | L: DEN
2004-11-06 | w: CHA | L: ORL
2004-11-06 | w: LAC | L: GSW
2004-11-06 | w: PHX | L: NJN
2004-11-06 | w: DAL | L: MEM
2004-11-06 | w: BOS | L: NYK
2004-11-06 | w: MIN | L: NOH
2004-11-07 | w: SEA | L: SAS
2004-11-07 | w: TOR | L: POR
2004-11-07 | w: LAL | L: ATL
2004-11-08 | w: DET | L: LAC
2004-11-08 | w: DAL | L: GSW
2004-11-08 | w: UTA | L: DEN
2004-11-09 | w: MIA | L: WAS
2004-11-09 | w: SEA | L: DEN
2004-11-09 | w: CLE | L: ATL
2004-11-09 | w: IND | L: MIN
2004-11-09 | w: SAC | L: TOR
2004-11-09 | w: PHX | L: CHI
2004-11-09 | w: HOU | L: MEM
2004-11-09 | w: NJN | L: POR
2004-11-09 | w: ORL | L: DAL
2004-11-09 | w: LAL | L: NOH
2004-11-09 | w: NYK | L: PHI
2004-11-10 | w: MIL | L: CHA
2004-11-10 | w: SEA | L: SAC
2004-11-10 | w: CLE | L: PHX
2004-11-10 | w: PHI | L: NJN
2004-11-10 | w: LAC | L: IND
2004-11-10 | w: TOR | L: UTA
2004-11-10 | w: WAS | L: ORL
2004-11-10 | w: SAS | L: GSW
2004-11-10 | w: MEM | L: LAL
2004-11-10 | w: BOS | L: POR
2004-11-11 | w: DEN | L: DET
2004-11-11 | w: MIN | L: HOU
2004-11-11 | w: DAL | L: MIA
2004-11-12 | w: BOS | L: CHA
2004-11-12 | w: PHI | L: IND
2004-11-12 | w: SEA | L: TOR
2004-11-12 | w: ORL | L: LAL
2004-11-12 | w: NYK | L: LAC
2004-11-12 | w: ATL | L: NOH
2004-11-12 | w: MEM | L: GSW
2004-11-12 | w: SAS | L: MIA
2004-11-13 | w: UTA | L: DET
2004-11-13 | w: CLE | L: WAS
2004-11-13 | w: SAC | L: PHX
2004-11-13 | w: SAS | L: ATL
2004-11-13 | w: DAL | L: NJN
2004-11-13 | w: LAC | L: CHI
2004-11-13 | w: POR | L: TOR
2004-11-13 | w: GSW | L: CHA
2004-11-13 | w: IND | L: NYK
2004-11-13 | w: MIL | L: NOH
2004-11-13 | w: LAL | L: HOU
2004-11-14 | w: SAC | L: DEN
2004-11-14 | w: PHI | L: ORL
2004-11-14 | w: DAL | L: WAS
2004-11-14 | w: SEA | L: MEM
2004-11-14 | w: MIA | L: MIL
2004-11-15 | w: HOU | L: NJN
2004-11-15 | w: CLE | L: GSW
2004-11-16 | w: ATL | L: HOU
2004-11-16 | w: SAS | L: NYK
2004-11-16 | w: LAC | L: TOR
2004-11-16 | w: PHX | L: DAL
2004-11-16 | w: SAC | L: CHI
2004-11-16 | w: MIN | L: MIA
2004-11-16 | w: SEA | L: PHI
2004-11-16 | w: UTA | L: CHA
2004-11-17 | w: PHX | L: NOH
2004-11-17 | w: SEA | L: NJN
2004-11-17 | w: IND | L: ATL
2004-11-17 | w: DEN | L: TOR
2004-11-17 | w: DET | L: MIN
2004-11-17 | w: WAS | L: BOS
2004-11-17 | w: GSW | L: CHI
2004-11-17 | w: MEM | L: POR
2004-11-17 | w: LAL | L: LAC
2004-11-17 | w: ORL | L: UTA
2004-11-17 | w: MIA | L: MIL
2004-11-18 | w: CLE | L: CHA
2004-11-18 | w: SAS | L: PHI
2004-11-18 | w: NYK | L: HOU
2004-11-19 | w: IND | L: DET
2004-11-19 | w: SAC | L: MEM
2004-11-19 | w: DEN | L: CHI
2004-11-19 | w: POR | L: MIL
2004-11-19 | w: PHX | L: LAL
2004-11-19 | w: DAL | L: NYK
2004-11-19 | w: MIA | L: UTA
2004-11-19 | w: SAS | L: BOS
2004-11-19 | w: SEA | L: TOR
2004-11-20 | w: HOU | L: LAC
2004-11-20 | w: WAS | L: NJN
2004-11-20 | w: ORL | L: IND
2004-11-20 | w: UTA | L: ATL
2004-11-20 | w: MEM | L: GSW
2004-11-20 | w: CLE | L: CHA
2004-11-20 | w: MIN | L: NOH
2004-11-21 | w: DET | L: CHA
2004-11-21 | w: HOU | L: POR
2004-11-21 | w: BOS | L: SEA
2004-11-21 | w: PHX | L: LAC
2004-11-21 | w: NYK | L: CLE
2004-11-21 | w: DEN | L: DAL
2004-11-21 | w: TOR | L: SAS
2004-11-21 | w: SAC | L: MIL
2004-11-21 | w: LAL | L: CHI
2004-11-21 | w: MIA | L: PHI
2004-11-22 | w: NOH | L: UTA
2004-11-22 | w: MIN | L: DAL
2004-11-22 | w: PHX | L: CHI
2004-11-22 | w: MEM | L: SAS
2004-11-23 | w: SAC | L: HOU
2004-11-23 | w: CHA | L: DET
2004-11-23 | w: SEA | L: MIN
2004-11-23 | w: WAS | L: TOR
2004-11-23 | w: IND | L: BOS
2004-11-23 | w: GSW | L: NOH
2004-11-23 | w: LAL | L: MIL
2004-11-23 | w: DEN | L: NJN
2004-11-23 | w: NYK | L: ATL
2004-11-23 | w: POR | L: MIA
2004-11-24 | w: CLE | L: DET
2004-11-24 | w: SEA | L: MEM
2004-11-24 | w: PHX | L: MIL
2004-11-24 | w: TOR | L: NYK
2004-11-24 | w: CHI | L: UTA
2004-11-24 | w: PHI | L: BOS
2004-11-24 | w: SAS | L: DAL
2004-11-24 | w: MIA | L: ATL
2004-11-24 | w: POR | L: ORL
2004-11-25 | w: IND | L: MIN
2004-11-25 | w: LAC | L: NJN
2004-11-26 | w: UTA | L: HOU
2004-11-26 | w: IND | L: CHA
2004-11-26 | w: PHI | L: WAS
2004-11-26 | w: CLE | L: BOS
2004-11-26 | w: SAC | L: LAL
2004-11-26 | w: SAS | L: DEN
2004-11-26 | w: DET | L: MIA
2004-11-26 | w: PHX | L: NOH
2004-11-26 | w: LAC | L: GSW
2004-11-26 | w: ORL | L: ATL
2004-11-26 | w: DAL | L: POR
2004-11-26 | w: MIN | L: MEM
2004-11-26 | w: SEA | L: NJN
2004-11-27 | w: MIL | L: DET
2004-11-27 | w: CHA | L: ATL
2004-11-27 | w: SAS | L: UTA
2004-11-27 | w: CLE | L: CHI
2004-11-27 | w: DEN | L: HOU
2004-11-27 | w: DAL | L: MEM
2004-11-27 | w: NYK | L: TOR
2004-11-27 | w: ORL | L: PHI
2004-11-28 | w: WAS | L: TOR
2004-11-28 | w: SEA | L: IND
2004-11-28 | w: POR | L: NJN
2004-11-28 | w: MIN | L: SAC
2004-11-28 | w: LAL | L: NOH
2004-11-28 | w: LAC | L: GSW
2004-11-28 | w: MIA | L: BOS
2004-11-29 | w: LAC | L: CLE
2004-11-29 | w: DEN | L: NOH
2004-11-29 | w: BOS | L: ORL
2004-11-30 | w: DET | L: HOU
2004-11-30 | w: POR | L: SEA
2004-11-30 | w: PHX | L: UTA
2004-11-30 | w: NYK | L: ATL
2004-11-30 | w: SAS | L: DAL
2004-11-30 | w: LAL | L: MIL
2004-11-30 | w: TOR | L: MIA
2004-11-30 | w: NJN | L: CHA
2004-11-30 | w: SAC | L: MEM
2004-12-01 | w: PHX | L: CLE
2004-12-01 | w: SAC | L: NOH
2004-12-01 | w: LAC | L: IND
2004-12-01 | w: WAS | L: NJN
2004-12-01 | w: SAS | L: PHI
2004-12-01 | w: SEA | L: UTA
2004-12-01 | w: CHI | L: LAL
2004-12-01 | w: ORL | L: TOR
2004-12-01 | w: NYK | L: MEM
2004-12-01 | w: BOS | L: MIL
2004-12-01 | w: MIN | L: GSW
2004-12-02 | w: DAL | L: HOU
2004-12-02 | w: CLE | L: DEN
2004-12-03 | w: SAS | L: DET
2004-12-03 | w: SAC | L: IND
2004-12-03 | w: WAS | L: ATL
2004-12-03 | w: MIN | L: PHX
2004-12-03 | w: MIA | L: CHI
2004-12-03 | w: ORL | L: NYK
2004-12-03 | w: MEM | L: PHI
2004-12-03 | w: BOS | L: TOR
2004-12-03 | w: LAL | L: GSW
2004-12-04 | w: GSW | L: IND
2004-12-04 | w: CHA | L: NYK
2004-12-04 | w: MIN | L: LAC
2004-12-04 | w: HOU | L: PHI
2004-12-04 | w: SEA | L: POR
2004-12-04 | w: WAS | L: CHI
2004-12-04 | w: DEN | L: MIA
2004-12-04 | w: CLE | L: TOR
2004-12-04 | w: DAL | L: UTA
2004-12-04 | w: ORL | L: MEM
2004-12-04 | w: SAS | L: MIL
2004-12-04 | w: DET | L: NOH
2004-12-04 | w: NJN | L: ATL
2004-12-05 | w: PHX | L: POR
2004-12-05 | w: SAC | L: BOS
2004-12-06 | w: DET | L: DAL
2004-12-06 | w: NJN | L: TOR
2004-12-06 | w: MIA | L: UTA
2004-12-06 | w: GSW | L: BOS
2004-12-06 | w: DEN | L: ORL
2004-12-06 | w: ATL | L: PHI
2004-12-06 | w: SAS | L: CHI
2004-12-06 | w: LAC | L: CHA
2004-12-07 | w: HOU | L: NOH
2004-12-07 | w: MIL | L: IND
2004-12-07 | w: CLE | L: NJN
2004-12-07 | w: PHX | L: GSW
2004-12-07 | w: MEM | L: NYK
2004-12-07 | w: DAL | L: MIN
2004-12-07 | w: SAC | L: CHA
2004-12-08 | w: SEA | L: SAS
2004-12-08 | w: PHX | L: LAL
2004-12-08 | w: CHI | L: CLE
2004-12-08 | w: MIN | L: PHI
2004-12-08 | w: MEM | L: ATL
2004-12-08 | w: DEN | L: WAS
2004-12-08 | w: DET | L: TOR
2004-12-08 | w: ORL | L: UTA
2004-12-08 | w: NYK | L: NOH
2004-12-08 | w: MIA | L: MIL
2004-12-09 | w: SEA | L: DAL
2004-12-09 | w: HOU | L: SAS
2004-12-09 | w: POR | L: BOS
2004-12-10 | w: PHX | L: CHA
2004-12-10 | w: MIL | L: IND
2004-12-10 | w: MIN | L: SAC
2004-12-10 | w: NJN | L: NOH
2004-12-10 | w: ATL | L: DET
2004-12-10 | w: WAS | L: NYK
2004-12-10 | w: DEN | L: TOR
2004-12-10 | w: PHI | L: CHI
2004-12-10 | w: ORL | L: GSW
2004-12-10 | w: MIA | L: MEM
2004-12-10 | w: UTA | L: POR
2004-12-11 | w: MEM | L: DET
2004-12-11 | w: SAC | L: IND
2004-12-11 | w: SAS | L: CLE
2004-12-11 | w: CHI | L: MIN
2004-12-11 | w: NJN | L: ATL
2004-12-11 | w: LAL | L: LAC
2004-12-11 | w: DAL | L: HOU
2004-12-11 | w: BOS | L: SEA
2004-12-12 | w: GSW | L: CHA
2004-12-12 | w: PHI | L: MIL
2004-12-12 | w: WAS | L: NOH
2004-12-12 | w: POR | L: UTA
2004-12-12 | w: MIA | L: TOR
2004-12-12 | w: NYK | L: DEN
2004-12-12 | w: LAL | L: ORL
2004-12-13 | w: MIA | L: WAS
2004-12-13 | w: PHX | L: ORL
2004-12-13 | w: BOS | L: LAC
2004-12-13 | w: CLE | L: MEM
2004-12-13 | w: DAL | L: CHI
2004-12-14 | w: IND | L: ATL
2004-12-14 | w: SAC | L: MIL
2004-12-14 | w: CHA | L: NOH
2004-12-14 | w: GSW | L: DAL
2004-12-14 | w: SEA | L: LAL
2004-12-14 | w: PHI | L: DEN
2004-12-14 | w: UTA | L: LAC
2004-12-14 | w: MIN | L: POR
2004-12-14 | w: NYK | L: NJN
2004-12-15 | w: DET | L: NYK
2004-12-15 | w: MIA | L: WAS
2004-12-15 | w: HOU | L: ATL
2004-12-15 | w: PHX | L: UTA
2004-12-15 | w: TOR | L: MIN
2004-12-15 | w: CLE | L: POR
2004-12-15 | w: SAS | L: ORL
2004-12-15 | w: NOH | L: GSW
2004-12-15 | w: DEN | L: BOS
2004-12-15 | w: CHI | L: MEM
2004-12-16 | w: DET | L: CLE
2004-12-16 | w: LAL | L: SAC
2004-12-16 | w: CHI | L: MIL
2004-12-17 | w: WAS | L: LAL
2004-12-17 | w: PHX | L: SEA
2004-12-17 | w: IND | L: TOR
2004-12-17 | w: POR | L: ATL
2004-12-17 | w: HOU | L: GSW
2004-12-17 | w: NYK | L: PHI
2004-12-17 | w: MIA | L: DEN
2004-12-17 | w: SAS | L: NOH
2004-12-17 | w: MEM | L: NJN
2004-12-17 | w: BOS | L: UTA
2004-12-17 | w: MIN | L: LAC
2004-12-18 | w: CHA | L: HOU
2004-12-18 | w: PHX | L: WAS
2004-12-18 | w: CHI | L: IND
2004-12-18 | w: BOS | L: CLE
2004-12-18 | w: POR | L: DET
2004-12-18 | w: SAS | L: GSW
2004-12-18 | w: DAL | L: ATL
