============ Start of Season ============
2007-10-30 | w: UTA | L: GSW
2007-10-30 | w: SAS | L: POR
2007-10-30 | w: HOU | L: LAL
2007-10-31 | w: NJN | L: CHI
2007-10-31 | w: DAL | L: CLE
2007-10-31 | w: ORL | L: MIL
2007-10-31 | w: IND | L: WAS
2007-10-31 | w: DEN | L: SEA
2007-10-31 | w: NOH | L: SAC
2007-10-31 | w: TOR | L: PHI
2007-10-31 | w: SAS | L: MEM
2007-11-01 | w: DET | L: MIA
2007-11-01 | w: HOU | L: UTA
2007-11-01 | w: PHX | L: SEA
2007-11-02 | w: SAS | L: SAC
2007-11-02 | w: PHI | L: CHI
2007-11-02 | w: LAL | L: PHX
2007-11-02 | w: BOS | L: WAS
2007-11-02 | w: TOR | L: NJN
2007-11-02 | w: CLE | L: NYK
2007-11-02 | w: DET | L: ORL
2007-11-02 | w: LAC | L: GSW
2007-11-02 | w: IND | L: MIA
2007-11-02 | w: ATL | L: DAL
2007-11-02 | w: DEN | L: MIN
2007-11-02 | w: NOH | L: POR
2007-11-02 | w: CHA | L: MIL
2007-11-03 | w: NJN | L: PHI
2007-11-03 | w: HOU | L: POR
2007-11-03 | w: UTA | L: GSW
2007-11-03 | w: MIL | L: CHI
2007-11-03 | w: DAL | L: SAC
2007-11-03 | w: ORL | L: WAS
2007-11-03 | w: IND | L: MEM
2007-11-04 | w: LAL | L: UTA
2007-11-04 | w: NYK | L: MIN
2007-11-04 | w: PHX | L: CLE
2007-11-04 | w: DET | L: ATL
2007-11-04 | w: LAC | L: SEA
2007-11-04 | w: CHA | L: MIA
2007-11-04 | w: NOH | L: DEN
2007-11-04 | w: BOS | L: TOR
2007-11-05 | w: DAL | L: HOU
2007-11-06 | w: CLE | L: GSW
2007-11-06 | w: NOH | L: LAL
2007-11-06 | w: LAC | L: CHI
2007-11-06 | w: NYK | L: DEN
2007-11-06 | w: NJN | L: ATL
2007-11-06 | w: HOU | L: SAS
2007-11-06 | w: MIL | L: TOR
2007-11-06 | w: SAC | L: SEA
2007-11-06 | w: ORL | L: MIN
2007-11-06 | w: PHX | L: CHA
2007-11-07 | w: PHI | L: CHA
2007-11-07 | w: SAS | L: MIA
2007-11-07 | w: BOS | L: DEN
2007-11-07 | w: POR | L: NOH
2007-11-07 | w: UTA | L: CLE
2007-11-07 | w: LAC | L: IND
2007-11-07 | w: ATL | L: PHX
2007-11-07 | w: ORL | L: TOR
2007-11-07 | w: MEM | L: SEA
2007-11-08 | w: DAL | L: GSW
2007-11-08 | w: CHI | L: DET
2007-11-08 | w: NJN | L: WAS
2007-11-09 | w: TOR | L: PHI
2007-11-09 | w: LAL | L: MIN
2007-11-09 | w: ORL | L: NYK
2007-11-09 | w: BOS | L: ATL
2007-11-09 | w: HOU | L: MIL
2007-11-09 | w: DET | L: LAC
2007-11-09 | w: PHX | L: MIA
2007-11-09 | w: POR | L: MEM
2007-11-09 | w: CLE | L: SAC
2007-11-09 | w: SAS | L: NOH
2007-11-09 | w: DEN | L: WAS
2007-11-09 | w: CHA | L: IND
2007-11-09 | w: UTA | L: SEA
2007-11-10 | w: TOR | L: CHI
2007-11-10 | w: BOS | L: NJN
2007-11-10 | w: PHX | L: ORL
2007-11-10 | w: POR | L: DAL
2007-11-10 | w: UTA | L: MEM
2007-11-10 | w: DEN | L: IND
2007-11-10 | w: SAC | L: MIN
2007-11-11 | w: NOH | L: PHI
2007-11-11 | w: SAS | L: MIL
2007-11-11 | w: MIA | L: NYK
2007-11-11 | w: CLE | L: LAC
2007-11-11 | w: WAS | L: ATL
2007-11-11 | w: HOU | L: CHA
2007-11-11 | w: DET | L: SEA
2007-11-12 | w: NOH | L: NJN
2007-11-12 | w: UTA | L: SAC
2007-11-12 | w: DEN | L: CLE
2007-11-13 | w: SAS | L: LAL
2007-11-13 | w: PHX | L: NYK
2007-11-13 | w: ORL | L: SEA
2007-11-13 | w: POR | L: DET
2007-11-13 | w: BOS | L: IND
2007-11-13 | w: DAL | L: PHI
2007-11-13 | w: MEM | L: HOU
2007-11-13 | w: CHA | L: MIA
2007-11-14 | w: DET | L: GSW
2007-11-14 | w: BOS | L: NJN
2007-11-14 | w: ORL | L: CLE
2007-11-14 | w: LAL | L: HOU
2007-11-14 | w: LAC | L: NYK
2007-11-14 | w: SEA | L: MIA
2007-11-14 | w: ATL | L: CHA
2007-11-14 | w: MIL | L: MEM
2007-11-14 | w: DEN | L: POR
2007-11-14 | w: MIN | L: SAC
2007-11-14 | w: NOH | L: PHI
2007-11-14 | w: UTA | L: TOR
2007-11-14 | w: WAS | L: IND
2007-11-15 | w: PHX | L: CHI
2007-11-15 | w: DAL | L: SAS
2007-11-16 | w: PHI | L: POR
2007-11-16 | w: GSW | L: LAC
2007-11-16 | w: SAS | L: HOU
2007-11-16 | w: LAL | L: DET
2007-11-16 | w: BOS | L: MIA
2007-11-16 | w: ORL | L: NJN
2007-11-16 | w: CLE | L: UTA
2007-11-16 | w: SEA | L: ATL
2007-11-16 | w: SAC | L: NYK
2007-11-16 | w: WAS | L: MIN
2007-11-16 | w: TOR | L: IND
2007-11-16 | w: NOH | L: MEM
2007-11-17 | w: MIA | L: NJN
2007-11-17 | w: PHX | L: HOU
2007-11-17 | w: CHI | L: LAC
2007-11-17 | w: IND | L: UTA
2007-11-17 | w: MIL | L: ATL
2007-11-17 | w: DAL | L: MEM
2007-11-17 | w: DEN | L: NYK
2007-11-17 | w: NOH | L: MIN
2007-11-17 | w: WAS | L: POR
2007-11-17 | w: CHA | L: SEA
2007-11-18 | w: LAL | L: CHI
2007-11-18 | w: ORL | L: BOS
2007-11-18 | w: SAC | L: DET
2007-11-18 | w: GSW | L: TOR
2007-11-19 | w: UTA | L: NJN
2007-11-19 | w: ORL | L: NOH
2007-11-19 | w: MEM | L: SEA
2007-11-19 | w: CHA | L: POR
2007-11-20 | w: GSW | L: NYK
2007-11-20 | w: MIL | L: CLE
2007-11-20 | w: LAL | L: IND
2007-11-20 | w: SAS | L: ATL
2007-11-20 | w: DAL | L: TOR
2007-11-20 | w: PHX | L: SAC
2007-11-20 | w: DEN | L: CHI
2007-11-20 | w: WAS | L: PHI
2007-11-21 | w: SAS | L: ORL
2007-11-21 | w: PHX | L: SAC
2007-11-21 | w: BOS | L: GSW
2007-11-21 | w: DAL | L: HOU
2007-11-21 | w: LAC | L: DEN
2007-11-21 | w: DET | L: NYK
2007-11-21 | w: ATL | L: MIA
2007-11-21 | w: NJN | L: POR
2007-11-21 | w: MIL | L: LAL
2007-11-21 | w: CLE | L: MIN
2007-11-21 | w: IND | L: NOH
2007-11-21 | w: TOR | L: MEM
2007-11-21 | w: WAS | L: CHA
