============ Start of Season ============
2011-12-25 | w: LAC | L: GSW
2011-12-25 | w: CHI | L: LAL
2011-12-25 | w: NYK | L: BOS
2011-12-25 | w: MIA | L: DAL
2011-12-25 | w: OKC | L: ORL
2011-12-26 | w: GSW | L: CHI
2011-12-26 | w: SAS | L: MEM
2011-12-26 | w: NOH | L: PHX
2011-12-26 | w: TOR | L: CLE
2011-12-26 | w: ORL | L: HOU
2011-12-26 | w: POR | L: PHI
2011-12-26 | w: IND | L: DET
2011-12-26 | w: DEN | L: DAL
2011-12-26 | w: SAC | L: LAL
2011-12-26 | w: OKC | L: MIN
2011-12-26 | w: NJN | L: WAS
2011-12-26 | w: CHA | L: MIL
2011-12-27 | w: LAL | L: UTA
2011-12-27 | w: ATL | L: NJN
2011-12-27 | w: MIA | L: BOS
2011-12-27 | w: POR | L: SAC
2011-12-27 | w: MIL | L: MIN
2011-12-28 | w: GSW | L: NYK
2011-12-28 | w: SAS | L: LAC
2011-12-28 | w: PHI | L: PHX
2011-12-28 | w: CLE | L: DET
2011-12-28 | w: ATL | L: WAS
2011-12-28 | w: DEN | L: UTA
2011-12-28 | w: NOH | L: BOS
2011-12-28 | w: IND | L: TOR
2011-12-28 | w: OKC | L: MEM
2011-12-28 | w: MIA | L: CHA
2011-12-29 | w: LAL | L: NYK
2011-12-29 | w: HOU | L: SAS
2011-12-29 | w: ORL | L: NJN
2011-12-29 | w: POR | L: DEN
2011-12-29 | w: CHI | L: SAC
2011-12-29 | w: OKC | L: DAL
2011-12-30 | w: BOS | L: DET
2011-12-30 | w: CHI | L: LAC
2011-12-30 | w: UTA | L: PHI
2011-12-30 | w: IND | L: CLE
2011-12-30 | w: ATL | L: NJN
2011-12-30 | w: MIL | L: WAS
2011-12-30 | w: DAL | L: TOR
2011-12-30 | w: MIA | L: MIN
2011-12-30 | w: PHX | L: NOH
2011-12-30 | w: MEM | L: HOU
2011-12-30 | w: ORL | L: CHA
2011-12-31 | w: PHI | L: GSW
2011-12-31 | w: SAS | L: UTA
2011-12-31 | w: LAL | L: DEN
2011-12-31 | w: HOU | L: ATL
2011-12-31 | w: DET | L: IND
2011-12-31 | w: NYK | L: SAC
2011-12-31 | w: OKC | L: PHX
2012-01-01 | w: CHI | L: MEM
2012-01-01 | w: CLE | L: NJN
2012-01-01 | w: LAC | L: POR
2012-01-01 | w: ORL | L: TOR
2012-01-01 | w: MIA | L: CHA
2012-01-01 | w: DEN | L: LAL
2012-01-01 | w: SAC | L: NOH
2012-01-01 | w: MIN | L: DAL
2012-01-01 | w: BOS | L: WAS
2012-01-02 | w: TOR | L: NYK
2012-01-02 | w: PHX | L: GSW
2012-01-02 | w: BOS | L: WAS
2012-01-02 | w: IND | L: NJN
2012-01-02 | w: DET | L: ORL
2012-01-02 | w: ATL | L: MIA
2012-01-02 | w: UTA | L: NOH
2012-01-02 | w: DAL | L: OKC
2012-01-02 | w: MIN | L: SAS
2012-01-02 | w: DEN | L: MIL
2012-01-03 | w: LAL | L: HOU
2012-01-03 | w: CHI | L: ATL
2012-01-03 | w: CLE | L: CHA
2012-01-03 | w: UTA | L: MIL
2012-01-03 | w: MEM | L: SAC
2012-01-03 | w: POR | L: OKC
2012-01-04 | w: SAS | L: GSW
2012-01-04 | w: CHA | L: NYK
2012-01-04 | w: BOS | L: NJN
2012-01-04 | w: ORL | L: WAS
2012-01-04 | w: LAC | L: HOU
2012-01-04 | w: CHI | L: DET
2012-01-04 | w: MIA | L: IND
2012-01-04 | w: DAL | L: PHX
