============ Start of Season ============
1969-10-14 | w: NYK | L: OKC
1969-10-15 | w: ATL | L: OKC
1969-10-15 | w: WAS | L: CHI
1969-10-15 | w: NYK | L: SAC
1969-10-16 | w: PHX | L: HOU
1969-10-17 | w: SAC | L: BOS
1969-10-17 | w: NYK | L: CHI
1969-10-17 | w: PHL | L: LAL
1969-10-18 | w: ATL | L: PHX
1969-10-18 | w: NYK | L: LAL
1969-10-18 | w: WAS | L: BOS
1969-10-18 | w: MIL | L: DET
1969-10-18 | w: PHL | L: SAC
1969-10-18 | w: CHI | L: OKC
1969-10-18 | w: HOU | L: GSW
1969-10-19 | w: MIL | L: OKC
1969-10-21 | w: NYK | L: PHX
1969-10-21 | w: DET | L: BOS
1969-10-21 | w: LAL | L: WAS
1969-10-22 | w: GSW | L: ATL
1969-10-22 | w: MIL | L: HOU
1969-10-22 | w: PHL | L: PHX
1969-10-22 | w: LAL | L: SAC
1969-10-23 | w: GSW | L: NYK
1969-10-24 | w: LAL | L: MIL
1969-10-24 | w: ATL | L: BOS
1969-10-24 | w: NYK | L: DET
1969-10-24 | w: CHI | L: PHX
1969-10-24 | w: WAS | L: SAC
1969-10-25 | w: DET | L: ATL
1969-10-25 | w: GSW | L: MIL
1969-10-25 | w: NYK | L: WAS
1969-10-25 | w: LAL | L: OKC
1969-10-25 | w: PHX | L: HOU
1969-10-25 | w: SAC | L: PHL
1969-10-26 | w: LAL | L: CHI
1969-10-26 | w: MIL | L: PHX
1969-10-28 | w: NYK | L: ATL
1969-10-28 | w: WAS | L: DET
1969-10-28 | w: CHI | L: OKC
1969-10-28 | w: BOS | L: MIL
1969-10-29 | w: ATL | L: HOU
1969-10-29 | w: CHI | L: GSW
1969-10-29 | w: PHL | L: WAS
1969-10-30 | w: NYK | L: HOU
1969-10-30 | w: MIL | L: DET
1969-10-30 | w: PHX | L: SAC
1969-10-31 | w: CHI | L: WAS
1969-10-31 | w: BOS | L: HOU
1969-10-31 | w: OKC | L: SAC
1969-10-31 | w: MIL | L: PHL
1969-11-01 | w: GSW | L: SAC
1969-11-01 | w: NYK | L: MIL
1969-11-01 | w: DET | L: HOU
1969-11-01 | w: BOS | L: PHL
1969-11-01 | w: ATL | L: WAS
1969-11-02 | w: SAC | L: LAL
1969-11-02 | w: ATL | L: OKC
1969-11-03 | w: NYK | L: MIL
1969-11-04 | w: PHL | L: CHI
1969-11-04 | w: OKC | L: DET
1969-11-04 | w: WAS | L: GSW
1969-11-04 | w: NYK | L: PHX
1969-11-05 | w: ATL | L: BOS
1969-11-05 | w: WAS | L: PHL
1969-11-05 | w: SAC | L: HOU
1969-11-06 | w: GSW | L: SAC
1969-11-06 | w: ATL | L: CHI
1969-11-07 | w: PHX | L: LAL
1969-11-07 | w: GSW | L: BOS
1969-11-07 | w: WAS | L: OKC
1969-11-07 | w: NYK | L: HOU
1969-11-07 | w: DET | L: PHL
1969-11-08 | w: ATL | L: GSW
1969-11-08 | w: CHI | L: BOS
1969-11-08 | w: MIL | L: DET
1969-11-08 | w: OKC | L: PHL
1969-11-08 | w: SAC | L: WAS
1969-11-09 | w: NYK | L: LAL
1969-11-09 | w: PHX | L: DET
1969-11-09 | w: WAS | L: MIL
1969-11-10 | w: ATL | L: CHI
1969-11-10 | w: HOU | L: GSW
1969-11-11 | w: DET | L: LAL
1969-11-11 | w: ATL | L: PHL
1969-11-11 | w: MIL | L: BOS
1969-11-11 | w: NYK | L: GSW
1969-11-11 | w: CHI | L: OKC
1969-11-12 | w: HOU | L: DET
1969-11-12 | w: SAC | L: BOS
1969-11-13 | w: OKC | L: DET
1969-11-13 | w: PHL | L: PHX
1969-11-13 | w: NYK | L: CHI
1969-11-14 | w: LAL | L: PHX
1969-11-14 | w: WAS | L: BOS
1969-11-14 | w: ATL | L: GSW
1969-11-14 | w: HOU | L: OKC
1969-11-14 | w: MIL | L: CHI
1969-11-15 | w: NYK | L: BOS
1969-11-15 | w: WAS | L: MIL
1969-11-15 | w: OKC | L: PHL
1969-11-15 | w: HOU | L: ATL
1969-11-15 | w: CHI | L: GSW
1969-11-15 | w: PHX | L: LAL
1969-11-15 | w: DET | L: SAC
1969-11-16 | w: LAL | L: PHL
1969-11-16 | w: PHX | L: ATL
1969-11-16 | w: MIL | L: GSW
1969-11-18 | w: GSW | L: MIL
1969-11-18 | w: CHI | L: PHL
1969-11-18 | w: BOS | L: PHX
1969-11-18 | w: LAL | L: DET
1969-11-18 | w: WAS | L: HOU
1969-11-18 | w: NYK | L: SAC
1969-11-19 | w: BOS | L: CHI
1969-11-19 | w: WAS | L: PHX
1969-11-19 | w: ATL | L: OKC
1969-11-19 | w: HOU | L: PHL
1969-11-19 | w: LAL | L: SAC
1969-11-21 | w: LAL | L: HOU
1969-11-21 | w: GSW | L: BOS
1969-11-21 | w: ATL | L: DET
1969-11-21 | w: WAS | L: PHX
1969-11-21 | w: MIL | L: OKC
1969-11-21 | w: NYK | L: PHL
1969-11-21 | w: SAC | L: CHI
1969-11-22 | w: PHL | L: ATL
1969-11-22 | w: LAL | L: GSW
1969-11-22 | w: NYK | L: PHX
1969-11-22 | w: HOU | L: BOS
1969-11-22 | w: CHI | L: MIL
1969-11-23 | w: WAS | L: LAL
1969-11-23 | w: BOS | L: OKC
