============ Start of Season ============
1973-10-09 | w: ATL | L: WAS
1973-10-09 | w: NYK | L: DET
1973-10-09 | w: LAL | L: CHI
1973-10-09 | w: LAC | L: HOU
1973-10-10 | w: PHX | L: OKC
1973-10-10 | w: CHI | L: SAC
1973-10-10 | w: HOU | L: PHL
1973-10-11 | w: ATL | L: LAL
1973-10-12 | w: BOS | L: LAC
1973-10-12 | w: DET | L: ATL
1973-10-12 | w: OKC | L: WAS
1973-10-12 | w: MIL | L: PHX
1973-10-12 | w: HOU | L: CLE
1973-10-12 | w: SAC | L: CHI
1973-10-13 | w: SAC | L: ATL
1973-10-13 | w: MIL | L: GOS
1973-10-13 | w: HOU | L: NYK
1973-10-13 | w: CHI | L: DET
1973-10-13 | w: POR | L: WAS
1973-10-13 | w: BOS | L: PHL
1973-10-13 | w: LAL | L: LAC
1973-10-14 | w: OKC | L: MIL
1973-10-14 | w: GOS | L: PHX
1973-10-14 | w: DET | L: CLE
1973-10-16 | w: NYK | L: LAC
1973-10-16 | w: PHL | L: HOU
1973-10-17 | w: SAC | L: OKC
1973-10-17 | w: MIL | L: GOS
1973-10-19 | w: LAL | L: OKC
1973-10-19 | w: BOS | L: PHL
1973-10-19 | w: MIL | L: DET
1973-10-19 | w: CHI | L: WAS
1973-10-19 | w: POR | L: SAC
1973-10-19 | w: NYK | L: CLE
1973-10-20 | w: GOS | L: SAC
1973-10-20 | w: CHI | L: NYK
1973-10-20 | w: WAS | L: BOS
1973-10-20 | w: DET | L: HOU
1973-10-20 | w: PHX | L: ATL
1973-10-20 | w: MIL | L: CLE
1973-10-20 | w: POR | L: OKC
1973-10-20 | w: LAC | L: PHL
1973-10-21 | w: ATL | L: LAL
1973-10-21 | w: CHI | L: WAS
1973-10-21 | w: OKC | L: PHX
1973-10-23 | w: GOS | L: PHX
1973-10-23 | w: WAS | L: NYK
1973-10-23 | w: LAL | L: HOU
1973-10-23 | w: CLE | L: POR
1973-10-24 | w: HOU | L: BOS
1973-10-24 | w: ATL | L: OKC
1973-10-24 | w: DET | L: PHX
1973-10-24 | w: MIL | L: LAC
1973-10-24 | w: PHL | L: POR
1973-10-24 | w: LAL | L: SAC
1973-10-26 | w: LAL | L: DET
1973-10-26 | w: BOS | L: NYK
1973-10-26 | w: GOS | L: OKC
1973-10-26 | w: CHI | L: HOU
1973-10-26 | w: POR | L: ATL
1973-10-26 | w: MIL | L: PHL
1973-10-26 | w: SAC | L: PHX
1973-10-26 | w: LAC | L: CLE
1973-10-27 | w: ATL | L: GOS
1973-10-27 | w: NYK | L: PHL
1973-10-27 | w: CHI | L: HOU
1973-10-27 | w: MIL | L: PHX
1973-10-27 | w: DET | L: POR
1973-10-27 | w: LAC | L: CLE
1973-10-28 | w: LAL | L: POR
1973-10-28 | w: WAS | L: PHL
1973-10-28 | w: DET | L: OKC
1973-10-28 | w: CLE | L: BOS
1973-10-28 | w: LAC | L: SAC
1973-10-30 | w: ATL | L: PHX
1973-10-30 | w: POR | L: LAL
1973-10-30 | w: MIL | L: SAC
1973-10-30 | w: LAC | L: OKC
1973-10-31 | w: BOS | L: CLE
1973-10-31 | w: DET | L: OKC
1973-10-31 | w: NYK | L: HOU
1973-11-02 | w: NYK | L: LAL
