============ Start of Season ============
1981-10-30 | w: BOS | L: WAS
1981-10-30 | w: DET | L: MIL
1981-10-30 | w: POR | L: PHX
1981-10-30 | w: SAN | L: SAC
1981-10-30 | w: UTH | L: DAL
1981-10-30 | w: IND | L: CHI
1981-10-30 | w: DEN | L: GOS
1981-10-30 | w: NYK | L: BKN
1981-10-30 | w: HOU | L: LAL
1981-10-30 | w: PHL | L: CLE
1981-10-31 | w: GOS | L: UTH
1981-10-31 | w: IND | L: NYK
1981-10-31 | w: OKC | L: PHX
1981-10-31 | w: DET | L: CHI
1981-10-31 | w: MIL | L: BOS
1981-10-31 | w: SAN | L: DEN
1981-10-31 | w: LAC | L: HOU
1981-10-31 | w: DAL | L: SAC
1981-10-31 | w: PHL | L: ATL
1981-11-01 | w: POR | L: OKC
1981-11-03 | w: HOU | L: NYK
1981-11-03 | w: CHI | L: ATL
1981-11-03 | w: PHX | L: SAN
1981-11-03 | w: POR | L: LAL
1981-11-03 | w: CLE | L: DAL
1981-11-03 | w: PHL | L: WAS
1981-11-04 | w: BOS | L: CHI
1981-11-04 | w: POR | L: GOS
1981-11-04 | w: LAL | L: OKC
1981-11-04 | w: SAC | L: LAC
1981-11-04 | w: SAN | L: CLE
1981-11-04 | w: DEN | L: HOU
1981-11-04 | w: ATL | L: BKN
1981-11-04 | w: PHL | L: IND
1981-11-05 | w: DET | L: BKN
1981-11-05 | w: PHX | L: DAL
1981-11-05 | w: MIL | L: WAS
1981-11-05 | w: UTH | L: GOS
1981-11-06 | w: NYK | L: DAL
1981-11-06 | w: PHX | L: LAL
1981-11-06 | w: BOS | L: IND
1981-11-06 | w: WAS | L: DET
1981-11-06 | w: DEN | L: OKC
1981-11-06 | w: CHI | L: LAC
1981-11-06 | w: POR | L: UTH
1981-11-06 | w: SAC | L: HOU
1981-11-06 | w: ATL | L: PHL
1981-11-07 | w: BOS | L: DET
1981-11-07 | w: GOS | L: DEN
1981-11-07 | w: CLE | L: HOU
1981-11-07 | w: CHI | L: BKN
1981-11-07 | w: MIL | L: LAC
1981-11-07 | w: SAN | L: NYK
1981-11-07 | w: UTH | L: PHX
1981-11-08 | w: LAL | L: DAL
1981-11-08 | w: POR | L: DEN
1981-11-08 | w: BKN | L: IND
1981-11-09 | w: CLE | L: CHI
1981-11-10 | w: ATL | L: MIL
1981-11-10 | w: OKC | L: GOS
1981-11-10 | w: NYK | L: BKN
1981-11-10 | w: BOS | L: WAS
1981-11-10 | w: CHI | L: SAC
1981-11-10 | w: POR | L: DAL
1981-11-10 | w: SAN | L: LAL
1981-11-10 | w: PHX | L: DEN
1981-11-10 | w: IND | L: CLE
1981-11-10 | w: UTH | L: LAC
1981-11-10 | w: PHL | L: DET
1981-11-11 | w: BOS | L: SAC
1981-11-11 | w: OKC | L: DAL
1981-11-11 | w: LAL | L: HOU
1981-11-11 | w: MIL | L: BKN
1981-11-11 | w: PHL | L: CHI
1981-11-12 | w: WAS | L: ATL
1981-11-12 | w: DET | L: CLE
1981-11-12 | w: PHX | L: IND
1981-11-12 | w: LAC | L: POR
1981-11-13 | w: LAL | L: POR
1981-11-13 | w: BOS | L: BKN
1981-11-13 | w: SAN | L: OKC
