============ Start of Season ============
1982-10-29 | w: GOS | L: LAL
1982-10-29 | w: PHL | L: NYK
1982-10-29 | w: DET | L: ATL
1982-10-29 | w: OKC | L: HOU
1982-10-29 | w: BOS | L: CLE
1982-10-29 | w: SAC | L: POR
1982-10-29 | w: SAN | L: UTH
1982-10-29 | w: IND | L: WAS
1982-10-29 | w: DAL | L: DEN
1982-10-29 | w: PHX | L: LAC
1982-10-29 | w: BKN | L: CHI
1982-10-30 | w: BOS | L: ATL
1982-10-30 | w: GOS | L: HOU
1982-10-30 | w: WAS | L: CHI
1982-10-30 | w: MIL | L: NYK
1982-10-30 | w: SAN | L: POR
1982-10-30 | w: UTH | L: DAL
1982-10-30 | w: PHL | L: BKN
1982-10-31 | w: MIL | L: CLE
1982-10-31 | w: DEN | L: PHX
1982-10-31 | w: DET | L: IND
1982-10-31 | w: OKC | L: LAC
1982-11-02 | w: ATL | L: WAS
1982-11-02 | w: DAL | L: HOU
1982-11-02 | w: PHX | L: POR
1982-11-02 | w: DET | L: CLE
1982-11-02 | w: SAC | L: MIL
1982-11-02 | w: OKC | L: UTH
1982-11-02 | w: BKN | L: LAC
1982-11-03 | w: BOS | L: IND
1982-11-03 | w: GOS | L: NYK
1982-11-03 | w: DET | L: CHI
1982-11-03 | w: WAS | L: BKN
1982-11-03 | w: OKC | L: SAN
1982-11-03 | w: DAL | L: HOU
1982-11-03 | w: LAL | L: DEN
1982-11-03 | w: PHL | L: LAC
1982-11-04 | w: MIL | L: ATL
1982-11-04 | w: LAL | L: DEN
1982-11-04 | w: CHI | L: CLE
1982-11-04 | w: PHX | L: UTH
1982-11-04 | w: SAN | L: POR
1982-11-05 | w: OKC | L: NYK
1982-11-05 | w: BOS | L: WAS
1982-11-05 | w: SAN | L: GOS
1982-11-05 | w: MIL | L: LAC
1982-11-05 | w: BKN | L: CLE
1982-11-05 | w: DAL | L: SAC
1982-11-05 | w: PHL | L: DET
1982-11-06 | w: ATL | L: DET
1982-11-06 | w: CHI | L: LAC
1982-11-06 | w: POR | L: NYK
1982-11-06 | w: LAL | L: UTH
1982-11-06 | w: DEN | L: GOS
1982-11-06 | w: PHX | L: DAL
1982-11-06 | w: WAS | L: IND
1982-11-06 | w: PHL | L: BOS
1982-11-07 | w: LAL | L: POR
1982-11-07 | w: OKC | L: MIL
1982-11-07 | w: SAN | L: PHX
1982-11-07 | w: BOS | L: BKN
1982-11-09 | w: LAL | L: SAC
1982-11-09 | w: BKN | L: NYK
1982-11-09 | w: DET | L: WAS
1982-11-09 | w: PHX | L: HOU
1982-11-09 | w: OKC | L: CHI
1982-11-09 | w: POR | L: GOS
1982-11-09 | w: SAN | L: UTH
1982-11-09 | w: ATL | L: DEN
1982-11-09 | w: IND | L: LAC
1982-11-10 | w: MIL | L: BOS
1982-11-10 | w: DET | L: IND
1982-11-10 | w: PHX | L: SAC
1982-11-10 | w: UTH | L: DEN
1982-11-10 | w: BKN | L: NYK
1982-11-10 | w: OKC | L: DAL
1982-11-10 | w: CLE | L: GOS
1982-11-10 | w: PHL | L: CHI
1982-11-11 | w: POR | L: HOU
1982-11-11 | w: LAC | L: SAN
1982-11-12 | w: LAL | L: HOU
1982-11-12 | w: BOS | L: DAL
1982-11-12 | w: DET | L: MIL
1982-11-12 | w: NYK | L: WAS
1982-11-12 | w: CHI | L: BKN
1982-11-12 | w: PHX | L: CLE
1982-11-12 | w: ATL | L: UTH
1982-11-12 | w: POR | L: DEN
1982-11-12 | w: IND | L: PHL
1982-11-13 | w: GOS | L: ATL
1982-11-13 | w: NYK | L: DET
1982-11-13 | w: OKC | L: SAN
1982-11-13 | w: IND | L: CHI
1982-11-13 | w: SAC | L: LAC
1982-11-13 | w: DEN | L: DAL
1982-11-13 | w: PHL | L: BKN
1982-11-14 | w: LAL | L: CLE
1982-11-14 | w: OKC | L: HOU
1982-11-14 | w: BOS | L: MIL
1982-11-14 | w: PHX | L: POR
1982-11-14 | w: PHL | L: WAS
1982-11-16 | w: NYK | L: HOU
1982-11-16 | w: CHI | L: GOS
1982-11-16 | w: PHX | L: LAL
1982-11-16 | w: MIL | L: IND
1982-11-16 | w: POR | L: ATL
1982-11-16 | w: SAC | L: SAN
1982-11-16 | w: DEN | L: LAC
1982-11-17 | w: BOS | L: HOU
1982-11-17 | w: SAN | L: WAS
1982-11-17 | w: OKC | L: ATL
1982-11-17 | w: UTH | L: BKN
1982-11-17 | w: DAL | L: LAL
1982-11-17 | w: IND | L: GOS
1982-11-17 | w: PHL | L: DET
1982-11-18 | w: MIL | L: NYK
1982-11-18 | w: DEN | L: PHX
1982-11-18 | w: LAC | L: CLE
