============ Start of Season ============
1985-10-25 | w: WAS | L: ATL
1985-10-25 | w: DEN | L: GOS
1985-10-25 | w: DET | L: MIL
1985-10-25 | w: LAC | L: SAC
1985-10-25 | w: HOU | L: UTH
1985-10-25 | w: CHI | L: CLE
1985-10-25 | w: BKN | L: BOS
1985-10-25 | w: POR | L: PHX
1985-10-26 | w: CHI | L: DET
1985-10-26 | w: MIL | L: ATL
1985-10-26 | w: BOS | L: CLE
1985-10-26 | w: DEN | L: SAC
1985-10-26 | w: IND | L: BKN
1985-10-26 | w: DAL | L: OKC
1985-10-26 | w: LAL | L: SAN
1985-10-26 | w: LAC | L: HOU
1985-10-26 | w: PHL | L: NYK
1985-10-27 | w: POR | L: GOS
1985-10-29 | w: ATL | L: NYK
1985-10-29 | w: CHI | L: GOS
1985-10-29 | w: DET | L: BKN
1985-10-29 | w: HOU | L: OKC
1985-10-29 | w: DEN | L: PHX
1985-10-29 | w: WAS | L: CLE
1985-10-29 | w: SAN | L: UTH
1985-10-29 | w: LAC | L: POR
1985-10-29 | w: LAL | L: DAL
1985-10-29 | w: MIL | L: PHL
1985-10-30 | w: BOS | L: MIL
1985-10-30 | w: UTH | L: SAN
1985-10-30 | w: BKN | L: IND
1985-10-30 | w: PHL | L: DET
1985-10-31 | w: GOS | L: NYK
1985-10-31 | w: CLE | L: WAS
1985-10-31 | w: LAL | L: PHX
1985-10-31 | w: SAC | L: HOU
1985-10-31 | w: DEN | L: OKC
1985-10-31 | w: LAC | L: CHI
1985-11-01 | w: BOS | L: ATL
1985-11-01 | w: DET | L: IND
1985-11-01 | w: UTH | L: PHX
1985-11-01 | w: SAN | L: DAL
1985-11-01 | w: BKN | L: PHL
1985-11-02 | w: LAL | L: GOS
1985-11-02 | w: BOS | L: WAS
1985-11-02 | w: OKC | L: CHI
1985-11-02 | w: HOU | L: SAN
1985-11-02 | w: MIL | L: BKN
1985-11-02 | w: POR | L: UTH
1985-11-02 | w: DET | L: IND
1985-11-02 | w: LAC | L: NYK
1985-11-02 | w: DAL | L: SAC
1985-11-02 | w: ATL | L: PHL
1985-11-03 | w: POR | L: NYK
1985-11-03 | w: MIL | L: CLE
1985-11-05 | w: CLE | L: LAL
1985-11-05 | w: OKC | L: NYK
1985-11-05 | w: HOU | L: POR
1985-11-05 | w: MIL | L: SAN
1985-11-05 | w: UTH | L: GOS
1985-11-05 | w: DEN | L: ATL
1985-11-05 | w: BKN | L: WAS
1985-11-06 | w: GOS | L: OKC
1985-11-06 | w: DET | L: CHI
1985-11-06 | w: SAN | L: WAS
1985-11-06 | w: ATL | L: PHX
1985-11-06 | w: POR | L: DAL
1985-11-06 | w: PHL | L: IND
1985-11-07 | w: MIL | L: NYK
1985-11-07 | w: HOU | L: LAC
1985-11-07 | w: CLE | L: SAC
1985-11-07 | w: LAL | L: UTH
1985-11-07 | w: DEN | L: DAL
1985-11-07 | w: BKN | L: CHI
1985-11-08 | w: LAL | L: DEN
1985-11-08 | w: BOS | L: PHX
1985-11-08 | w: GOS | L: ATL
1985-11-08 | w: DET | L: WAS
1985-11-08 | w: POR | L: OKC
1985-11-08 | w: SAN | L: PHL
1985-11-09 | w: CHI | L: NYK
1985-11-09 | w: BOS | L: DET
1985-11-09 | w: SAC | L: OKC
1985-11-09 | w: UTH | L: CLE
1985-11-09 | w: IND | L: PHX
1985-11-09 | w: ATL | L: LAC
1985-11-09 | w: BKN | L: MIL
1985-11-09 | w: HOU | L: DAL
1985-11-10 | w: GOS | L: SAC
1985-11-10 | w: POR | L: CLE
1985-11-10 | w: PHL | L: MIL
1985-11-11 | w: SAN | L: BKN
1985-11-12 | w: LAL | L: UTH
1985-11-12 | w: GOS | L: LAC
1985-11-12 | w: NYK | L: PHX
1985-11-12 | w: OKC | L: DAL
1985-11-12 | w: HOU | L: DEN
1985-11-12 | w: MIL | L: CHI
1985-11-12 | w: POR | L: SAC
1985-11-12 | w: DET | L: WAS
1985-11-13 | w: ATL | L: PHX
1985-11-13 | w: BOS | L: IND
1985-11-13 | w: MIL | L: DET
1985-11-13 | w: DAL | L: UTH
1985-11-13 | w: OKC | L: LAC
1985-11-13 | w: PHL | L: CHI
1985-11-14 | w: LAL | L: POR
1985-11-14 | w: HOU | L: BKN
1985-11-14 | w: SAC | L: GOS
1985-11-14 | w: DEN | L: SAN
1985-11-14 | w: CLE | L: IND
1985-11-15 | w: BOS | L: WAS
1985-11-15 | w: ATL | L: DET
1985-11-15 | w: MIL | L: CHI
1985-11-15 | w: UTH | L: POR
1985-11-15 | w: PHX | L: OKC
1985-11-15 | w: DAL | L: BKN
1985-11-15 | w: LAL | L: LAC
1985-11-16 | w: GOS | L: PHX
1985-11-16 | w: NYK | L: ATL
1985-11-16 | w: HOU | L: DAL
1985-11-16 | w: UTH | L: SAC
1985-11-16 | w: DEN | L: LAC
1985-11-16 | w: IND | L: BOS
1985-11-16 | w: CLE | L: CHI
1985-11-16 | w: SAN | L: OKC
1985-11-16 | w: WAS | L: PHL
1985-11-17 | w: LAL | L: BKN
1985-11-17 | w: MIL | L: POR
1985-11-19 | w: NYK | L: WAS
1985-11-19 | w: CHI | L: IND
1985-11-19 | w: BKN | L: POR
1985-11-19 | w: GOS | L: CLE
1985-11-19 | w: SAC | L: SAN
1985-11-19 | w: DEN | L: HOU
1985-11-19 | w: DAL | L: PHX
1985-11-20 | w: LAL | L: LAC
1985-11-20 | w: ATL | L: CHI
1985-11-20 | w: DET | L: NYK
1985-11-20 | w: WAS | L: CLE
1985-11-20 | w: MIL | L: OKC
1985-11-20 | w: HOU | L: IND
1985-11-20 | w: PHX | L: SAN
1985-11-20 | w: BOS | L: UTH
1985-11-20 | w: PHL | L: GOS
1985-11-21 | w: MIL | L: SAC
1985-11-21 | w: DEN | L: LAL
1985-11-21 | w: POR | L: LAC
1985-11-22 | w: DET | L: GOS
1985-11-22 | w: WAS | L: NYK
1985-11-22 | w: OKC | L: HOU
1985-11-22 | w: BKN | L: PHX
1985-11-22 | w: UTH | L: CLE
1985-11-22 | w: SAN | L: IND
1985-11-22 | w: BOS | L: PHL
1985-11-23 | w: UTH | L: ATL
1985-11-23 | w: BOS | L: NYK
1985-11-23 | w: CHI | L: GOS
1985-11-23 | w: LAL | L: POR
1985-11-23 | w: DEN | L: SAC
1985-11-23 | w: LAC | L: MIL
1985-11-23 | w: DAL | L: IND
1985-11-23 | w: DET | L: PHL
1985-11-24 | w: LAL | L: SAN
1985-11-24 | w: WAS | L: CHI
1985-11-24 | w: OKC | L: DEN
1985-11-24 | w: POR | L: HOU
1985-11-24 | w: CLE | L: ATL
1985-11-24 | w: BKN | L: SAC
1985-11-24 | w: MIL | L: PHX
1985-11-25 | w: UTH | L: IND
1985-11-26 | w: ATL | L: NYK
1985-11-26 | w: DET | L: CLE
1985-11-26 | w: OKC | L: LAC
1985-11-26 | w: HOU | L: GOS
1985-11-26 | w: SAC | L: PHX
