============ Start of Season ============
1992-11-06 | w: NYK | L: ATL
1992-11-06 | w: BOS | L: MIN
1992-11-06 | w: MIL | L: DET
1992-11-06 | w: OKC | L: HOU
1992-11-06 | w: BKN | L: PHL
1992-11-06 | w: SAC | L: SAN
1992-11-06 | w: ORL | L: MIA
1992-11-06 | w: CHH | L: WAS
1992-11-06 | w: LAL | L: LAC
1992-11-06 | w: CHI | L: CLE
1992-11-06 | w: GOS | L: UTH
1992-11-07 | w: OKC | L: HOU
1992-11-07 | w: PHX | L: LAC
1992-11-07 | w: DEN | L: SAN
1992-11-07 | w: ATL | L: CHI
1992-11-07 | w: NYK | L: PHL
1992-11-07 | w: MIA | L: BKN
1992-11-07 | w: DET | L: IND
1992-11-07 | w: MIL | L: BOS
1992-11-07 | w: UTH | L: DAL
1992-11-07 | w: GOS | L: MIN
1992-11-07 | w: ORL | L: WAS
1992-11-08 | w: SAC | L: LAL
1992-11-08 | w: CLE | L: CHH
1992-11-08 | w: POR | L: DEN
1992-11-09 | w: CHI | L: IND
1992-11-10 | w: LAL | L: GOS
1992-11-10 | w: SAN | L: MIL
1992-11-10 | w: NYK | L: BKN
1992-11-10 | w: CLE | L: WAS
1992-11-10 | w: CHH | L: ORL
1992-11-10 | w: MIA | L: BOS
1992-11-10 | w: POR | L: PHX
1992-11-10 | w: SAC | L: LAC
1992-11-10 | w: UTH | L: DEN
1992-11-10 | w: MIN | L: DAL
1992-11-11 | w: CHI | L: DET
1992-11-11 | w: HOU | L: ATL
1992-11-11 | w: LAC | L: SAC
1992-11-11 | w: IND | L: PHL
1992-11-11 | w: MIL | L: DAL
1992-11-11 | w: BOS | L: CHH
1992-11-12 | w: CLE | L: GOS
1992-11-12 | w: ATL | L: SAN
1992-11-12 | w: MIN | L: BKN
1992-11-12 | w: ORL | L: WAS
1992-11-12 | w: DET | L: MIA
1992-11-12 | w: PHX | L: UTH
1992-11-12 | w: OKC | L: LAL
1992-11-13 | w: LAC | L: LAL
1992-11-13 | w: PHL | L: BOS
1992-11-13 | w: POR | L: CLE
1992-11-13 | w: IND | L: CHH
1992-11-13 | w: CHI | L: MIL
1992-11-13 | w: WAS | L: NYK
1992-11-14 | w: NYK | L: BOS
1992-11-14 | w: IND | L: DET
1992-11-14 | w: OKC | L: SAC
1992-11-14 | w: UTH | L: LAC
1992-11-14 | w: HOU | L: SAN
1992-11-14 | w: BKN | L: ORL
1992-11-14 | w: DAL | L: ATL
1992-11-14 | w: PHX | L: MIN
1992-11-14 | w: MIA | L: CHH
1992-11-14 | w: POR | L: GOS
1992-11-14 | w: CHI | L: DEN
1992-11-15 | w: LAL | L: GOS
1992-11-15 | w: BKN | L: WAS
1992-11-15 | w: MIL | L: DEN
1992-11-15 | w: SAC | L: CLE
1992-11-16 | w: PHX | L: OKC
1992-11-16 | w: POR | L: NYK
1992-11-17 | w: SAN | L: CLE
1992-11-17 | w: UTH | L: BKN
1992-11-17 | w: HOU | L: SAC
1992-11-17 | w: LAC | L: DET
1992-11-17 | w: GOS | L: MIA
1992-11-17 | w: IND | L: DEN
1992-11-17 | w: MIL | L: ATL
1992-11-17 | w: CHI | L: MIN
1992-11-17 | w: CHH | L: DAL
1992-11-17 | w: OKC | L: NYK
1992-11-17 | w: WAS | L: BOS
1992-11-18 | w: ORL | L: PHL
1992-11-18 | w: PHX | L: SAC
1992-11-18 | w: UTH | L: BOS
1992-11-19 | w: SAN | L: DAL
1992-11-19 | w: HOU | L: CLE
1992-11-19 | w: ORL | L: GOS
1992-11-19 | w: LAC | L: NYK
1992-11-19 | w: BKN | L: ATL
1992-11-19 | w: DEN | L: DET
1992-11-19 | w: CHI | L: OKC
1992-11-20 | w: POR | L: SAC
1992-11-20 | w: PHL | L: MIA
1992-11-20 | w: LAL | L: CHI
1992-11-20 | w: UTH | L: IND
1992-11-20 | w: WAS | L: MIN
1992-11-20 | w: CHH | L: GOS
1992-11-21 | w: NYK | L: ORL
1992-11-21 | w: PHL | L: BKN
1992-11-21 | w: HOU | L: SAN
1992-11-21 | w: LAC | L: PHX
1992-11-21 | w: CHH | L: MIA
1992-11-21 | w: ATL | L: BOS
1992-11-21 | w: MIL | L: IND
1992-11-21 | w: CLE | L: DAL
1992-11-21 | w: DEN | L: MIN
1992-11-21 | w: OKC | L: DET
1992-11-21 | w: WAS | L: UTH
1992-11-22 | w: LAL | L: DEN
1992-11-22 | w: CHI | L: PHX
1992-11-22 | w: GOS | L: BKN
1992-11-22 | w: POR | L: DET
1992-11-23 | w: ATL | L: BOS
1992-11-23 | w: SAC | L: OKC
1992-11-24 | w: CHI | L: GOS
1992-11-24 | w: NYK | L: WAS
1992-11-24 | w: CLE | L: MIL
1992-11-24 | w: HOU | L: LAC
1992-11-24 | w: POR | L: SAN
1992-11-24 | w: IND | L: MIA
1992-11-24 | w: CHH | L: PHL
1992-11-24 | w: OKC | L: BKN
1992-11-25 | w: BOS | L: WAS
1992-11-25 | w: ATL | L: PHL
1992-11-25 | w: BKN | L: LAL
1992-11-25 | w: PHX | L: POR
1992-11-25 | w: ORL | L: HOU
1992-11-25 | w: CHH | L: DET
1992-11-25 | w: MIA | L: IND
1992-11-25 | w: SAN | L: UTH
1992-11-25 | w: MIL | L: CLE
1992-11-25 | w: LAC | L: DAL
1992-11-25 | w: DEN | L: SAC
1992-11-25 | w: NYK | L: MIN
1992-11-27 | w: MIL | L: PHL
1992-11-27 | w: PHX | L: GOS
1992-11-27 | w: BOS | L: CHH
1992-11-27 | w: CLE | L: ATL
1992-11-27 | w: DEN | L: LAC
1992-11-27 | w: HOU | L: MIA
1992-11-27 | w: LAL | L: POR
1992-11-27 | w: BKN | L: UTH
1992-11-27 | w: ORL | L: IND
1992-11-27 | w: OKC | L: DAL
1992-11-27 | w: MIN | L: WAS
1992-11-28 | w: NYK | L: CHI
