============ Start of Season ============
1997-10-31 | w: BKN | L: IND
1997-10-31 | w: HOU | L: CLE
1997-10-31 | w: SAS | L: DEN
1997-10-31 | w: LAL | L: UTA
1997-10-31 | w: MIL | L: PHI
1997-10-31 | w: MIA | L: TOR
1997-10-31 | w: OKC | L: POR
1997-10-31 | w: DET | L: WAS
1997-10-31 | w: ATL | L: ORL
1997-10-31 | w: PHX | L: LAC
1997-10-31 | w: MIN | L: GSW
1997-10-31 | w: BOS | L: CHI
1997-10-31 | w: DAL | L: MEM
1997-10-31 | w: NYK | L: CHH
1997-11-01 | w: IND | L: GSW
1997-11-01 | w: SAS | L: CLE
1997-11-01 | w: UTA | L: DEN
1997-11-01 | w: CHI | L: PHI
1997-11-01 | w: BKN | L: MIL
1997-11-01 | w: DAL | L: OKC
1997-11-01 | w: MIN | L: CHH
1997-11-01 | w: ATL | L: TOR
1997-11-01 | w: MEM | L: SAC
1997-11-01 | w: POR | L: LAC
1997-11-01 | w: MIA | L: WAS
1997-11-02 | w: DET | L: NYK
1997-11-02 | w: HOU | L: SAC
1997-11-02 | w: ORL | L: BOS
1997-11-03 | w: WAS | L: UTA
1997-11-03 | w: CHH | L: MIA
1997-11-03 | w: CHI | L: SAS
1997-11-04 | w: WAS | L: DEN
1997-11-04 | w: DAL | L: MEM
1997-11-04 | w: NYK | L: BOS
1997-11-04 | w: POR | L: MIN
1997-11-04 | w: LAL | L: SAC
1997-11-04 | w: OKC | L: HOU
1997-11-04 | w: MIL | L: ORL
1997-11-04 | w: PHX | L: UTA
1997-11-04 | w: CLE | L: IND
1997-11-04 | w: TOR | L: GSW
1997-11-04 | w: ATL | L: DET
1997-11-05 | w: BKN | L: GSW
1997-11-05 | w: SAS | L: MEM
1997-11-05 | w: ATL | L: PHI
1997-11-05 | w: CHI | L: ORL
1997-11-05 | w: IND | L: DET
1997-11-05 | w: CHH | L: DAL
1997-11-05 | w: MIA | L: BOS
1997-11-05 | w: HOU | L: LAC
1997-11-06 | w: MIL | L: PHI
1997-11-06 | w: NYK | L: PHX
1997-11-06 | w: OKC | L: TOR
1997-11-07 | w: OKC | L: IND
1997-11-07 | w: BKN | L: MIA
1997-11-07 | w: POR | L: HOU
1997-11-07 | w: UTA | L: DEN
1997-11-07 | w: LAL | L: NYK
1997-11-07 | w: LAC | L: SAC
1997-11-07 | w: ORL | L: DET
1997-11-07 | w: ATL | L: CHI
1997-11-07 | w: CLE | L: BOS
1997-11-07 | w: MIN | L: MEM
1997-11-07 | w: CHH | L: WAS
1997-11-08 | w: SAS | L: UTA
1997-11-08 | w: POR | L: DAL
1997-11-08 | w: CHI | L: BKN
1997-11-08 | w: MIA | L: WAS
