============ Start of Season ============
2008-10-28 | w: BOS | L: CLE
2008-10-28 | w: LAL | L: POR
2008-10-28 | w: CHI | L: MIL
2008-10-29 | w: PHX | L: SAS
2008-10-29 | w: DET | L: IND
2008-10-29 | w: TOR | L: PHI
2008-10-29 | w: LAL | L: LAC
2008-10-29 | w: ATL | L: ORL
2008-10-29 | w: MIN | L: SAC
2008-10-29 | w: NYK | L: MIA
2008-10-29 | w: HOU | L: MEM
2008-10-29 | w: BKN | L: WAS
2008-10-29 | w: UTA | L: DEN
2008-10-29 | w: MIL | L: OKC
2008-10-29 | w: NOP | L: GSW
2008-10-30 | w: CLE | L: CHA
2008-10-30 | w: HOU | L: DAL
2008-10-30 | w: NOP | L: PHX
2008-10-31 | w: MIA | L: SAC
2008-10-31 | w: TOR | L: GSW
2008-10-31 | w: POR | L: SAS
2008-10-31 | w: PHI | L: NYK
2008-10-31 | w: DEN | L: LAC
2008-10-31 | w: BOS | L: CHI
2008-10-31 | w: MEM | L: ORL
2008-11-01 | w: ATL | L: PHI
2008-11-01 | w: IND | L: BOS
2008-11-01 | w: DET | L: WAS
2008-11-01 | w: HOU | L: OKC
2008-11-01 | w: ORL | L: SAC
2008-11-01 | w: CHI | L: MEM
2008-11-01 | w: DAL | L: MIN
2008-11-01 | w: LAL | L: DEN
2008-11-01 | w: GSW | L: BKN
2008-11-01 | w: TOR | L: MIL
2008-11-01 | w: NOP | L: CLE
2008-11-01 | w: UTA | L: LAC
2008-11-01 | w: PHX | L: POR
2008-11-01 | w: CHA | L: MIA
2008-11-02 | w: MIL | L: NYK
2008-11-02 | w: OKC | L: MIN
2008-11-03 | w: CLE | L: DAL
2008-11-03 | w: ORL | L: CHI
2008-11-03 | w: PHI | L: SAC
2008-11-03 | w: UTA | L: LAC
2008-11-03 | w: MEM | L: GSW
2008-11-03 | w: DET | L: CHA
2008-11-04 | w: DAL | L: SAS
2008-11-04 | w: BOS | L: HOU
2008-11-04 | w: PHX | L: BKN
2008-11-05 | w: PHX | L: IND
2008-11-05 | w: SAC | L: MEM
2008-11-05 | w: MIA | L: PHI
2008-11-05 | w: LAL | L: LAC
2008-11-05 | w: CLE | L: CHI
2008-11-05 | w: NYK | L: CHA
2008-11-05 | w: DET | L: TOR
2008-11-05 | w: SAS | L: MIN
2008-11-05 | w: MIL | L: WAS
2008-11-05 | w: ATL | L: NOP
2008-11-05 | w: UTA | L: POR
2008-11-05 | w: BOS | L: OKC
2008-11-05 | w: GSW | L: DEN
2008-11-06 | w: POR | L: HOU
2008-11-06 | w: ORL | L: PHI
2008-11-07 | w: CHA | L: NOP
2008-11-07 | w: DEN | L: DAL
2008-11-07 | w: ATL | L: TOR
2008-11-07 | w: CHI | L: PHX
2008-11-07 | w: HOU | L: LAC
2008-11-07 | w: CLE | L: IND
2008-11-07 | w: SAC | L: MIN
2008-11-07 | w: BOS | L: MIL
2008-11-07 | w: MIA | L: SAS
2008-11-07 | w: BKN | L: DET
2008-11-07 | w: UTA | L: OKC
2008-11-07 | w: NYK | L: WAS
2008-11-07 | w: MEM | L: GSW
2008-11-08 | w: ORL | L: WAS
2008-11-08 | w: IND | L: BKN
2008-11-08 | w: POR | L: MIN
2008-11-08 | w: CLE | L: CHI
2008-11-08 | w: NOP | L: MIA
2008-11-08 | w: PHX | L: MIL
2008-11-09 | w: NYK | L: UTA
2008-11-09 | w: SAC | L: GSW
2008-11-09 | w: BOS | L: DET
2008-11-09 | w: DEN | L: MEM
2008-11-09 | w: LAC | L: DAL
2008-11-09 | w: LAL | L: HOU
2008-11-09 | w: TOR | L: CHA
2008-11-09 | w: ATL | L: OKC
2008-11-10 | w: MIA | L: BKN
2008-11-10 | w: IND | L: OKC
2008-11-10 | w: BOS | L: TOR
2008-11-10 | w: POR | L: ORL
2008-11-10 | w: PHX | L: MEM
2008-11-11 | w: ATL | L: CHI
2008-11-11 | w: DEN | L: CHA
2008-11-11 | w: SAS | L: NYK
2008-11-11 | w: UTA | L: PHI
2008-11-11 | w: CLE | L: MIL
2008-11-11 | w: DET | L: SAC
2008-11-11 | w: LAL | L: DAL
2008-11-11 | w: GSW | L: MIN
2008-11-12 | w: PHI | L: TOR
2008-11-12 | w: POR | L: MIA
2008-11-12 | w: SAC | L: LAC
2008-11-12 | w: BOS | L: ATL
2008-11-12 | w: MIL | L: SAS
2008-11-12 | w: HOU | L: PHX
2008-11-12 | w: ORL | L: OKC
2008-11-12 | w: NYK | L: MEM
2008-11-12 | w: IND | L: BKN
2008-11-12 | w: WAS | L: UTA
2008-11-12 | w: LAL | L: NOP
2008-11-13 | w: CHI | L: DAL
2008-11-13 | w: CLE | L: DEN
2008-11-13 | w: DET | L: GSW
2008-11-14 | w: CHA | L: UTA
2008-11-14 | w: DEN | L: BOS
2008-11-14 | w: PHX | L: SAC
2008-11-14 | w: MIA | L: WAS
2008-11-14 | w: NYK | L: OKC
2008-11-14 | w: SAS | L: HOU
2008-11-14 | w: ORL | L: DAL
2008-11-14 | w: PHI | L: IND
2008-11-14 | w: DET | L: LAL
2008-11-14 | w: NOP | L: POR
2008-11-14 | w: BKN | L: ATL
2008-11-14 | w: MIL | L: MEM
2008-11-15 | w: CLE | L: UTA
2008-11-15 | w: GSW | L: LAC
2008-11-15 | w: CHI | L: IND
2008-11-15 | w: PHI | L: OKC
2008-11-15 | w: BKN | L: ATL
2008-11-15 | w: HOU | L: NOP
2008-11-15 | w: POR | L: MIN
2008-11-15 | w: BOS | L: MIL
2008-11-16 | w: TOR | L: MIA
2008-11-16 | w: SAS | L: SAC
2008-11-16 | w: DAL | L: NYK
2008-11-16 | w: DEN | L: MIN
2008-11-16 | w: ORL | L: CHA
2008-11-16 | w: PHX | L: DET
2008-11-17 | w: SAS | L: LAC
2008-11-17 | w: UTA | L: PHX
2008-11-17 | w: HOU | L: OKC
2008-11-18 | w: IND | L: ATL
2008-11-18 | w: DAL | L: CHA
2008-11-18 | w: BOS | L: NYK
2008-11-18 | w: LAL | L: CHI
2008-11-18 | w: ORL | L: TOR
2008-11-18 | w: DEN | L: MIL
2008-11-18 | w: MEM | L: SAC
2008-11-18 | w: MIA | L: WAS
2008-11-18 | w: GSW | L: POR
2008-11-18 | w: CLE | L: BKN
2008-11-19 | w: DET | L: CLE
2008-11-19 | w: DAL | L: HOU
2008-11-19 | w: ATL | L: WAS
2008-11-19 | w: MIN | L: PHI
2008-11-19 | w: POR | L: CHI
2008-11-19 | w: TOR | L: MIA
2008-11-19 | w: DEN | L: SAS
2008-11-19 | w: LAC | L: OKC
2008-11-19 | w: UTA | L: MIL
2008-11-19 | w: SAC | L: NOP
2008-11-20 | w: BOS | L: DET
2008-11-20 | w: LAL | L: PHX
2008-11-21 | w: ATL | L: CHA
2008-11-21 | w: PHI | L: LAC
2008-11-21 | w: DAL | L: MEM
2008-11-21 | w: SAS | L: UTA
2008-11-21 | w: BKN | L: TOR
2008-11-21 | w: LAL | L: DEN
2008-11-21 | w: ORL | L: IND
2008-11-21 | w: BOS | L: MIN
2008-11-21 | w: POR | L: SAC
2008-11-21 | w: NOP | L: OKC
2008-11-21 | w: CHI | L: GSW
2008-11-21 | w: HOU | L: WAS
2008-11-21 | w: MIL | L: NYK
2008-11-22 | w: HOU | L: ORL
2008-11-22 | w: MIA | L: IND
2008-11-22 | w: NYK | L: WAS
2008-11-22 | w: CLE | L: ATL
2008-11-22 | w: UTA | L: MEM
2008-11-22 | w: PHX | L: POR
2008-11-22 | w: MIL | L: CHA
2008-11-22 | w: BKN | L: LAC
2008-11-22 | w: NOP | L: OKC
2008-11-23 | w: MIN | L: DET
2008-11-23 | w: LAL | L: SAC
2008-11-23 | w: PHI | L: GSW
2008-11-23 | w: BOS | L: TOR
2008-11-23 | w: DEN | L: CHI
2008-11-24 | w: HOU | L: MIA
2008-11-24 | w: ORL | L: MIL
2008-11-24 | w: NOP | L: LAC
2008-11-24 | w: CHA | L: PHI
2008-11-24 | w: POR | L: SAC
2008-11-24 | w: CHI | L: UTA
2008-11-24 | w: SAS | L: MEM
2008-11-25 | w: LAL | L: BKN
2008-11-25 | w: DAL | L: IND
2008-11-25 | w: CLE | L: NYK
2008-11-25 | w: WAS | L: GSW
2008-11-25 | w: PHX | L: OKC
2008-11-26 | w: ATL | L: MIL
2008-11-26 | w: DET | L: NYK
2008-11-26 | w: POR | L: MIA
2008-11-26 | w: TOR | L: CHA
2008-11-26 | w: IND | L: HOU
2008-11-26 | w: DEN | L: LAC
2008-11-26 | w: ORL | L: PHI
2008-11-26 | w: BOS | L: GSW
2008-11-26 | w: SAS | L: CHI
2008-11-26 | w: CLE | L: OKC
2008-11-26 | w: PHX | L: MIN
2008-11-26 | w: BKN | L: SAC
2008-11-26 | w: UTA | L: MEM
2008-11-27 | w: NOP | L: DEN
2008-11-27 | w: ORL | L: WAS
2008-11-28 | w: TOR | L: ATL
2008-11-28 | w: LAL | L: DAL
2008-11-28 | w: CLE | L: GSW
2008-11-28 | w: SAS | L: MEM
2008-11-28 | w: CHA | L: IND
2008-11-28 | w: POR | L: NOP
2008-11-28 | w: DET | L: MIL
2008-11-28 | w: BOS | L: PHI
2008-11-28 | w: MIN | L: OKC
2008-11-28 | w: UTA | L: SAC
2008-11-28 | w: MIA | L: PHX
2008-11-29 | w: DAL | L: SAC
2008-11-29 | w: ORL | L: IND
2008-11-29 | w: HOU | L: SAS
2008-11-29 | w: NYK | L: GSW
2008-11-29 | w: BOS | L: CHA
2008-11-29 | w: DEN | L: MIN
2008-11-29 | w: LAC | L: MIA
2008-11-29 | w: OKC | L: MEM
2008-11-29 | w: BKN | L: UTA
2008-11-29 | w: ATL | L: WAS
2008-11-29 | w: CLE | L: MIL
2008-11-30 | w: POR | L: DET
2008-11-30 | w: DEN | L: HOU
2008-11-30 | w: CHI | L: PHI
2008-11-30 | w: LAL | L: TOR
2008-11-30 | w: BKN | L: PHX
2008-12-01 | w: BOS | L: ORL
2008-12-01 | w: CHA | L: MIN
2008-12-01 | w: MIA | L: GSW
2008-12-02 | w: IND | L: LAL
2008-12-02 | w: DET | L: SAS
2008-12-02 | w: POR | L: NYK
2008-12-02 | w: UTA | L: SAC
2008-12-02 | w: DAL | L: LAC
2008-12-02 | w: PHI | L: CHI
2008-12-02 | w: DEN | L: TOR
2008-12-02 | w: WAS | L: BKN
2008-12-03 | w: CLE | L: NYK
2008-12-03 | w: LAL | L: PHI
2008-12-03 | w: HOU | L: LAC
2008-12-03 | w: BOS | L: IND
2008-12-03 | w: ATL | L: MEM
2008-12-03 | w: ORL | L: MIN
2008-12-03 | w: MIL | L: CHI
2008-12-03 | w: CHA | L: OKC
2008-12-03 | w: POR | L: WAS
2008-12-03 | w: MIA | L: UTA
2008-12-03 | w: NOP | L: PHX
2008-12-04 | w: SAS | L: DEN
2008-12-04 | w: DAL | L: PHX
2008-12-05 | w: PHI | L: DET
2008-12-05 | w: CLE | L: IND
2008-12-05 | w: HOU | L: GSW
2008-12-05 | w: ATL | L: NYK
2008-12-05 | w: ORL | L: OKC
2008-12-05 | w: BOS | L: POR
2008-12-05 | w: BKN | L: MIN
2008-12-05 | w: MIL | L: CHA
2008-12-05 | w: LAL | L: WAS
2008-12-05 | w: MEM | L: LAC
2008-12-05 | w: UTA | L: TOR
2008-12-06 | w: LAC | L: MIN
2008-12-06 | w: CLE | L: CHA
2008-12-06 | w: CHI | L: WAS
2008-12-06 | w: BKN | L: PHI
2008-12-06 | w: SAS | L: GSW
2008-12-06 | w: MIA | L: OKC
2008-12-06 | w: DAL | L: ATL
2008-12-06 | w: DEN | L: SAC
2008-12-06 | w: PHX | L: UTA
2008-12-06 | w: NOP | L: MEM
2008-12-07 | w: LAL | L: MIL
2008-12-07 | w: NYK | L: DET
2008-12-07 | w: BOS | L: IND
2008-12-07 | w: POR | L: TOR
2008-12-08 | w: ORL | L: LAC
2008-12-08 | w: MIA | L: CHA
2008-12-08 | w: MEM | L: HOU
2008-12-08 | w: GSW | L: OKC
2008-12-09 | w: CLE | L: TOR
2008-12-09 | w: HOU | L: ATL
2008-12-09 | w: UTA | L: MIN
2008-12-09 | w: ORL | L: POR
2008-12-09 | w: SAS | L: DAL
2008-12-09 | w: CHI | L: NYK
2008-12-09 | w: SAC | L: LAL
2008-12-09 | w: WAS | L: DET
2008-12-09 | w: PHX | L: MIL
2008-12-10 | w: DEN | L: MIN
2008-12-10 | w: LAL | L: PHX
2008-12-10 | w: TOR | L: IND
2008-12-10 | w: SAS | L: ATL
2008-12-10 | w: CLE | L: PHI
2008-12-10 | w: NYK | L: BKN
2008-12-10 | w: MEM | L: OKC
2008-12-10 | w: NOP | L: CHA
2008-12-10 | w: GSW | L: MIL
2008-12-11 | w: DAL | L: CHA
2008-12-11 | w: UTA | L: POR
2008-12-11 | w: BOS | L: WAS
2008-12-12 | w: ATL | L: MIA
2008-12-12 | w: SAS | L: MIN
2008-12-12 | w: CLE | L: PHI
2008-12-12 | w: BOS | L: NOP
2008-12-12 | w: LAC | L: POR
2008-12-12 | w: LAL | L: SAC
2008-12-12 | w: DET | L: IND
2008-12-12 | w: MEM | L: CHI
2008-12-12 | w: HOU | L: GSW
2008-12-12 | w: TOR | L: BKN
2008-12-12 | w: PHX | L: ORL
2008-12-13 | w: ATL | L: CLE
2008-12-13 | w: PHI | L: WAS
2008-12-13 | w: DAL | L: OKC
2008-12-13 | w: LAC | L: HOU
2008-12-13 | w: CHI | L: BKN
2008-12-13 | w: NYK | L: SAC
2008-12-13 | w: DEN | L: GSW
2008-12-13 | w: MIL | L: IND
2008-12-13 | w: ORL | L: UTA
2008-12-13 | w: DET | L: CHA
2008-12-14 | w: NOP | L: TOR
2008-12-14 | w: SAS | L: OKC
2008-12-14 | w: LAL | L: MIN
2008-12-14 | w: MEM | L: MIA
2008-12-15 | w: BKN | L: TOR
2008-12-15 | w: BOS | L: UTA
2008-12-15 | w: ATL | L: CHA
2008-12-15 | w: DEN | L: DAL
2008-12-15 | w: MIL | L: MIA
2008-12-15 | w: SAC | L: MIN
2008-12-15 | w: PHX | L: NYK
2008-12-15 | w: ORL | L: GSW
2008-12-15 | w: IND | L: WAS
2008-12-16 | w: POR | L: SAC
2008-12-16 | w: LAL | L: NYK
2008-12-16 | w: HOU | L: DEN
2008-12-16 | w: LAC | L: OKC
2008-12-16 | w: NOP | L: MEM
2008-12-16 | w: CHA | L: CHI
2008-12-17 | w: IND | L: GSW
2008-12-17 | w: CLE | L: MIN
2008-12-17 | w: DAL | L: TOR
2008-12-17 | w: BOS | L: ATL
2008-12-17 | w: DET | L: WAS
2008-12-17 | w: PHI | L: MIL
2008-12-17 | w: CHI | L: LAC
2008-12-17 | w: NOP | L: SAS
2008-12-17 | w: UTA | L: BKN
2008-12-18 | w: POR | L: PHX
2008-12-18 | w: ORL | L: SAS
2008-12-19 | w: LAC | L: IND
2008-12-19 | w: MIL | L: NYK
2008-12-19 | w: HOU | L: SAC
2008-12-19 | w: ATL | L: GSW
2008-12-19 | w: BOS | L: CHI
2008-12-19 | w: MIA | L: LAL
2008-12-19 | w: UTA | L: DET
2008-12-19 | w: CLE | L: DEN
2008-12-19 | w: CHA | L: MEM
2008-12-19 | w: BKN | L: DAL
2008-12-19 | w: OKC | L: TOR
2008-12-19 | w: PHI | L: WAS
2008-12-20 | w: HOU | L: MIN
2008-12-20 | w: SAS | L: TOR
2008-12-20 | w: GSW | L: CHA
2008-12-20 | w: IND | L: PHI
2008-12-20 | w: ORL | L: LAL
2008-12-20 | w: CHI | L: UTA
2008-12-20 | w: NOP | L: SAC
2008-12-20 | w: MIL | L: LAC
2008-12-20 | w: MIA | L: BKN
2008-12-20 | w: PHX | L: DEN
2008-12-21 | w: ATL | L: DET
2008-12-21 | w: BOS | L: NYK
2008-12-21 | w: CLE | L: OKC
2008-12-21 | w: DAL | L: WAS
2008-12-22 | w: DEN | L: POR
2008-12-22 | w: SAS | L: SAC
2008-12-22 | w: ORL | L: GSW
2008-12-22 | w: TOR | L: LAC
2008-12-22 | w: HOU | L: BKN
2008-12-22 | w: LAL | L: MEM
2008-12-23 | w: BKN | L: IND
2008-12-23 | w: ATL | L: OKC
2008-12-23 | w: MIA | L: GSW
2008-12-23 | w: SAS | L: MIN
2008-12-23 | w: CLE | L: HOU
2008-12-23 | w: DET | L: CHI
2008-12-23 | w: POR | L: DEN
2008-12-23 | w: BOS | L: PHI
2008-12-23 | w: DAL | L: MEM
2008-12-23 | w: LAL | L: NOP
2008-12-23 | w: MIL | L: UTA
2008-12-23 | w: CHA | L: WAS
2008-12-25 | w: CLE | L: WAS
2008-12-25 | w: ORL | L: NOP
2008-12-25 | w: DAL | L: POR
2008-12-25 | w: LAL | L: BOS
2008-12-25 | w: SAS | L: PHX
2008-12-26 | w: DEN | L: PHI
2008-12-26 | w: DET | L: OKC
2008-12-26 | w: TOR | L: SAC
2008-12-26 | w: MIA | L: CHI
2008-12-26 | w: MIN | L: NYK
2008-12-26 | w: CHA | L: BKN
2008-12-26 | w: NOP | L: HOU
2008-12-26 | w: MEM | L: IND
2008-12-26 | w: GSW | L: BOS
2008-12-26 | w: UTA | L: DAL
2008-12-27 | w: SAS | L: MEM
2008-12-27 | w: ORL | L: MIN
2008-12-27 | w: ATL | L: CHI
2008-12-27 | w: HOU | L: UTA
2008-12-27 | w: POR | L: TOR
2008-12-27 | w: BKN | L: CHA
2008-12-27 | w: DET | L: MIL
2008-12-27 | w: WAS | L: OKC
2008-12-28 | w: NOP | L: IND
2008-12-28 | w: DEN | L: NYK
2008-12-28 | w: LAL | L: GSW
2008-12-28 | w: CLE | L: MIA
2008-12-28 | w: DAL | L: LAC
2008-12-28 | w: BOS | L: SAC
2008-12-29 | w: DET | L: ORL
2008-12-29 | w: ATL | L: DEN
2008-12-29 | w: WAS | L: HOU
2008-12-29 | w: MIN | L: MEM
2008-12-29 | w: CHI | L: BKN
2008-12-29 | w: GSW | L: TOR
2008-12-29 | w: PHX | L: OKC
2008-12-29 | w: UTA | L: PHI
2008-12-30 | w: ATL | L: IND
2008-12-30 | w: MIL | L: SAS
2008-12-30 | w: SAC | L: LAC
2008-12-30 | w: MIA | L: CLE
2008-12-30 | w: POR | L: BOS
2008-12-30 | w: DAL | L: MIN
2008-12-30 | w: NOP | L: WAS
2008-12-30 | w: PHX | L: MEM
2008-12-30 | w: NYK | L: CHA
2008-12-31 | w: ORL | L: CHI
2008-12-31 | w: PHI | L: LAC
2008-12-31 | w: HOU | L: MIL
2008-12-31 | w: DEN | L: TOR
2008-12-31 | w: DET | L: BKN
2008-12-31 | w: OKC | L: GSW
2009-01-02 | w: LAL | L: UTA
2009-01-02 | w: TOR | L: HOU
2009-01-02 | w: DET | L: SAC
2009-01-02 | w: CLE | L: CHI
2009-01-02 | w: MIN | L: GSW
2009-01-02 | w: NOP | L: POR
2009-01-02 | w: BOS | L: WAS
2009-01-02 | w: ORL | L: MIA
2009-01-02 | w: IND | L: NYK
2009-01-02 | w: DAL | L: PHI
2009-01-02 | w: BKN | L: ATL
2009-01-02 | w: DEN | L: OKC
2009-01-02 | w: MIL | L: CHA
2009-01-02 | w: SAS | L: MEM
2009-01-02 | w: PHX | L: LAC
2009-01-03 | w: MIN | L: CHI
2009-01-03 | w: DEN | L: NOP
2009-01-03 | w: MIA | L: BKN
2009-01-03 | w: IND | L: SAC
2009-01-03 | w: ATL | L: HOU
2009-01-03 | w: SAS | L: PHI
2009-01-03 | w: CHA | L: MIL
2009-01-04 | w: DET | L: LAC
2009-01-04 | w: NYK | L: BOS
2009-01-04 | w: TOR | L: ORL
2009-01-04 | w: LAL | L: POR
2009-01-04 | w: WAS | L: CLE
2009-01-04 | w: MEM | L: DAL
2009-01-05 | w: DEN | L: IND
2009-01-05 | w: SAS | L: MIA
2009-01-05 | w: BKN | L: SAC
2009-01-05 | w: UTA | L: GSW
2009-01-05 | w: MIL | L: TOR
2009-01-06 | w: ORL | L: WAS
2009-01-06 | w: DAL | L: LAC
2009-01-06 | w: CHA | L: BOS
