============ Start of Season ============
2009-10-27 | w: WAS | L: DAL
2009-10-27 | w: LAL | L: LAC
2009-10-27 | w: BOS | L: CLE
2009-10-27 | w: POR | L: HOU
2009-10-28 | w: TOR | L: CLE
2009-10-28 | w: OKC | L: SAC
2009-10-28 | w: MIA | L: NYK
2009-10-28 | w: DEN | L: UTA
2009-10-28 | w: ORL | L: PHI
2009-10-28 | w: MIN | L: BKN
2009-10-28 | w: PHX | L: LAC
2009-10-28 | w: ATL | L: IND
2009-10-28 | w: DET | L: MEM
2009-10-28 | w: HOU | L: GSW
2009-10-28 | w: BOS | L: CHA
2009-10-28 | w: SAS | L: NOP
2009-10-29 | w: CHI | L: SAS
2009-10-29 | w: DEN | L: POR
2009-10-30 | w: CHA | L: NYK
2009-10-30 | w: ATL | L: WAS
2009-10-30 | w: PHI | L: MIL
2009-10-30 | w: MIA | L: IND
2009-10-30 | w: UTA | L: LAC
2009-10-30 | w: BOS | L: CHI
2009-10-30 | w: ORL | L: BKN
2009-10-30 | w: CLE | L: MIN
2009-10-30 | w: DAL | L: LAL
2009-10-30 | w: OKC | L: DET
2009-10-30 | w: NOP | L: SAC
2009-10-30 | w: MEM | L: TOR
2009-10-30 | w: PHX | L: GSW
2009-10-31 | w: PHI | L: NYK
2009-10-31 | w: WAS | L: BKN
2009-10-31 | w: SAS | L: SAC
2009-10-31 | w: MIL | L: DET
2009-10-31 | w: CLE | L: CHA
2009-10-31 | w: DAL | L: LAC
2009-10-31 | w: HOU | L: POR
2009-11-01 | w: ORL | L: TOR
2009-11-01 | w: PHX | L: MIN
2009-11-01 | w: POR | L: OKC
2009-11-01 | w: MIA | L: CHI
2009-11-01 | w: DEN | L: MEM
2009-11-01 | w: BOS | L: NOP
2009-11-01 | w: LAL | L: ATL
2009-11-02 | w: SAC | L: MEM
2009-11-02 | w: NYK | L: NOP
2009-11-02 | w: CHA | L: BKN
2009-11-02 | w: HOU | L: UTA
2009-11-02 | w: LAC | L: MIN
2009-11-03 | w: DET | L: ORL
2009-11-03 | w: ATL | L: POR
2009-11-03 | w: DEN | L: IND
2009-11-03 | w: LAL | L: OKC
2009-11-03 | w: CLE | L: WAS
2009-11-03 | w: CHI | L: MIL
2009-11-03 | w: BOS | L: PHI
2009-11-03 | w: DAL | L: UTA
2009-11-03 | w: PHX | L: MIA
2009-11-04 | w: IND | L: NYK
2009-11-04 | w: GSW | L: MEM
2009-11-04 | w: MIA | L: WAS
2009-11-04 | w: NOP | L: DAL
2009-11-04 | w: TOR | L: DET
2009-11-04 | w: LAL | L: HOU
2009-11-04 | w: DEN | L: BKN
2009-11-04 | w: ATL | L: SAC
2009-11-04 | w: ORL | L: PHX
2009-11-04 | w: BOS | L: MIN
2009-11-05 | w: UTA | L: SAS
2009-11-05 | w: CHI | L: CLE
2009-11-06 | w: ORL | L: DET
2009-11-06 | w: TOR | L: NOP
2009-11-06 | w: POR | L: SAS
2009-11-06 | w: CHA | L: ATL
2009-11-06 | w: MIA | L: DEN
2009-11-06 | w: LAC | L: GSW
2009-11-06 | w: PHX | L: BOS
2009-11-06 | w: HOU | L: OKC
